Variable,VIF
const,1.2484964433522718
F_유동자산 변화율,1.3350995352284163
F_비유동자산 변화율,2.0905839205281858
F_자산총계 변화율,3.1735484279448847
F_유동부채 변화율,2.338558017332995
F_비유동부채 변화율,1.4117179248458467
F_부채총계 변화율,2.9056038036327867
F_이익잉여금 변화율,1.0042213623982301
F_자본총계 변화율,1.183907633556706
F_매출액 변화율,1.0700565437169567
F_영업이익 변화율,1.009484997540272
F_법인세차감전 순이익 변화율,1.7863287761536994
F_당기순이익(손실) 변화율,1.781386323718485
M_소비자물가지수 변화율,1.3096267549852434
M_금리 변화율,3.0203032619459167
M_수출액 변화율,6.123970999001663
M_실업률 변화율,2.762134410313849
M_국제유가 변화율,3.4790298091760317
