,name,year,quarter,sector,Relative Return,비유동자산 변화율,영업이익 변화율,이익잉여금 변화율,실업률 변화율,자본금 변화율,발행금액 변화율,Label,Code
26,CJ대한통운,2018,Q2,산업재,-0.08753989778786372,0.01664181233881523,0.5953481909063025,0.02264548363310337,0.009009009009008917,0.02264548363310337,0.0,0.11571023203286286,000120
26,두산,2018,Q2,산업재,0.004964379441014959,0.13069409956515554,-0.5140133115134898,0.002312005922072702,0.009009009009008917,0.0,0.0,0.2129130216636148,000150
26,LG상사,2018,Q2,산업재,-0.0015627806609978976,0.02694552317999732,0.14528101379008018,0.020568441914094793,0.009009009009008917,0.0,0.0,-0.22248022226883024,001120
26,대한항공,2018,Q2,산업재,-0.09054800492894292,0.010691827318265457,-0.5337724258956276,-0.43509495562095335,0.009009009009008917,0.0,0.0,0.10083199158212026,003490
26,S&T중공업,2018,Q2,산업재,0.011079778303015292,0.0009784333375872922,-0.7967094516405654,0.0019043551251018975,0.009009009009008917,0.0,0.0,0.08716642462338153,003570
26,LS,2018,Q2,산업재,-0.09055663802856463,-0.0028548412106398358,-1.0426498996250142,-0.006653465346534659,0.009009009009008917,0.0,0.0,-0.19258492360035634,006260
26,LS산전,2018,Q2,산업재,-0.05297483287324756,-0.009180238359474235,0.10361233230836198,0.04097403553065915,0.009009009009008917,0.0,0.0,-0.24531077979904248,010120
26,현대상선,2018,Q2,산업재,-0.16784359577912367,0.16618497722116587,0.188732042615265,0.08514554549670694,0.009009009009008917,0.0,0.0,-0.0778137709005156,011200
26,한국단자,2018,Q2,산업재,-0.002398730100561658,0.00686095667415465,0.5296574706634696,0.01591051744982841,0.009009009009008917,0.0,0.0,-0.1721078513440587,025540
26,대우인터내셔널,2018,Q2,산업재,-0.23668002238205516,-0.014466858229250978,-0.17110999298895635,0.022068992640330132,0.009009009009008917,0.0,0.0,0.1684108036867166,047050
26,한국항공우주,2018,Q2,산업재,-0.04013272579782187,0.05965494083233813,-0.18749707616233247,0.029879534978236588,0.009009009009008917,0.0,0.0,-0.08890511711530323,047810
26,한전KPS,2018,Q2,산업재,-0.10144173065521384,0.0013313988391312481,1.7999859407213923,0.04857555655377954,0.009009009009008917,0.0,0.0,-0.1550786282296816,051600
26,현대글로비스,2018,Q2,산업재,-0.1399970633697557,-0.009642861893862653,0.2565732667133507,-0.00017333626848403672,0.009009009009008917,0.0,0.0,-0.003821716985839413,086280
