,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동자산 변화율,자본총계 변화율,당기순이익(손실) 변화율,소비자물가지수 변화율,금리 변화율,Label,Code
24,CJ대한통운,2018,Q4,산업재,0.07043111948977278,0.010882751276726443,-0.08466185248436875,0.04576171443330579,-0.7862285628537949,0.1528942253920036,-0.10693799508331026,-0.057470813195633685,000120
24,두산,2018,Q4,산업재,-0.30989866906136915,0.006149277662536257,-0.06316977632991494,-0.013176231783023962,-0.7452382319602966,0.1528942253920036,-0.10693799508331026,0.13127068222442065,000150
24,LG상사,2018,Q4,산업재,-0.02870096063856419,-0.04268065861495218,-0.06046604180226833,-0.011446538188160993,-2.047272335009393,0.1528942253920036,-0.10693799508331026,0.181306290981106,001120
24,대한항공,2018,Q4,산업재,0.05916233969037817,0.010343593010539776,-0.037263684837332334,-0.19359411626687817,-1.5077636237086391,0.1528942253920036,-0.10693799508331026,0.07134702827584788,003490
24,S&T중공업,2018,Q4,산업재,0.10331555535117505,0.0009266579989923862,-0.018359456386584427,0.022317821933477866,278.9854389847946,0.1528942253920036,-0.10693799508331026,0.09586689637157052,003570
24,LS,2018,Q4,산업재,-0.060650721129957924,0.0358843788403953,2.5488960780975085,0.09225264814388678,-109.6198347107438,0.1528942253920036,-0.10693799508331026,-0.1222036117494694,006260
24,LS산전,2018,Q4,산업재,-0.020304365285447098,0.07517656905912751,-0.0028394496874248887,0.06808711541882517,-0.06445079257617525,0.1528942253920036,-0.10693799508331026,-0.01623538930656971,010120
24,현대상선,2018,Q4,산업재,-0.11673145047657724,0.0057894874515465045,0.7366283006093433,1.6922668674988057,0.6189943682466115,0.1528942253920036,-0.10693799508331026,0.025780716531796696,011200
24,한국단자,2018,Q4,산업재,0.6870521827515407,0.029007986828605725,-0.10315441013625071,0.005688613725303826,0.5917092641145516,0.1528942253920036,-0.10693799508331026,-0.0544419065567798,025540
24,대우인터내셔널,2018,Q4,산업재,-0.10590625140546793,-0.0168624613829651,-0.06635190245199285,-0.023190704456221845,-3.2141333076506946,0.1528942253920036,-0.10693799508331026,0.004617301078611118,047050
24,한국항공우주,2018,Q4,산업재,0.0739380664375445,0.004427637110924865,-0.14087242009730716,0.04420187278788634,-2.5105267820761865,0.1528942253920036,-0.10693799508331026,-0.09533826011996684,047810
24,한전KPS,2018,Q4,산업재,0.219485130318002,0.1023155469259458,-0.012875608675782302,0.07727039410526926,4.290263731878178,0.1528942253920036,-0.10693799508331026,0.015199673169765011,051600
24,현대글로비스,2018,Q4,산업재,0.045244140944131386,-0.01382395283927762,0.04147581611124718,0.02705349048090211,0.047158648411641524,0.1528942253920036,-0.10693799508331026,0.22141385748532166,086280
