,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,매출액 변화율,영업이익 변화율,비유동부채 변화율,Label,Code
14,CJ대한통운,2021,Q4,산업재,0.012896946453993474,-0.0008698663939948892,-0.021716395343984063,0.0012331682735899907,0.07553287157585675,0.04998913937171445,-0.021633063865422186,0.05647136989208372,000120
14,두산,2021,Q4,산업재,-0.21595211967422462,0.052358933107452765,1.3633517968791864e-05,-0.016099854476457676,0.08208801777784136,-2.3179010128955255,-0.19401880024717888,-0.13124257593663016,000150
14,LG상사,2021,Q4,산업재,0.45628318984023686,0.014081025284972792,-0.031241124541878218,0.06296833133230462,-0.08644919353448588,0.7860926788122049,-0.04745486482739758,0.04108268945029331,001120
14,대한항공,2021,Q4,산업재,0.1075714346067425,-0.022019473850831583,0.022919639765886624,0.07007614470650614,0.26896317269862124,0.60610578922734,-0.01487969078285356,-0.04222469310004226,003490
14,S&T중공업,2021,Q4,산업재,-0.012315408758361734,-0.006222020552674956,-0.019012761396404176,0.01019850744949835,0.6623387001991343,1.7673549898563712,-0.06704367157758606,0.07684502945725569,003570
14,LS,2021,Q4,산업재,0.10339341761485986,0.008636772116620506,0.013333135473771351,0.014714604480987603,0.08212747403822185,0.4632928739232576,-0.016818887141622274,0.038534628933856035,006260
14,LS산전,2021,Q4,산업재,-0.1469804698590664,0.01770385544556352,0.010101874606004868,0.032947524506813375,0.1578052162251744,0.33792687381782494,-0.14659739938425664,0.09756468934849512,010120
14,현대상선,2021,Q4,산업재,0.07686983487943665,0.2281118658163328,0.16434455714751173,0.35521070401400534,0.10654725418051636,0.19272683936634616,-0.04550007551348678,0.18542306809398756,011200
14,한국단자,2021,Q4,산업재,-0.05118497732835828,0.00717166647094869,0.011338594094937315,0.005334311989761309,0.07539881632321421,-0.25907101368114704,0.05352566057168118,0.12766890959356042,025540
14,대우인터내셔널,2021,Q4,산업재,0.21525478279241234,0.010221185338397332,-0.07398204743095815,0.00495205009497468,0.011540739653547183,-0.22121557632413424,-0.028054410034421884,0.04648068324404375,047050
14,한국항공우주,2021,Q4,산업재,0.5106102892168412,0.054072490529191386,0.04805807228335057,-0.01287143510480293,0.7954641991882856,-2.650246166844692,-0.02895691884551621,0.12882594867358665,047810
14,한전KPS,2021,Q4,산업재,0.006646946453993469,0.04417942203438874,0.010653888119987132,-0.0016418876503792035,0.22051762034981914,-0.9422390075648499,-0.06494711609369375,-0.07526919187754838,051600
14,현대글로비스,2021,Q4,산업재,0.33121055789395293,-0.012517598029217036,0.01685673462537296,0.04116793444229527,0.09016788046108282,0.12186743384490972,-0.03518746937535533,0.08620666616881266,086280
