종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
079160,CJ CGV,"45,200","2,700","6.35","7,873,246,250","956,491,347,600"
030200,KT,"30,250","350","1.17","18,558,779,250","7,898,632,192,000"
032640,LG유플러스,"18,050","600","3.44","34,224,369,650","7,880,835,066,050"
035420,NAVER,"129,000","1,500","1.18","41,658,962,000","21,260,927,955,000"
034120,SBS,"21,400","200","0.94","1,841,541,850","390,605,254,800"
017670,SK텔레콤,"286,000","3,500","1.24","33,872,763,000","23,093,273,346,000"
251270,넷마블,"114,000","0","0.00","19,235,955,000","9,719,256,048,000"
036570,엔씨소프트,"426,500","4,500","1.07","23,391,921,500","9,356,992,883,000"
214320,이노션,"55,300","100","0.18","1,013,353,600","1,106,000,000,000"
030000,제일기획,"22,550","350","1.58","4,186,274,400","2,594,179,623,750"
035720,카카오,"102,500","1,500","1.49","21,317,340,500","8,547,031,482,500"
