종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
001040,CJ,"268,000","4,000","1.52","14,786,282,500","7,806,370,464,000"
097950,CJ제일제당,"384,000","3,500","0.92","9,775,332,000","5,052,748,032,000"
007070,GS리테일,"60,800","-200","0.33","10,465,875,000","4,681,600,000,000"
030200,KT,"30,450","-250","0.81","28,192,119,200","7,950,854,553,600"
033780,KT&G,"107,000","-4,500","4.04","36,858,042,500","14,690,297,179,000"
051900,LG생활건강,"856,000","2,000","0.23","35,400,575,722","13,369,176,632,000"
032640,LG유플러스,"12,300","200","1.65","17,585,504,200","5,370,319,740,300"
017670,SK텔레콤,"261,500","-1,500","0.57","56,387,937,500","21,115,003,426,500"
003920,남양유업,"829,000","10,000","1.22","822,656,000","596,880,000,000"
004370,농심,"356,500","-9,500","2.60","8,719,401,500","2,168,461,873,000"
001680,대상,"31,650","850","2.76","7,378,742,900","1,089,126,348,750"
049770,동원F&B,"421,500","20,000","4.98","4,598,222,000","1,626,620,766,000"
115390,락앤락,"14,300","-250","1.72","3,015,968,700","786,500,000,000"
004990,롯데제과,"2,176,000","-23,000","1.05","4,633,540,000","3,092,966,400,000"
005300,롯데칠성,"2,442,000","30,000","1.24","6,014,300,000","3,021,249,726,000"
002270,롯데푸드,"1,065,000","16,000","1.53","3,673,681,000","1,458,449,340,000"
033920,무학,"48,900","1,850","3.93","1,667,962,050","1,374,090,000,000"
005180,빙그레,"75,600","100","0.13","2,060,476,600","744,753,819,600"
005610,삼립식품,"335,500","19,500","6.17","10,220,318,500","2,895,032,519,500"
145990,삼양사,"88,800","0","0.00","642,287,000","544,931,767,200"
000070,삼양홀딩스,"140,500","5,000","3.69","4,980,393,500","1,203,280,075,500"
002790,아모레G,"164,000","1,000","0.61","10,907,144,500","13,085,720,720,000"
090430,아모레퍼시픽,"388,500","3,500","0.91","73,153,843,628","22,711,123,365,000"
078520,에이블씨엔씨,"28,400","450","1.61","11,296,257,700","397,703,432,800"
007310,오뚜기,"1,090,000","51,000","4.91","10,771,428,000","3,749,600,000,000"
001800,오리온,"989,000","47,000","4.99","14,693,657,000","5,910,015,761,000"
139480,이마트,"230,000","-500","0.22","8,695,659,500","6,411,438,370,000"
192820,코스맥스,"210,000","-3,000","1.41","10,601,976,000","1,889,896,890,000"
005740,크라운제과,"800,000","5,000","0.63","3,157,695,000","1,178,819,200,000"
036580,팜스코,"18,000","600","3.45","1,537,089,800","661,102,974,000"
000080,하이트진로,"23,700","900","3.95","8,239,859,350","1,662,166,580,700"
000140,하이트진로홀딩스,"15,150","400","2.71","594,605,550","351,582,489,750"
036460,한국가스공사,"39,600","-150","0.38","5,233,121,900","3,655,594,800,000"
015760,한국전력,"49,000","0","0.00","29,480,781,625","31,456,239,773,000"
161890,한국콜마,"99,100","300","0.30","6,538,897,400","2,091,024,964,100"
005440,현대그린푸드,"25,400","-200","0.78","5,589,842,000","2,481,693,842,800"
