,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,비유동부채변화율,Code
31,Taekwang_Industrial,Industrials_&_Machinery,2016,Q4,0.0003648320128019078,0.000512582775317183,-0.0063229333003167465,003240
32,S&T_Heavy_Industries,Industrials_&_Machinery,2016,Q4,0.012904382014275795,0.02467697363529575,0.04030981507218778,003570
31,Hyosung,Industrials_&_Machinery,2016,Q4,-0.02486072652555582,-0.024855412273126376,0.11014446661445676,004800
31,Samkwang_Glass,Industrials_&_Machinery,2016,Q4,0.02041688100265293,0.02386779693286578,0.5386058793702333,005090
31,Hyundai_Heavy_Industries,Industrials_&_Machinery,2016,Q4,0.0258889123028615,0.027361048621087458,0.14809756407928842,009540
31,LS_Electric,Industrials_&_Machinery,2016,Q4,-0.010644039889524226,-0.012177579441792208,0.16105001996347967,010120
31,Samsung_Heavy Industries,Industrials_&_Machinery,2016,Q4,-0.2055970750900551,0.031140143580390633,0.006644544288706422,010140
31,Hyundai_Mipo_Dockyard,Industrials_&_Machinery,2016,Q4,0.04829487613201888,0.10220713854894159,0.03875954148855054,010620
32,Hyundai_WIA,Industrials_&_Machinery,2016,Q4,-0.012848513874078815,-0.015474980495959079,0.0030799676979827995,011210
31,Hanwha_Aerospace,Industrials_&_Machinery,2016,Q4,0.027371275902229097,0.01677121469148468,-0.352690263216729,012450
31,Dongwon_Systems,Industrials_&_Machinery,2016,Q4,-0.0031203688414425113,-0.028455666134899804,0.6949398090017969,014820
31,Hyundai_Elevator,Industrials_&_Machinery,2016,Q4,-0.21286591578013003,-3.4730052442963295,0.06664695614802008,017800
31,Samsung_Engineering,Industrials_&_Machinery,2016,Q4,0.1513034928274678,-0.6231713678637645,-0.11587534543614941,028050
31,Sejong_Industrial,Industrials_&_Machinery,2016,Q4,-0.03907056839193279,-0.049818086098131875,0.13315123350821534,033530
31,Doosan_Heavy_Industries,Industrials_&_Machinery,2016,Q4,0.04975664814280489,0.14302437623355102,-0.07084278330179172,034020
31,Daewoo_Shipbuilding_&_Marine_Engineering,Industrials_&_Machinery,2016,Q4,1.1785057994171158,-0.38500435311906545,-0.07634767604409287,042660
31,Doosan_Infracore,Industrials_&_Machinery,2016,Q4,0.13226170213055644,1.5157397969593922,-0.4572366021733869,042670
31,Korea_Aerospace_Industries,Industrials_&_Machinery,2016,Q4,-0.09217554944224426,-0.17402477323543142,0.07643071997120798,047810
31,Hyundai_Rotem,Industrials_&_Machinery,2016,Q4,-0.0059296856076827,-0.015438962263180978,-0.07007505230239297,064350
32,S&T_Motiv,Industrials_&_Machinery,2016,Q4,0.004890805915326202,0.0008148760093477092,-0.003764865714916299,064960
31,Doosan_Engine,Industrials_&_Machinery,2016,Q4,0.00967273890345044,0.7634485395322239,0.394303887966559,082740
31,HHI_Heavy_Industries,Industrials_&_Machinery,2016,Q4,0.19887258250730777,-2.2529688862189468,0.06434536531306889,097230
