,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,비유동부채변화율,Code
18,Taekwang_Industrial,Industrials_&_Machinery,2020,Q1,-0.010703797133994719,-0.023680396097500056,0.012222277204016252,003240
19,S&T_Heavy_Industries,Industrials_&_Machinery,2020,Q1,0.012151772734218746,0.006814189524860237,-0.005230206189875464,003570
18,Hyosung,Industrials_&_Machinery,2020,Q1,-0.3133889347495584,-0.0929806944137308,-0.5115691955168036,004800
18,Samkwang_Glass,Industrials_&_Machinery,2020,Q1,-0.004130665932838173,-0.005387789618224614,0.06285763180682202,005090
18,Hyundai_Heavy_Industries,Industrials_&_Machinery,2020,Q1,-0.006648835905908035,-0.0068900034709196145,-0.15134434791181173,009540
18,LS_Electric,Industrials_&_Machinery,2020,Q1,0.005975035053892741,0.0065713627247613315,-0.01911811388561624,010120
18,Samsung_Heavy Industries,Industrials_&_Machinery,2020,Q1,-0.005502187085132837,0.15588606802104288,-0.7398715502693491,010140
18,Hyundai_Mipo_Dockyard,Industrials_&_Machinery,2020,Q1,-0.011284869284811316,-0.014407930350071707,-0.6097266368858176,010620
19,Hyundai_WIA,Industrials_&_Machinery,2020,Q1,-0.024620083150056482,-0.03185137064049459,-0.11647596145264072,011210
18,Hanwha_Aerospace,Industrials_&_Machinery,2020,Q1,0.0016884610373320008,0.002094258757811218,0.011479995680615862,012450
18,Dongwon_Systems,Industrials_&_Machinery,2020,Q1,0.0016906914482683888,0.0009626759234069304,-0.005785021747197083,014820
18,Hyundai_Elevator,Industrials_&_Machinery,2020,Q1,0.034014208477832875,-0.02021210423517772,-0.008000445551274993,017800
18,Samsung_Engineering,Industrials_&_Machinery,2020,Q1,-0.06707442035673017,0.5112330766004649,0.0344499807787334,028050
18,Sejong_Industrial,Industrials_&_Machinery,2020,Q1,0.008345176209713534,0.0017035031520240551,-0.06266574502708488,033530
18,Doosan_Heavy_Industries,Industrials_&_Machinery,2020,Q1,-0.07457941727057404,-0.12991623418034326,-0.04685316071019563,034020
18,Daewoo_Shipbuilding_&_Marine_Engineering,Industrials_&_Machinery,2020,Q1,-0.06601456463772037,-0.5606279019117326,-0.14083139429067826,042660
18,Doosan_Infracore,Industrials_&_Machinery,2020,Q1,-0.04283117122029845,-0.49047387399374043,-0.1557596427470378,042670
18,Korea_Aerospace_Industries,Industrials_&_Machinery,2020,Q1,-0.03329597887902569,-0.06917465572680181,0.05372809144716151,047810
18,Hyundai_Rotem,Industrials_&_Machinery,2020,Q1,-0.361550058237031,0.06368293846468154,-0.04941545131564418,064350
19,S&T_Motiv,Industrials_&_Machinery,2020,Q1,-0.004976725587236164,-0.008544254469294632,0.04227690370270931,064960
18,Doosan_Engine,Industrials_&_Machinery,2020,Q1,-0.03136589274007795,0.1577403000857882,-0.13165009009609907,082740
18,HHI_Heavy_Industries,Industrials_&_Machinery,2020,Q1,0.020273221391827634,-0.004224787539474084,-0.009417715357489698,097230
