,0
Relative Return,0.4538022180041537
전체 주식 수변화율,0.06469706237288331
발행금액변화율,0.06309634191477975
특정 증권 등 소유 증감 수변화율,0.048090835831203195
특정 증권 등 소유 비율변화율,0.04287582872200606
