,code,name,sector,year,quarter,유동자산 변화율,비유동자산 변화율,자산총계 변화율,유동부채 변화율,비유동부채 변화율,부채총계 변화율,자본총계 변화율,매출액 변화율,영업이익 변화율,법인세차감전 순이익 변화율,당기순이익 변화율,당기순이익(손실) 변화율,이익잉여금 변화율,자본금 변화율,소비자물가지수 변화율,환율 변화율,GDP 변화율,금리 변화율,수출액 변화율,실업률 변화율,전체 주주 수 변화율,주주 비율 변화율,보유 주식 수 변화율,전체 주식 수 변화율,보유 주식 비율 변화율,접수일자 변화율,특정 증권 등 소유 수 변화율,특정 증권 등 소유 증감 수 변화율,특정 증권 등 소유 비율 변화율,특정 증권 등 소유 증감 비율 변화율,1인평균급여 변화율,기초 소유 주식 수 변화율,기초 소유주식 지분율 변화율,기말 소유주식 수 변화율,기말 소유주식 지분율 변화율,발행할 주식 총수 변화율,현재까지 발행한 주식 총수 변화율,현재까지 감소한 주식의 총수 변화율,주식 수 감소 변화율,이익 소각 변화율,상환주식의 상환 변화율,기타 변화율,발행주식의 총수 변화율,자기주식수 변화율,유통주식수 변화율,증자주식수 변화율,주식액면가액 변화율,발행금액 변화율,보유 지분율 변화율,Relative Return,Label,Code
0,79430,Hyundai_Livart,기타제조,2024,Q3,0.02430996296440524,0.01859715671800677,0.021977555179949593,0.060065306437314336,-0.04685339185181059,0.04858282811594927,-0.009958280711866552,0.08890091138567169,-0.30932330139648245,0.13529165844299496,0.1642055576145952,0.1642055576145952,-0.014068213326539958,-0.0,0.2377021247854798,0.011538677997511404,-0.0009958598205548341,0.11983510689291532,0.0051857654838392,0.09523809523809512,0.00518667352694735,0.0,0.00518667352694735,0.005186673526947239,0.0,0.0,0.00518667352694735,0.00518667352694735,0.005186673526947239,0.005186673526947239,0.00518667352694735,0.00518667352694735,0.005186673526947239,0.005186673526947461,0.005186673526947239,0.00518667352694735,0.00518667352694735,0.0,0.0,0.0,0.0,0.0,0.00518667352694735,0.005186673526947239,0.00518667352694735,0.005186673526947239,0.00518667352694735,0.005186673526947461,0.0,0.19951829464511164,0.19951829464511164,079430
1,79430,Hyundai_Livart,기타제조,2024,Q2,0.03757790313997278,0.019472201371496856,0.030267142751347786,0.1073236294537534,-0.6028261252421527,0.06272596816051357,-0.011792768878974957,0.02232011587506888,-0.05632609055542459,-0.016844511197230183,-0.007525806945125169,-0.007525806945125169,-0.016699440467987214,-0.0,0.110334699467731,-0.030762850791552276,0.0022763832415567675,-0.02546205269366908,-0.05808429975732232,3.3306690738754696e-16,-0.05808048073136973,0.0,-0.05808048073136973,-0.05808048073136973,0.0,0.0,0.840159664649086,0.840159664649086,0.8401596646490861,0.8401596646490861,-0.05808048073136973,-0.058080480731369954,-0.05808048073136973,-0.058080480731369954,-0.05808048073136973,-0.05808048073136973,-0.05808048073136973,0.0,0.0,0.0,0.0,0.0,-0.05808048073136973,-0.058080480731369954,-0.05808048073136973,-0.05808048073136973,-0.058080480731369954,-0.058080480731369954,0.0,-0.0664662841614661,0.19951829464511164,079430
2,79430,Hyundai_Livart,기타제조,2024,Q1,-0.10000507606551601,0.032115935126389994,-0.04254194655523036,-0.09622647576249088,0.2346991035009497,-0.067244747168143,-0.012183674313094972,-0.19145262972301724,1.3681060776794702,1.1773352695771973,1.1571674835129886,1.1571674835129886,-0.017529659783287688,-0.0,0.11265192787422551,-0.006272868624748851,-0.013001130867663191,0.12136131985833976,-0.023680694141577696,0.011764705882352788,0.49144270447655525,0.0,0.3061323739967281,0.5354483396978774,0.0,0.0,-5.77637516644906,-5.77637516644906,-5.776375166449061,-5.776375166449061,0.28745389155924794,0.42330477403351174,0.4124580739369679,0.40796252748283035,0.4020724916912438,0.20693993895136376,0.2308137184178819,0.0,0.0,0.0,0.0,0.0,0.2308137184178819,0.20693993895136353,0.23131350314997112,-0.02368212890585908,-0.023682128905858857,-0.023682128905858857,0.0,-0.24648670764063918,-0.0664662841614661,079430
3,79430,Hyundai_Livart,기타제조,2023,Q4,0.039636691169586125,0.010994830462442429,0.027386000655442833,-0.0007672751727976213,-0.186451457846186,-0.014674667337666314,0.07453166605193962,-0.07474586506047132,11.338929599545535,58.22784865567902,70.0287720245964,70.0287720245964,0.1031497719490223,-0.0,-0.10965773361610065,-0.0065457565880464585,-0.004550077278224318,-0.00757180156657955,-0.05902989272759007,-0.0625,-1.1317287917465144,0.0,-0.5624107372822662,-1.333661294881641,0.0,0.0,-0.059026233347251766,-0.059026233347251766,-0.059026233347251766,-0.059026233347251766,-0.5214541434973128,-0.8798598987935178,-0.8451555217248679,-0.8311446140575629,-0.8131064619964934,-0.36699133188801736,-0.40941961014983197,0.0,0.0,0.0,0.0,0.0,-0.40941961014983197,-0.3669913318880169,-0.41033598685886274,-0.059026233347251766,-0.059026233347251766,-0.059026233347251766,0.0,0.07912884706662607,-0.24648670764063918,079430
4,79430,Hyundai_Livart,기타제조,2023,Q3,-0.13148564766077686,0.009517318030457078,-0.06654453918740777,-0.14434507580487987,-0.006693392467940429,-0.1327443012903542,-0.0009734064587716418,-0.001795048432890356,0.45170732111450407,0.7202075982778199,0.7604512567555161,0.7604512567555161,-0.0012415150237019557,-0.0,0.028955398190522508,0.0021566395604083466,-0.007533279773421997,-0.11207897793263655,-0.001535787938867772,-0.03896103896103886,-0.0015383270511775127,0.0,-0.0015383270511775127,-0.0015383270511775127,0.0,0.0,-0.0015383270511775127,-0.0015383270511775127,-0.0015383270511775127,-0.0015383270511775127,-0.0015383270511775127,-0.0015383270511777347,-0.0015383270511775127,-0.0015383270511775127,-0.0015383270511777347,-0.0015383270511777347,-0.0015383270511777347,0.0,0.0,0.0,0.0,0.0,-0.0015383270511777347,-0.0015383270511775127,-0.0015383270511777347,-0.0015383270511777347,-0.0015383270511777347,-0.0015383270511775127,0.0,0.05201365051551482,0.07912884706662607,079430
5,79430,Hyundai_Livart,기타제조,2023,Q2,-0.07875737861214316,0.011614475985039063,-0.03516526182609647,-0.0813489319031484,0.05399069644364074,-0.06846655611488228,-0.004165266190161443,-0.05935796734917176,1.4775792269521444,1.3006314012672455,1.3057035600397437,1.3057035600397437,-0.005729634111979465,-0.0,0.3075171004307199,-0.031973087460080984,-0.005514657406169521,-0.0022310602386272915,-0.03581912791841346,0.04938271604938271,-0.035819231703527965,0.0,-0.035819231703527965,-0.03581923170352819,0.0,0.0,-0.035819231703527965,-0.035819231703527965,-0.035819231703527965,-0.035819231703527965,-0.03581923170352819,-0.035819231703527965,-0.035819231703527965,-0.03581923170352819,-0.035819231703527965,-0.03581923170352774,-0.035819231703527965,0.0,0.0,0.0,0.0,0.0,-0.035819231703527965,-0.03581923170352819,-0.035819231703527965,-0.035819231703527965,-0.035819231703527965,-0.035819231703527965,0.0,-0.1721383809157485,0.05201365051551482,079430
6,79430,Hyundai_Livart,기타제조,2023,Q1,0.039412079166743164,0.0015805873569739726,0.02152812446214636,0.026811899049829946,0.051534668765138014,0.0292205132229455,0.014256944736413146,0.0733244523720763,0.7720053123019869,0.8886580485206464,0.8831746352092691,0.8831746352092691,0.019658442423474698,-0.0,0.11353477832962133,0.06294645789640896,-0.004395562960080701,0.12061758935426237,0.06497623491867566,0.05813953488372092,0.6111265758881016,0.0,0.3977185073826055,0.5869423850904238,0.0,0.0,0.06497466736075996,0.06497466736075996,0.06497466736075996,0.06497466736075996,0.3436062298316471,0.4872295700922966,0.47758519153469114,0.47358796182970286,0.46835081740916096,0.29484807548906344,0.3160755239043892,0.0,0.0,0.0,0.0,0.0,0.3160755239043892,0.29484807548906333,0.3165199091193096,0.06497466736075996,0.06497466736075985,0.06497466736075996,0.0,-0.08324757926713508,-0.1721383809157485,079430
7,79430,Hyundai_Livart,기타제조,2022,Q4,-0.03547414629803436,0.05625731355593655,0.01001456218495922,-0.17332770074267279,0.2525081248919907,-0.11163038863887609,0.10281680295796936,-0.10509203498180741,81.30474915592502,51.833432902880325,49.444597061575486,49.444597061575486,0.13643344133427504,-0.0,0.11456608043309557,-0.01431559495807777,0.004520310424048435,-0.11445954938682568,0.08414558489005308,-0.023809523809523725,-1.2021301536012352,0.0,-0.42184328037285024,-1.0731972060566886,0.0,0.0,0.08414257530990599,0.08414257530990599,0.08414257530990599,0.08414257530990599,-0.3046283071079956,-0.6700453911219346,-0.6392144313187846,-0.6267673059823513,-0.6107424241636159,-0.2144189973882593,-0.25211178003118806,0.0,0.0,0.0,0.0,0.0,-0.25211178003118806,-0.21441899738825887,-0.2529258783054429,0.08414257530990599,0.08414257530990599,0.08414257530990599,0.0,-0.07028011373519293,-0.08324757926713508,079430
8,79430,Hyundai_Livart,기타제조,2022,Q3,-0.08354768183443473,0.013236947893862983,-0.03329015577165162,-0.09768678572718392,0.028860601780539175,-0.07734677514254251,-0.002029328856992141,-0.007102826054405709,2.2639528838697043,2.9243560437768163,2.8737298473040362,2.8737298473040362,-0.0027327599477244835,-0.0,-0.09093510066157107,-0.06411636151380273,-0.003895125891120621,-0.0359464250541639,-0.02779144307122383,0.023255813953488302,-0.027791604356623312,0.0,-0.027791604356623534,-0.027791604356623534,0.0,0.0,-0.027791604356623534,-0.027791604356623534,-0.027791604356623534,-0.027791604356623534,-0.027791604356623312,-0.027791604356623534,-0.027791604356623312,-0.027791604356623312,-0.027791604356623534,-0.027791604356623312,-0.027791604356623312,0.0,0.0,0.0,0.0,0.0,-0.027791604356623312,-0.027791604356623312,-0.027791604356623534,-0.027791604356623534,-0.027791604356623312,-0.027791604356623534,0.0,-0.15534636122301174,-0.07028011373519293,079430
9,79430,Hyundai_Livart,기타제조,2022,Q2,-0.05363682484934551,-0.0017012090172920935,-0.026013566535105337,-0.0774102066063671,-0.018214015891151014,-0.0674356321507732,0.0014803102643259347,0.022469030664849732,1.0976212888302512,1.2380814116059387,1.2495566654743395,1.2495566654743395,0.0018594125599203926,-0.0,-0.38636857995042173,-0.045732630383092276,-0.007975770342554478,-0.2746673361787626,-0.056550678111290775,0.033707865168539186,-0.056549363648672246,0.0,-0.056549363648672246,-0.05654936364867247,0.0,0.0,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,0.0,0.0,0.0,0.0,0.0,-0.056549363648672246,-0.05654936364867247,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,-0.056549363648672246,0.0,0.13573040774932488,-0.15534636122301174,079430
