,name,sector,year,quarter,Relative Return,이익잉여금변화율,자본총계변화율,비유동자산변화율,비유동부채변화율,매출액변화율,Label,Code
10,Hite_Jinro,Consumer_Goods_&_Retail,2022,Q1,-0.060367014190983226,0.07736521656314133,0.02238425684751877,0.0053036190353181745,-0.14243123809696745,-0.08248706980528042,0.32362506353247594,000080
10,Yuhan_Corporation,Healthcare,2022,Q1,0.07715090444107445,-0.03576857243677756,-0.02254947668513485,0.003961223608116016,-0.32875152305068034,0.029136487684847334,0.019865372246513788,000100
10,Ildong_Pharmaceutical,Healthcare,2022,Q1,0.10966200099932229,0.005505962846233059,0.0022966925940069993,0.001722042608176766,0.007183653781940413,-0.3455204590587124,0.5425262653429956,000230
10,Daesang,Consumer_Goods_&_Retail,2022,Q1,-0.017819326482005193,0.0004292251387612023,-0.0029972869578529515,-0.03470319734599259,-0.22470151714523912,-0.07432328304684899,0.08374936184843425,001680
10,AmoreG,Consumer_Goods_&_Retail,2022,Q1,-0.08153225448064748,0.007209428689631703,0.0047688912843733,0.00013677098251163589,0.014996901701187393,-0.721947310620727,0.060444603613026816,002790
10,Bukwang_Pharmaceutical,Healthcare,2022,Q1,-0.126634295296974,0.026398903594429646,0.024343594599048002,0.004900141285031356,-0.013637609267695083,0.3172202941438571,0.06781111004410387,003000
10,Taekwang_Industrial,Industrials_&_Machinery,2022,Q1,-0.046994655657334364,-0.01286790851956221,-0.014657013407403774,0.016441403068846894,-0.0006012371518775428,-0.030974812950307573,0.07561492524264538,003240
10,Youngjin_Pharmaceutical,Healthcare,2022,Q1,0.07989796276754212,0.5116442950193714,0.013978643384075173,0.007924443356237654,0.007799678661585707,0.029500262429899227,0.062425784506670356,003520
11,S&T_Heavy_Industries,Industrials_&_Machinery,2022,Q1,-0.07328057460380377,0.0011343995160328912,0.0038120023268932712,-0.04971025308253352,0.07119586769219755,0.28778468174787086,0.0057783027351337585,003570
10,Shinsegae,Consumer_Goods_&_Retail,2022,Q1,-0.015314983633494081,-0.02250658414895268,-0.01747155712298909,-0.006640946540753312,-0.07504647300818412,0.07610828996745334,0.09528060117926389,004170
10,Chokwang_Leather,Consumer_Goods_&_Retail,2022,Q1,-0.02367133233401104,-0.005515732685051233,-0.051306906796118934,-0.07063187281745376,-0.11705789452335003,-0.03639936317805792,0.02266246024429127,004700
10,Hyosung,Industrials_&_Machinery,2022,Q1,-0.1595535837565502,0.013709767774316872,0.029321047210683404,0.02759800051030159,-0.019676568440828657,0.17886883613167726,-0.013473937057287666,004800
10,Samkwang_Glass,Industrials_&_Machinery,2022,Q1,-0.08568191434459306,-0.04305679512865335,-0.006552140737596135,0.012147702202544575,-0.0021519198659361027,-0.36680785722078957,0.14074979926186285,005090
10,Lotte_Chilsung_Beverage,Consumer_Goods_&_Retail,2022,Q1,-0.06910852210109772,-0.0026378455487348074,0.09645616808321533,0.006877896042821741,0.08869678693941285,-0.04485957917551886,0.4530239226812254,005300
10,SL_Corp,Consumer_Goods_&_Retail,2022,Q1,0.1667852980486822,-0.030987246226121368,-0.01891147570597007,-0.04839758997777488,0.23454660668248195,0.056260096351754885,-0.12345953370378965,005850
10,SK_Chemicals,Healthcare,2022,Q1,-0.0159229982258443,-0.014773257488093217,-0.020526276325253168,-0.0005888717501187912,-0.012497347626974964,0.011305899910572514,-0.024232689242650873,006120
10,GC_Biopharma,Healthcare,2022,Q1,-0.3220001489555106,0.02054951217334855,0.014855344719876595,-0.02497967528410827,0.0016056478073682712,0.08231847916172219,0.006044521608004005,006280
10,GS_Retail,Consumer_Goods_&_Retail,2022,Q1,-0.045457824708738714,0.027544177553696203,0.019195898232475805,-0.015413456923862867,-0.008319495510492603,0.023873645267978083,0.012015940097771127,007070
10,Ilyang_Pharmaceutical,Healthcare,2022,Q1,-0.08615275436599487,-0.040232866726348515,0.0037087619466269484,0.008833184586550913,-0.006811366495818927,0.25211050658698686,0.045570924329225944,007570
10,Hanssem,Consumer_Goods_&_Retail,2022,Q1,-0.20519969614085584,0.001843100318213442,0.02256447418187635,0.017062301781919698,0.04147824894232266,0.08158404135231767,0.002515940097771119,009240
10,Kwang_Dong_Pharmaceutical,Healthcare,2022,Q1,-0.0473169754486807,-0.0017162375652717277,-0.0024500088105205986,0.011858892179314351,-0.02112056960448272,0.16237595260984283,0.08883499017521046,009290
10,Hyundai_Heavy_Industries,Industrials_&_Machinery,2022,Q1,-0.050000631930637376,-0.003570993793777122,-0.0057258509602529095,-0.004137261369264067,-0.048306314271841844,0.4273557200605753,0.0181929768941321,009540
10,LS_Electric,Industrials_&_Machinery,2022,Q1,-0.14245880361770016,0.004630711594534098,0.003417554604181916,-0.0014431137590427134,-0.2631795043883205,0.10347637265536425,-0.11142119803291539,010120
10,Samsung_Heavy Industries,Industrials_&_Machinery,2022,Q1,-0.07211816626471594,-0.06310909157885902,0.011907474067928803,0.006120664537037301,-0.014068755051284576,0.19454904902098868,0.07943901702084805,010140
10,Hyundai_Mipo_Dockyard,Industrials_&_Machinery,2022,Q1,0.030807565168142273,0.017752162025870488,0.012887148273489246,-0.0040519659507056716,0.00850993387825727,-0.02066111296661033,0.18850417282821347,010620
11,Hyundai_WIA,Industrials_&_Machinery,2022,Q1,0.0351048351378086,-0.010992888572441295,-0.008931570176166748,0.01747020185854542,-0.08801741357328474,0.0389381536021044,-0.11881534706892752,011210
10,Hanwha_Aerospace,Industrials_&_Machinery,2022,Q1,-0.024700936133858934,-0.04511742248926098,-0.03197752797345399,-0.0011958992327600892,0.0005413123649820051,0.3108755331345462,0.16019554659154756,012450
10,S-1_Corporation,Financials,2022,Q1,-0.09627284951384148,0.03601808708738152,0.03415951211807111,0.010460845049127032,-0.005658737607716402,0.004500889193295166,0.05481521401127212,012750
10,Dongwon_Systems,Industrials_&_Machinery,2022,Q1,-0.16743429529697398,0.04162741852106866,0.007261628891118477,0.026425596829174003,0.005560304877730959,-0.04932012041309486,0.2366099404000229,014820
10,UNID,Consumer_Goods_&_Retail,2022,Q1,-0.21355581081351543,-0.04294945438897302,-0.04365334612223304,-0.005931546128388865,0.10179571901792261,-0.32879592849208605,0.12422130382720468,014830
10,SK_Telecom,Telecommunications_&_Media,2022,Q1,0.0507212542864713,0.006657338237303301,0.007505024461338716,0.017693964115378713,0.03575510716521979,-0.001395657289828156,0.06728623924307027,017670
10,Hyundai_Elevator,Industrials_&_Machinery,2022,Q1,-0.1423720002150068,0.08879133966086128,0.0246686200572529,-0.10896091955609122,-0.18495941932414772,0.12976188673824607,0.008879406315251942,017800
10,Coway,Consumer_Goods_&_Retail,2022,Q1,0.025610602662209665,-0.020076417172899763,-0.018594896799074556,0.05671172983591699,-0.5415065255899487,0.043851278049518494,0.010145538759978479,021240
10,Lotte_Shopping,Consumer_Goods_&_Retail,2022,Q1,-0.13590258797990082,-0.015138040632199923,-0.009377085396739648,-0.07245855407124702,-0.06910893606991553,-0.024546882615897436,0.17806287023185724,023530
10,Samsung_Engineering,Industrials_&_Machinery,2022,Q1,-0.08149595537602539,-0.27878415127942335,-0.07547475780272461,0.017986500076528578,0.11280341148657258,0.09083965678819139,0.22354382051429783,028050
11,Sindoh,Consumer_Goods_&_Retail,2022,Q1,0.033427433098087725,0.007005535939322627,0.01608613112194346,0.004073921363192845,0.057013666348489145,-0.16205336580159324,0.056677256778055934,029530
11,Cheil_Worldwide,Consumer_Goods_&_Retail,2022,Q1,0.006843965572591212,0.09562325610677491,0.11223097043996388,0.00788041488060831,0.29501004096888794,0.056999417177961864,0.11460385218568321,030000
10,KT_Corp,Telecommunications_&_Media,2022,Q1,-0.04073012219032794,0.006010066981626205,0.004961379437880997,0.015022534928756603,-0.008280341034535565,0.013081984591415519,0.2461056836875147,030200
10,LG_Uplus,Telecommunications_&_Media,2022,Q1,-0.08297981024714013,-0.004434849733387924,-0.0024962594536235283,0.011298050683656746,0.007434727296070198,0.05923437089143102,0.11264934912416907,032640
10,Sejong_Industrial,Industrials_&_Machinery,2022,Q1,-0.26381271853348853,0.008271732373443808,0.009970686322570699,-0.010290877119928155,-0.014439739212350977,0.08004179273056744,-0.03881586242806126,033530
10,KT&G,Consumer_Goods_&_Retail,2022,Q1,-0.008911523019746282,0.7162260295104879,0.03831900835502533,-0.010733413423443139,-0.044946151243329346,0.007626099185097157,0.09966657707141695,033780
10,Doosan_Heavy_Industries,Industrials_&_Machinery,2022,Q1,0.05200935828481919,0.08318550368323585,-0.2497111043396889,-0.004416556044622766,-0.4188554309855741,-0.06885131752458773,0.03953291373446307,034020
10,SBS_Media,Telecommunications_&_Media,2022,Q1,-0.13134833342522356,-0.035586383847089786,-0.027564476476722444,0.004566251382230435,0.0025323782939273842,0.020817441580714635,-0.06037861215848325,034120
10,Daewoo_Shipbuilding_&_Marine_Engineering,Industrials_&_Machinery,2022,Q1,-0.11678466484926354,-0.4628448718533067,0.23108230725069856,-0.02127115463177276,0.060446225017303234,0.08213953912346494,0.14838278491178009,042660
10,Doosan_Infracore,Industrials_&_Machinery,2022,Q1,-0.05099269360541857,-0.8605243961427484,-0.04671185087791696,0.013070571421263777,0.5538844869871111,-0.049207364490304384,0.015969341421412223,042670
10,Korea_Aerospace_Industries,Industrials_&_Machinery,2022,Q1,0.00269497299570892,-0.030377099756056403,-0.015862986411254054,0.01476422358904872,0.0030845894170128396,0.1970191260805686,0.38298293073425327,047810
10,LG_Household & Health Care,Consumer_Goods_&_Retail,2022,Q1,-0.16614065281380272,0.02935687740471793,0.027900691236087627,0.000609919760604205,-0.1666361569774233,0.14512203626819664,-0.1468910100305496,051900
10,Hyundai_Rotem,Industrials_&_Machinery,2022,Q1,-0.1145168948776868,0.3339246174142728,-0.02462192567958499,0.0024719271978187463,-0.13587678693408112,0.13480818842798403,0.04848663606846709,064350
11,S&T_Motiv,Industrials_&_Machinery,2022,Q1,-0.047497244976356684,-0.014829547011608435,3.352151703828188e-05,-0.009128609809144983,0.06004166583470005,0.14652718105152351,0.058273573161131534,064960
10,Daewoong_Pharmaceutical,Healthcare,2022,Q1,0.051962195931096175,-0.0217043921492015,-0.039540018867615156,-0.0365298422453999,0.0017987478271584978,0.011507546336069652,0.16553173225263612,069620
10,Hyundai_Department_Store,Consumer_Goods_&_Retail,2022,Q1,-0.03840197206465078,-0.011918167927651213,-0.012915354564418946,0.006393229443040771,0.00953914282108781,0.03598742751785322,0.09011992489801761,069960
10,Able_C&C,Consumer_Goods_&_Retail,2022,Q1,-0.18859267962989934,0.06004014332348262,-0.023280699856333298,0.042289618401208484,0.17159923496533758,0.14588429367430078,0.04876417039508117,078520
10,Hyundai_Livart,Consumer_Goods_&_Retail,2022,Q1,-0.1209200095826883,-0.0005282029274653599,-0.0004093610092821276,0.0020106086880653518,-0.029096446139159626,0.013098833490477357,0.13573040774932488,079430
10,Huvepharma,Healthcare,2022,Q1,-0.13190792713777003,0.06667858802221771,0.03521367452680202,-0.002314015910276135,-0.2037620511413447,-0.042140478448915886,-0.08162703164659113,079980
10,Doosan_Engine,Industrials_&_Machinery,2022,Q1,0.06378317419564,-0.6379407965515194,0.21292096838452323,0.0035672642607071925,-0.05270320677006013,0.09193918073427332,0.17498138732360174,082740
10,Basic_House,Consumer_Goods_&_Retail,2022,Q1,-0.22609466629191496,0.014837531836039197,-0.03244638417180368,0.10276130827128205,0.10853429325533903,0.32901107214138947,0.04174500371707864,084870
10,Amorepacific,Consumer_Goods_&_Retail,2022,Q1,-0.040458657903206297,-0.004795163994511409,-0.003656502107042936,0.011178038586642791,0.003919331409934723,0.09094063572333033,0.034662897617862974,090430
10,LF_Corp,Consumer_Goods_&_Retail,2022,Q1,-0.022947144458985182,-0.027151887202844227,-0.020691833478175603,-0.02504142465770376,-0.011479515449519972,0.2150114511421235,0.09961192768367225,093050
10,HHI_Heavy_Industries,Industrials_&_Machinery,2022,Q1,-0.182634295296974,-0.006815927218161155,0.023033424495254473,-0.000629829771396917,-0.011926066774788913,0.3222035133670872,0.06824498717010177,097230
10,CJ_CheilJedang,Consumer_Goods_&_Retail,2022,Q1,-0.034545843208521915,0.003050101591583476,0.0017238594684028108,-0.0030188496322935965,-0.27255424296729736,-0.1120102281620785,0.03175860464971403,097950
10,Hansea,Consumer_Goods_&_Retail,2022,Q1,-0.026021603830890857,-0.030337315200631654,-0.023152576284608983,-0.012514165277907052,0.006397006453077947,-0.25216887567457413,0.2908026533844844,105630
10,Youngone_Corporation,Consumer_Goods_&_Retail,2022,Q1,0.004285114464660501,0.008776331986722674,0.020780297987996632,0.024481379580345353,0.04868778667631113,0.08224736653490672,0.1812908688726999,111770
10,Lock_&_Lock,Consumer_Goods_&_Retail,2022,Q1,0.030938562467271318,-0.3284911137440065,-0.1282994695236781,-0.010103258036934903,-0.7704417902618967,-0.0670708667429043,0.015082159950957866,115390
10,Hanmi_Pharmaceutical,Healthcare,2022,Q1,0.05545851107298187,0.07416324727130374,-0.011256485452756149,-0.013414882981161114,0.03568362722268614,0.16402756197730373,0.05976659368871531,128940
10,Emart,Consumer_Goods_&_Retail,2022,Q1,-0.057403526066204774,-0.20048551398565229,-0.07990944027297009,0.0015458252531866945,-0.03872394721368111,-0.054053692748778914,0.007070595968216464,139480
10,KOLMAR_Korea,Healthcare,2022,Q1,-0.06768452360747629,-0.0072806566895142755,-0.005139596253922241,-0.01629367595120934,-3.6697840452473116,-0.20908331671339342,0.16287612785521915,161890
10,Dong-A_ST,Consumer_Goods_&_Retail,2022,Q1,-0.029405906837946683,0.03704782839820664,0.01026320132987224,-0.020227110920976177,-0.3749526068022331,-0.023899288671748842,0.05710489035921224,170900
10,Jongkundang,Consumer_Goods_&_Retail,2022,Q1,-0.03735103024750505,-0.023912478763971956,0.001010547917230542,-0.014704893656093843,0.022446343469310404,0.04827874389190445,-0.03407102779528162,185750
10,COSMAX,Healthcare,2022,Q1,-0.27316490754187195,-0.029779616436851786,-0.011327180717602303,-0.037825667709587174,0.008238625110612907,0.05463068279098804,0.03486758844941947,192820
