,name,year,quarter,sector,Relative Return,매출액 변화율,이익잉여금 변화율,부채총계 변화율,유동부채 변화율,유동자산 변화율,비유동자산 변화율,Label,Code
28,조선내화,2017,Q4,철강_소재,0.017869906518189704,-0.3173780088069069,-0.03240712164204507,-0.04557723451651319,-0.012986691129184602,-0.008646883777524206,-0.037501053475453516,0.007037621851439391,000480
28,영풍,2017,Q4,철강_소재,-0.05246661892109041,0.054214485282229496,0.002435228563165248,-0.058757533884563284,-0.12789936355210862,-0.06439633936502254,0.009849262092502364,-0.027564313265343393,000670
28,동국제강,2017,Q4,철강_소재,-0.0005269813131925025,-0.03453867881574213,0.006352793246475752,-0.05117072869042538,-0.05973495481638513,-0.0408703270735582,-0.021753692702076277,0.08776384366769185,001230
28,세아베스틸,2017,Q4,철강_소재,-0.10925485369160348,-0.024682704292828705,0.010930510885672762,-0.20943749432758596,-0.3499517320645089,-0.2065014170420102,-0.005993208347597645,0.05553319362687495,001430
28,고려제강,2017,Q4,철강_소재,-0.002723470692834566,0.029962330557362193,-0.003339446843215632,-0.02941017813961888,-0.019388338119262438,-0.038996024218481584,-0.0030959751382901857,-0.030799811837928508,002240
28,세아제강,2017,Q4,철강_소재,-0.01768133366025288,-0.05718581991106675,-0.04825119487297069,-0.057412475223023285,-0.08858198790827188,-0.09154783500615249,-0.028781016141407156,0.10013072101741091,003030
28,현대제철,2017,Q4,철강_소재,-0.05167098592746001,0.021350120299514552,0.02129648500190462,0.01878701295539753,0.11079421488996077,0.03704577201487269,0.014950989570541307,0.3402138495149612,004020
28,삼광글라스,2017,Q4,철강_소재,0.1914579202423202,0.011680655479943569,-0.11486751946117268,-0.03292215737735538,-0.1103863436642516,-0.2563290244632762,0.08738041661130991,-0.033373232376618975,005090
28,POSCO,2017,Q4,철강_소재,0.08341217757263861,-0.021786604229348305,0.0073185046297366,0.04195904588896204,0.4716333004080202,0.07729151567007952,-0.011854044177287304,0.13645240657106558,005490
28,무림P&P,2017,Q4,철강_소재,0.5399634807658368,0.0717813848360076,0.06781272213241074,-0.007099230328169948,0.0174901328561492,0.0972644616346936,-0.0126772030271729,0.11432067015732855,009580
28,고려아연,2017,Q4,철강_소재,-0.01724401903186206,0.031308199580105,0.018192570372095096,-0.14054865871931366,-0.17734130626096734,-0.0055516809269471334,0.003636577317198686,-0.051965645577934316,010130
28,SK텔레콤,2017,Q4,커뮤니케이션서비스,-0.019053309746288723,-0.0135030932642618,0.010236818087558275,0.03827884831800432,0.053217123202783156,0.037929439711723134,0.020317736934436725,-0.06036099655273837,017670
28,제일기획,2017,Q4,커뮤니케이션서비스,-0.03791708898999439,0.11581637379242937,0.029247002417571055,0.12484538547706991,0.15700479275525603,0.12500038207036956,-0.017580467437628755,0.07672048559557727,030000
28,KT,2017,Q4,커뮤니케이션서비스,0.00493876419356485,0.06105534712021421,-0.021342152786148927,0.012219100106762637,0.04841013202473765,-0.04855291914509041,0.00939795531914811,-0.015919384177789965,030200
28,LG유플러스,2017,Q4,커뮤니케이션서비스,0.0437630148841488,0.08811562622359159,0.09311402609784758,0.0009265260068156422,0.07090381402582535,0.023156424105089224,0.0111354003006634,0.02172645455697799,032640
28,SBS,2017,Q4,커뮤니케이션서비스,0.09360478545121158,0.3850467557566293,0.039268801981318324,0.27711316374841455,0.015351962204917635,0.24284380840669528,0.021916729151953307,0.01635574230050323,034120
28,NAVER,2017,Q4,커뮤니케이션서비스,0.023345685819727034,0.0662093669818633,0.043008621103411304,0.10308284106135113,0.26166696453351324,0.1611955064522974,-0.005163777138484815,-0.09113799412642466,035420
28,엔씨소프트,2017,Q4,커뮤니케이션서비스,0.03490457706709513,-0.3104636016761684,0.05039118982316526,0.1948349989264646,0.16251634019339778,0.08350560013703712,0.13454223644000574,-0.19370084818128563,036570
28,풍산,2017,Q4,철강_소재,-0.11710753599660606,0.29167902712237503,-0.006374895405326209,0.0075878790553800535,-0.0038463908472867736,-0.020044570362744873,0.007015148590192366,0.08335828385377464,103140
28,한국철강,2017,Q4,철강_소재,0.011178623263612596,0.049325053383809214,-0.3903065498916751,-0.15819384066100062,0.01992247711961803,0.022748414372167902,-0.28373852777610187,0.1848574580313291,104700
