,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,유동자산 변화율,유동부채 변화율,Label,Code
19,CJ대한통운,2020,Q1,산업재,0.025137678403095942,0.011582653188511705,0.032028375788886176,-0.08419970206439564,0.13908320672729335,0.14544398355066046,-0.20805324300341949,000120
19,두산,2020,Q1,산업재,-0.0619823979223777,0.007964542966585553,0.045186653488663575,0.018011169435576235,0.19999063175562282,0.009912178427312401,-0.0912061080882638,000150
19,LG상사,2020,Q1,산업재,0.4870411980598478,-0.01812853130547676,0.1291536446782835,0.06075019002687165,0.5911049480498096,0.28243365375210483,-0.040930749715722164,001120
19,대한항공,2020,Q1,산업재,-0.06711625460812101,-0.020635772963722765,-0.007390397605075538,-0.19955951725734522,0.0826415655544046,0.008786365557075904,-0.006374697562021692,003490
19,S&T중공업,2020,Q1,산업재,-0.025693149455158534,0.03254657743619083,-0.01953769345161116,-0.2137156366902191,-0.07982172230720197,-0.10228260697268499,-0.32487189387740756,003570
19,LS,2020,Q1,산업재,0.08320297003764945,-0.012948388014689671,0.010703243002982976,0.017947291070455007,0.5651694566362666,0.6360647687124013,-0.019981619898667646,006260
19,LS산전,2020,Q1,산업재,0.10776428213565153,0.017720138530211704,0.023107160978835806,-0.10765867565592502,0.02717534201575722,0.08546466043914691,0.19135469755845652,010120
19,현대상선,2020,Q1,산업재,0.32902914131778693,0.04798741021853048,-0.01573264467018043,-0.02820401797859584,-0.2951319947811575,0.02999001974764126,0.5189624782432478,011200
19,SK텔레콤,2020,Q1,커뮤니케이션서비스,0.07940777204222457,-0.014017962828254182,-0.011017800722044613,0.02745593621912734,0.004444698977104533,-0.06403606698832898,-0.09149328654056599,017670
19,한국단자,2020,Q1,산업재,0.19886250430183489,-0.005734829983197298,0.01708121869543322,-0.09282699693653607,0.05359904963521611,0.05289886130120802,0.44472922095051354,025540
19,제일기획,2020,Q1,커뮤니케이션서비스,0.026178521617852196,0.005414290402709687,-0.057053448603500145,-0.32599964913221413,-0.08926163329303816,0.007701549799054241,-0.182698934053911,030000
19,KT,2020,Q1,커뮤니케이션서비스,0.13154985149695408,-0.015268725559620777,-0.02396994662191554,-0.03845889153724191,-0.04861718103624946,-0.041133669384076366,-0.21255341282114848,030200
19,LG유플러스,2020,Q1,커뮤니케이션서비스,0.255394207892362,-0.014204735294229387,0.00461540408116079,0.03930670022452132,0.05685731626953672,0.02089725977143475,-0.39082758122796,032640
19,SBS,2020,Q1,커뮤니케이션서비스,-0.11715481171548114,0.0730570699518891,-0.06804517520376407,-0.2898872213822218,-0.24133081092605968,-0.3890879765676384,-0.3134700612036054,034120
19,NAVER,2020,Q1,커뮤니케이션서비스,0.2515951882845189,0.02761488786806332,0.04844037384140765,-0.07369796058639022,0.1853635754618832,0.15506910400503426,0.13555406293265354,035420
19,엔씨소프트,2020,Q1,커뮤니케이션서비스,0.11525108026487893,0.004947838004881966,0.06742699003152519,0.39740858712670324,0.10777180682814191,0.2824298701194552,-0.08445423926742945,036570
19,대우인터내셔널,2020,Q1,산업재,0.20168576799466376,-0.006135903294681722,0.06462716249614808,-0.06867477023923652,0.11934596242150053,0.20342566467885392,-0.20957517109628587,047050
19,한국항공우주,2020,Q1,산업재,0.038400743840074414,-0.004016130560730025,0.09369245657681313,-0.25338918114291664,0.15901501668361173,0.1901025002157053,-0.20230653622420403,047810
19,한전KPS,2020,Q1,산업재,-0.018563262419706503,0.04267672478840656,0.006985332672297284,-0.34160339790336314,-0.019435192215451202,0.27079381241057066,-0.2758570856223525,051600
19,현대글로비스,2020,Q1,산업재,0.05401192526478418,-0.017481630773585,0.09345173445438348,-0.006626335610200429,0.22812302746135749,0.14075513144882712,-0.042376978566364826,086280
