,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,자본총계 변화율,비유동자산 변화율,국제유가 변화율,Label,Code
2,하이트진로,2024,Q2,생활소비재,0.028627711658482734,0.2397106647297469,0.0360659600032629,0.00016175982469013306,0.01979840167061564,0.06823672954739804,000080
2,SK하이닉스,2024,Q2,정보기술,0.0056832299734496106,0.8403869145759377,0.06713922790504001,0.004985846139632155,0.01979840167061564,0.08992808521243906,000660
2,CJ,2024,Q2,생활소비재,-0.17122467059725835,1.3340547499669868,0.05183220014249712,0.04897929944839419,0.01979840167061564,-0.059163245803340925,001040
2,대상,2024,Q2,생활소비재,0.1485137855390761,-0.25000690423849414,0.01786116760758616,0.007073145785054358,0.01979840167061564,-0.09678073320051425,001680
2,오리온,2024,Q2,생활소비재,0.1064926806430334,-0.9991972361822897,0.00017266688949968412,0.0010536108177958692,0.01979840167061564,0.12731873388248122,001800
2,아모레G,2024,Q2,생활소비재,-0.2562303020917185,-0.9409800199971029,-0.012114187832392154,-0.02110643985469285,0.01979840167061564,0.0063917608834866135,002790
2,LG,2024,Q2,정보기술,0.014990612373758504,-0.8869336285907609,0.0014523091125289156,0.028751681469092016,0.01979840167061564,0.049045669220156504,003550
2,남양유업,2024,Q2,생활소비재,0.045951548082037684,1.8984911238986335,-0.021851309348612125,-0.03725721260958326,0.01979840167061564,0.4641145683163189,003920
2,농심,2024,Q2,생활소비재,0.08444982766988073,-0.35778883492974833,0.011486982893819775,-0.007817650460232417,0.01979840167061564,-0.07293287864881526,004370
2,한솔테크닉스,2024,Q2,정보기술,-0.09422747279971624,0.3202846675934552,0.008615836995824244,-0.006435221034244987,0.01979840167061564,-0.08271489411237727,004710
2,빙그레,2024,Q2,생활소비재,0.12835130908752176,0.3924193351968073,0.04789409378088316,0.029328965966966436,0.01979840167061564,-0.11972007385289135,005180
2,롯데칠성,2024,Q2,생활소비재,0.10864647338456154,-0.5565564886883743,0.010356528016047806,0.002583496450661249,0.01979840167061564,-0.12846413187448424,005300
2,현대그린푸드,2024,Q2,생활소비재,-0.0636380536335483,-0.8301901515331787,0.03248592428032171,0.13817436168969133,0.01979840167061564,0.18270638957002555,005440
2,삼립식품,2024,Q2,생활소비재,-0.07848034376593117,5.191675256602445,0.11633563873725827,0.00027421780842651344,0.01979840167061564,-0.032944255213092855,005610
2,크라운제과,2024,Q2,생활소비재,0.018625563830069178,-1.1448213877935214,-0.002100412888036529,-0.00048499109324728895,0.01979840167061564,-0.007127261749040575,005740
2,삼성전자,2024,Q2,정보기술,0.0027033693163534683,-0.27101792802356517,0.02038124471672642,0.008786167992265614,0.01979840167061564,-0.22919748518725305,005930
2,삼성SDI,2024,Q2,정보기술,-0.2315671435127912,-0.6676573732778812,0.017273197707435184,0.023964334780293806,0.01979840167061564,-0.08946737351994968,006400
2,GS리테일,2024,Q2,생활소비재,0.0586600120846085,-0.14547585117665685,0.013252234777634042,-0.10705575293836456,0.01979840167061564,0.08145056787194851,007070
2,오뚜기,2024,Q2,생활소비재,-0.007607883268906927,-0.46578596058378774,0.014038788911270084,-0.018379229071753933,0.01979840167061564,0.03902453230191315,007310
2,대덕전자,2024,Q2,정보기술,0.01728136942842861,-0.7175147526387611,0.004775743703821389,0.05370431036334766,0.01979840167061564,0.15248247586581212,008060
2,삼성전기,2024,Q2,정보기술,-0.027343267338761988,-0.20342201707261598,0.022714454697080333,-0.0018011829303584692,0.01979840167061564,-0.14076218433053553,009150
2,LG이노텍,2024,Q2,정보기술,0.1075534805657655,-1.1895527603074774,-0.0062936280290416535,-0.011471568447205094,0.01979840167061564,-0.25267422180303534,011070
2,한국전력,2024,Q2,생활소비재,0.02358362834619821,-1.7695981026857253,-0.026717644860616785,0.008749524353621974,0.01979840167061564,0.2649357861519537,015760
2,삼성에스디에스,2024,Q2,정보기술,-0.0688738226729983,-0.1465603542166959,0.0177047061326725,0.001954601033096637,0.01979840167061564,0.060844780178995965,018260
2,일진머티리얼즈,2024,Q2,정보기술,-0.2064863183738475,-0.9872498468795071,0.00039218523909667624,-0.01883408306463996,0.01979840167061564,-0.013344156443558255,020150
2,신도리코,2024,Q2,정보기술,0.05250804077341569,0.04558763897041329,0.02379491187046967,-0.006170629957431117,0.01979840167061564,0.14739875270247443,029530
2,KT&G,2024,Q2,생활소비재,0.19194711079139515,0.07831942561919591,0.039799399182109285,0.018572267876268533,0.01979840167061564,0.31822761978690717,033780
2,무학,2024,Q2,생활소비재,0.2510068357212483,5.2431910795069925e-05,0.023195903344505497,0.40349631327945334,0.01979840167061564,0.06045197120200148,033920
2,LG디스플레이,2024,Q2,정보기술,0.06870928476030173,-0.3916252588582284,-0.0878966190952527,-0.058314935059422535,0.01979840167061564,-0.016816672104377678,034220
2,SK,2024,Q2,정보기술,-0.10748432094858457,-0.9048850448460046,0.0019750424984057435,-0.0025055215402191022,0.01979840167061564,0.12210989641145588,034730
2,한국가스공사,2024,Q2,생활소비재,0.7475192575237629,-0.024878045185773745,0.02337014461198539,-0.008960224974243092,0.01979840167061564,-0.027917800186637837,036460
2,팜스코,2024,Q2,생활소비재,-0.1286291614052784,0.9751557565644726,-0.010901750482782413,0.004739970226003809,0.01979840167061564,-0.08207382290383906,036580
2,한미반도체,2024,Q2,정보기술,-0.15253733602420821,-1.1745818557486363,-0.060178383823695114,-0.12312141403799282,0.01979840167061564,-0.19476319905215403,042700
2,동원F&B,2024,Q2,생활소비재,0.005977378718013696,-0.7234258007824799,0.011694286229297912,0.013098982958047234,0.01979840167061564,-0.02768518294209326,049770
