,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,비유동부채 변화율,부채총계 변화율,유동부채 변화율,금리 변화율,실업률 변화율,Label,Code
34,CJ대한통운,2016,Q2,산업재,0.01766947210532885,0.12889128226188062,0.45206409394294145,0.08161486566046916,-0.07611133978845541,-0.08606485539000996,-0.044642857142857095,-0.10884308667554576,000120
34,두산,2016,Q2,산업재,0.1182472760576911,2.857063647560562,0.056462947506525696,-0.06530775762065044,-0.11769066062872036,-0.08606485539000996,-0.044642857142857095,0.010615777412827014,000150
34,한화,2016,Q2,에너지_화학,-0.11963789620488255,-0.2309656189719732,-0.13896463459713082,-0.006856082886492754,0.09374383368943229,-0.08606485539000996,-0.044642857142857095,-0.008169161058828388,000880
34,LG상사,2016,Q2,산업재,-0.09240016577767951,0.224974256511129,0.2393885654418182,0.006558242116105895,-0.26373037882277706,-0.08606485539000996,-0.044642857142857095,-0.10499041889703539,001120
34,한국쉘석유,2016,Q2,에너지_화학,-0.08564949341191254,0.012455363029826971,-0.07994066253480414,-0.49114410536161,-0.4951803458295334,-0.08606485539000996,-0.044642857142857095,-0.00914302308301864,002960
34,태광산업,2016,Q2,에너지_화학,-0.06198293431178346,0.3926160049260339,0.011530969475506136,0.07170480614733665,0.09635047438306832,-0.08606485539000996,-0.044642857142857095,0.003052012134175792,003240
34,대한항공,2016,Q2,산업재,-0.038559668537284805,1.4935258764967596,0.056238526968062086,0.05479168478636387,0.052509985497505296,-0.08606485539000996,-0.044642857142857095,-0.028690139370241032,003490
34,S&T중공업,2016,Q2,산업재,-0.11468788997026425,-0.9836663806492401,0.009123980452660385,0.050884510627234425,0.0836712305143843,-0.08606485539000996,-0.044642857142857095,-0.07835715774132139,003570
34,삼성정밀화학,2016,Q2,에너지_화학,-0.05296271180271714,-1.2754680915168097,0.0005684683359967746,0.00363933164911856,0.010696195655837348,-0.08606485539000996,-0.044642857142857095,-0.16505417548574225,004000
34,효성,2016,Q2,에너지_화학,0.1534777984746975,-0.5805314298371178,0.053961787663831196,-0.048970911140585605,-0.10289891402067586,-0.08606485539000996,-0.044642857142857095,0.008662089460464695,004800
34,SK케미칼,2016,Q2,에너지_화학,-0.15460176219070887,-0.7053412509482728,-0.014263080282585605,-0.08956709111457506,-0.17388363423843844,-0.08606485539000996,-0.044642857142857095,-0.12294333711072915,006120
34,LS,2016,Q2,산업재,0.0594178923702119,-0.1559238796807858,0.01122546513437217,-0.05639189964823532,-0.2592356202488235,-0.08606485539000996,-0.044642857142857095,0.13213228635192797,006260
34,대한유화,2016,Q2,에너지_화학,-0.05071435023551498,0.24865860185096067,-0.30273460574846656,-0.11483530561273991,0.0243123007752839,-0.08606485539000996,-0.044642857142857095,-0.12593169363574927,006650
34,국도화학,2016,Q2,에너지_화학,-0.1222520140915675,-0.5093279272853579,0.5317996669312401,-0.052181855112757525,-0.14058225799836788,-0.08606485539000996,-0.044642857142857095,-0.040211982271602,007690
34,한화케미칼,2016,Q2,에너지_화학,0.02973855793924371,-0.3054588443353847,-0.056816699825072536,-0.036029762792166964,-0.007864907030564972,-0.08606485539000996,-0.044642857142857095,-0.07329964740484654,009830
34,OCI,2016,Q2,에너지_화학,-0.21887881235146914,-1.6070890403609712,-0.07993106927714266,-0.06359646236215244,-0.04312617111338557,-0.08606485539000996,-0.044642857142857095,-0.08019995721843763,010060
34,LS산전,2016,Q2,산업재,-0.15865008329183045,0.11449385721783156,-0.13654192890053551,-0.069958610985698,-0.0015813616656007445,-0.08606485539000996,-0.044642857142857095,-0.0692098982491852,010120
34,S-Oil,2016,Q2,에너지_화학,-0.170820468687368,0.011955973742249215,0.1587246338352455,0.07347042568996853,0.020480316143733246,-0.08606485539000996,-0.044642857142857095,0.13137804526155245,010950
34,롯데케미칼,2016,Q2,에너지_화학,-0.0007790827229420955,0.22569737637198917,0.7460121814568945,0.37836911176258936,0.029707007808861485,-0.08606485539000996,-0.044642857142857095,0.03567162649136499,011170
34,현대상선,2016,Q2,산업재,-0.4646852423165565,-1.719538384113898,-0.02061684388593521,-0.17198399277372178,-0.24739512637855277,-0.08606485539000996,-0.044642857142857095,0.23826805472105386,011200
34,금호석유,2016,Q2,에너지_화학,-0.11187737889313507,-0.08123802132944058,-0.009182690562038909,0.013462307094410653,0.021973028988576004,-0.08606485539000996,-0.044642857142857095,0.178539035203508,011780
