접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330004031,Y,00162461,한화솔루션,소액주주,"77,814",-,99.99%,"73,521,880",-,45.40%,2015-12-31,2015,Q4
20170331004684,Y,00162461,한화솔루션,소액주주,"71,772",-,99.99%,"95,254,281",-,57.41%,2016-12-31,2016,Q4
20180814000976,Y,00162461,한화솔루션,소액주주,"74,902",-,99.99%,"94,197,198",-,56.76%,2017-12-31,2017,Q4
20190329004259,Y,00162461,한화솔루션,소액주주,"89,129",-,99.99%,"96,494,016",-,58.75%,2018-12-31,2018,Q4
20200402001215,Y,00162461,한화솔루션,소액주주,"76,123",-,99.9%,"93,925,808",-,57.7%,2019-12-31,2019,Q4
20210316001231,Y,00162461,한화솔루션,소액주주,"247,406","247,408",99.99%,"92,854,650","160,988,234",57.67%,2020-12-31,2020,Q4
20220728000033,Y,00162461,한화솔루션,소액주주,"368,534","368,538",99.99%,"99,860,287","192,402,234",51.9%,2021-12-31,2021,Q4
20230315001436,Y,00162461,한화솔루션,소액주주,"238,874","238,881",99.99%,"101,171,809","192,402,234",52.58%,2022-12-31,2022,Q4
20240328000654,Y,00162461,한화솔루션,소액주주,"272,971","272,978",99.99%,"90,570,151","174,467,885",51.91%,2023-12-31,2023,Q4
20250317001024,Y,00162461,한화솔루션,소액주주,"291,065","291,070",99.99%,"92,860,981","171,892,536",54.02%,2024-12-31,2024,Q4
