접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330004025,Y,00109693,DL,소액주주,"25,008",-,96.75%,"22,952,748",-,59.46%,2015-12-31,2015,Q4
20170331004619,Y,00109693,DL,소액주주,"21,800",-,96.02%,"22,652,531",-,58.69%,2016-12-31,2016,Q4
20180402004589,Y,00109693,DL,소액주주,"20,740",-,95.78%,"22,718,474",-,58.86%,2017-12-31,2017,Q4
20190401005101,Y,00109693,DL,소액주주,"15,721",-,95.19%,"22,927,864",-,59.39%,2018-12-31,2018,Q4
20200515001792,Y,00109693,DL,소액주주,"14,656",-,"95,44%","23,484,306",-,60.83%,2019-12-31,2019,Q4
20210405003117,Y,00109693,DL,소액주주,"48,969","48,982",99.97%,"21,744,876","34,800,000",62.49%,2020-12-31,2020,Q4
20230728000642,Y,00109693,DL,소액주주,"42,151","42,161",99.98%,"10,459,844","20,955,884",49.91%,2021-12-31,2021,Q4
20230728000644,Y,00109693,DL,소액주주,"33,320","33,332",99.96%,"9,739,910","20,955,884",46.48%,2022-12-31,2022,Q4
20240329002623,Y,00109693,DL,소액주주,"30,824","30,837",99.96%,"8,417,478","20,955,884",40.17%,2023-12-31,2023,Q4
20250317000751,Y,00109693,DL,소액주주,"27,576","27,588",99.96%,"8,239,753","20,955,884",39.32%,2024-12-31,2024,Q4
