접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330002741,Y,00155319,POSCO홀딩스,소액주주,"202,376",-,99.99%,"52,570,189",-,60.30%,2015-12-31,2015,Q4
20170331003833,Y,00155319,POSCO홀딩스,소액주주,-,-,-,-,-,-,2016-12-31,2016,Q4
20180621000012,Y,00155319,POSCO홀딩스,소액주주,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401002526,Y,00155319,POSCO홀딩스,소액주주,"166,761",-,99.99%,"57,664,054",-,66.14%,2018-12-31,2018,Q4
20200320000059,Y,00155319,POSCO홀딩스,소액주주,"165,829",-,99.99%,"57,168,759",-,65.57%,2019-12-31,2019,Q4
20210304000604,Y,00155319,POSCO홀딩스,소액주주,"181,772","181,787",99.99%,"56,559,431","76,125,472",74.30%,2020-12-31,2020,Q4
20221114000599,Y,00155319,POSCO홀딩스,소액주주,"308,551","308,619",99.98%,"49,942,837","75,625,572",66.04%,2021-12-31,2021,Q4
20230309000896,Y,00155319,POSCO홀딩스,소액주주,"313,370","313,381",100%,"50,911,719","75,849,177",67%,2022-12-31,2022,Q4
20240322000986,Y,00155319,POSCO홀딩스,소액주주,"795,935","796,001",99.99%,"57,535,687","75,876,207",75.83%,2023-12-31,2023,Q4
20250312001016,Y,00155319,POSCO홀딩스,소액주주,"782,476","782,543",99.99%,"59,996,442","75,620,779",79.34%,2024-12-31,2024,Q4
