observation_date,XTEXVA01KRQ664S
2015-10-01,147369600000000.00000000
2016-01-01,143777100000000.00000000
2016-04-01,144995100000000.00000000
2016-07-01,137655100000000.00000000
2016-10-01,149859900000000.00000000
2017-01-01,158474900000000.00000000
2017-04-01,164924200000000.00000000
2017-07-01,170572100000000.00000000
2017-10-01,156766900000000.00000000
2018-01-01,160576000000000.00000000
2018-04-01,164210000000000.00000000
2018-07-01,172194300000000.00000000
2018-10-01,170772500000000.00000000
2019-01-01,153896500000000.00000000
2019-04-01,162944900000000.00000000
2019-07-01,160682200000000.00000000
2019-10-01,156763100000000.00000000
2020-01-01,159581200000000.00000000
2020-04-01,136760400000000.00000000
2020-07-01,153347500000000.00000000
2020-10-01,155704800000000.00000000
2021-01-01,166965100000000.00000000
2021-04-01,177822200000000.00000000
2021-07-01,190159000000000.00000000
2021-10-01,205794800000000.00000000
2022-01-01,213748100000000.00000000
2022-04-01,225835700000000.00000000
2022-07-01,232112000000000.00000000
2022-10-01,212580800000000.00000000
2023-01-01,198768100000000.00000000
2023-04-01,205887800000000.00000000
2023-07-01,206204000000000.00000000
2023-10-01,218376200000000.00000000
2024-01-01,223547500000000.00000000
2024-04-01,236532100000000.00000000
2024-07-01,235305500000000.00000000
