year,quarter,month,week,code,name,sector,upload_dt,score
2021,Q1,1,1,34220,LG디스플레이,정보기술,2021-01-04,1.0
2021,Q1,1,2,34220,LG디스플레이,정보기술,2021-01-13,-1.0
2021,Q1,1,3,34220,LG디스플레이,정보기술,2021-01-15,1.0
2021,Q1,1,4,34220,LG디스플레이,정보기술,2021-01-27,0.0
2021,Q1,2,1,34220,LG디스플레이,정보기술,2021-02-06,1.0
2021,Q1,2,2,34220,LG디스플레이,정보기술,2021-02-08,-1.0
2021,Q1,2,3,34220,LG디스플레이,정보기술,2021-02-16,1.0
2021,Q1,2,4,34220,LG디스플레이,정보기술,2021-02-22,0.0
2021,Q1,3,1,34220,LG디스플레이,정보기술,,
2021,Q1,3,2,34220,LG디스플레이,정보기술,2021-03-12,-1.0
2021,Q1,3,3,34220,LG디스플레이,정보기술,,
2021,Q1,3,4,34220,LG디스플레이,정보기술,2021-03-23,0.0
2021,Q2,4,1,34220,LG디스플레이,정보기술,2021-04-05,0.0
2021,Q2,4,2,34220,LG디스플레이,정보기술,2021-04-09,1.0
2021,Q2,4,3,34220,LG디스플레이,정보기술,2021-04-20,-1.0
2021,Q2,4,4,34220,LG디스플레이,정보기술,2021-04-27,1.0
2021,Q2,5,1,34220,LG디스플레이,정보기술,,
2021,Q2,5,2,34220,LG디스플레이,정보기술,2021-05-14,1.0
2021,Q2,5,3,34220,LG디스플레이,정보기술,,
2021,Q2,5,4,34220,LG디스플레이,정보기술,2021-05-25,1.0
2021,Q2,6,1,34220,LG디스플레이,정보기술,,
2021,Q2,6,2,34220,LG디스플레이,정보기술,2021-06-14,1.0
2021,Q2,6,3,34220,LG디스플레이,정보기술,2021-06-17,1.0
2021,Q2,6,4,34220,LG디스플레이,정보기술,2021-06-27,1.0
2021,Q3,7,1,34220,LG디스플레이,정보기술,2021-07-01,1.0
2021,Q3,7,2,34220,LG디스플레이,정보기술,2021-07-14,0.0
2021,Q3,7,3,34220,LG디스플레이,정보기술,2021-07-20,1.0
2021,Q3,7,4,34220,LG디스플레이,정보기술,2021-07-27,1.0
2021,Q3,8,1,34220,LG디스플레이,정보기술,,
2021,Q3,8,2,34220,LG디스플레이,정보기술,2021-08-09,0.0
2021,Q3,8,3,34220,LG디스플레이,정보기술,2021-08-17,1.0
2021,Q3,8,4,34220,LG디스플레이,정보기술,2021-08-24,-1.0
2021,Q3,9,1,34220,LG디스플레이,정보기술,2021-09-03,0.0
2021,Q3,9,2,34220,LG디스플레이,정보기술,,
2021,Q3,9,3,34220,LG디스플레이,정보기술,2021-09-16,0.0
2021,Q3,9,4,34220,LG디스플레이,정보기술,2021-09-30,1.0
