,name,sector,year,quarter,Relative Return,자본총계 변화율,비유동자산 변화율,소비자물가지수 변화율,실업률 변화율,전체 주식 수 변화율,특정 증권 등 소유 수 변화율,전체 주주 수 변화율,자기주식수 변화율,1인평균급여 변화율,Label,Code
23,Kia_Corp,운송장비·부품,2019,Q1,0.08997024147169447,-0.060206094367181384,-0.03542275701506514,0.6874179652905958,-0.01754385964912264,0.0817712105947015,0.0924466452740238,0.10675592573904202,0.16864713825763855,0.06223031376013388,0.006943591865531604,000270
23,S&T_Heavy_Industries,운송장비·부품,2019,Q1,0.2373827201340215,0.004314485738651008,0.0036900429100323873,0.6874179652905958,-0.01754385964912264,0.09881647378187752,0.0,0.09881647378187741,0.07666609253733825,0.12622600242603388,-0.029024270615783793,003570
22,SsangYong_Motor,운송장비·부품,2019,Q1,0.000696678209410273,0.09873919100661532,-0.027999757992966057,0.6874179652905958,-0.01754385964912264,0.09873919100661532,0.09873919100661532,0.09873919100661532,0.0,0.9160958690838539,0.23810023250744164,003620
22,Hyundai_Motor,운송장비·부품,2019,Q1,0.04276048110403936,-0.0016117103903494634,-0.019347027083786328,0.6874179652905958,-0.01754385964912264,0.11741559895153852,0.21046578903982527,0.17299873523065268,0.08986152484330268,0.2660042556554376,-0.03283632735337244,005380
22,SL_Corp,운송장비·부품,2019,Q1,0.09038722856491434,0.009365557890556042,0.0012987651777174314,0.6874179652905958,-0.01754385964912264,0.09880722575357825,0.09880722575357814,0.09880722575357803,0.09880722575357825,0.09880722575357814,0.055677637508454426,005850
22,Motonic,운송장비·부품,2019,Q1,0.18169520568545164,0.008900259600900351,-0.09628440226249602,0.6874179652905958,-0.01754385964912264,0.09881971004034285,0.09881971004034296,0.09881971004034285,0.45089433972696935,0.4150633858133408,0.16014239605088287,009680
22,Samsung_Heavy Industries,운송장비·부품,2019,Q1,0.046318827519528635,0.019522377791068024,-0.021018381037394507,0.6874179652905958,-0.01754385964912264,0.10859645322883993,0.10911763841119138,0.10972733421108016,0.33863034661494884,0.2821254286238172,0.05609984285939352,010140
22,Hyundai_Mipo_Dockyard,운송장비·부품,2019,Q1,0.27103964874490916,0.006096987241494989,-0.00545062795282103,0.6874179652905958,-0.01754385964912264,0.09872843391606168,0.09872843391606156,0.09872843391606156,0.20916173908112656,0.22084711918387112,-0.061622309831470067,010620
22,Hwashin,운송장비·부품,2019,Q1,-0.09627388878139434,0.000861489937683757,0.0006666897351393919,0.6874179652905958,-0.01754385964912264,0.09881718181528054,0.0,0.09881718181528054,0.598627998661079,0.3082852348101941,-0.041524270615783794,010690
23,Hyundai_WIA,운송장비·부품,2019,Q1,-0.009773241097929292,0.003070231006772395,0.002179999127323917,0.6874179652905958,-0.01754385964912264,0.09854055052749577,0.09854055052749577,0.09854055052749588,0.23690192936008925,0.11653657413525043,0.07202605256057817,011210
23,Hyundai_Mobis,운송장비·부품,2019,Q1,-0.024333535989977728,-0.008328752416111085,-0.014685347796268289,0.6874179652905958,-0.01754385964912264,0.08373939261420849,0.1036987828595739,0.1053058147000887,0.1944648228892627,0.11577884391430748,0.044630585027260826,012330
22,Hanwha_Aerospace,운송장비·부품,2019,Q1,0.4082865185399758,-0.005651143818883098,-0.0028640112905979898,0.6874179652905958,-0.01754385964912264,0.09698427822291922,0.08098124938914053,0.0967665045474807,0.09543064826825864,-0.027744584683790485,0.011872264475861247,012450
22,Sejong_Industrial,운송장비·부품,2019,Q1,0.14819329893894598,-0.02778065827887577,-0.0007496311104018272,0.6874179652905958,-0.01754385964912264,0.09881836422032642,0.0988183642203263,0.09881836422032653,0.3549832391703279,0.22820099594118604,-0.233837578917828,033530
22,Daewoo_Shipbuilding_&_Marine_Engineering,운송장비·부품,2019,Q1,0.11113222918413021,-0.053637383496142776,0.008010490880107302,0.6874179652905958,-0.01754385964912264,0.10176016591028247,0.10241354569116712,0.10180353526181263,0.2509795861300904,0.16748260803501724,-0.23377320522430034,042660
22,Korea_Aerospace_Industries,운송장비·부품,2019,Q1,0.029813568861352474,-0.02409427231586636,-0.019361569821208846,0.6874179652905958,-0.01754385964912264,0.09836834091360047,0.09836834091360047,0.09836834091360047,0.0,0.14365020406669748,0.05655867148124281,047810
22,Hyundai_Rotem,운송장비·부품,2019,Q1,0.03106046867704794,-0.011176668933998046,0.006297350798349033,0.6874179652905958,-0.01754385964912264,0.09865124704022377,0.09865124704022388,0.09865124704022388,0.0,0.17033658289492049,-0.229751783843297,064350
23,S&T_Motiv,운송장비·부품,2019,Q1,0.029973753268767847,0.025012103462073942,0.13490172177615212,0.6874179652905958,-0.01754385964912264,0.0988131657808583,0.09881316578085819,0.0988131657808583,0.42292995613386297,0.14953350755981276,0.39050812581722216,064960
