,name,year,quarter,sector,Relative Return,비유동부채 변화율,영업이익 변화율,법인세차감전 순이익 변화율,유동부채 변화율,매출액 변화율,이익잉여금 변화율,Label,Code
7,한화,2023,Q1,에너지_화학,0.036252798260019405,-0.03887419192546315,-0.46577992480545594,-0.7616029051062339,0.05400120975204592,0.01687639891214676,-0.010222303682339895,-0.01279572273054784,000880
7,한국쉘석유,2023,Q1,에너지_화학,-0.05177408928035748,0.10576070079316802,0.6933453656916335,0.9532328223834008,0.2392511666610575,-0.017001596121830054,-0.129843142269761,-0.09338967191245653,002960
7,태광산업,2023,Q1,에너지_화학,-0.07101088696543104,0.032388953645046126,-0.7368712157226582,-1.4611013839705969,0.06627633764989671,-0.0449905641098679,0.013788769267533585,-0.15095545202413502,003240
7,삼성정밀화학,2023,Q1,에너지_화학,0.08857069167211663,-0.021810649791139336,-0.03267210187137637,-2.6368450991479695,0.1388555841841328,0.062328175221395554,0.0013133690257265407,-0.036391422563455525,004000
7,효성,2023,Q1,에너지_화학,-0.01168097635031631,0.012126735683885004,-0.7372147011892272,-0.9387770226216895,0.5301593008315182,0.050347850175162634,-0.014919934398721635,-0.10970465047223199,004800
7,SK케미칼,2023,Q1,에너지_화학,0.06870581589392949,0.7899828515063771,-5.814736393846588,-0.35608609775529476,0.11362225090747335,-0.3522124074523394,0.007085177521413355,0.10815352603681631,006120
7,대한유화,2023,Q1,에너지_화학,-0.1975938177386253,-0.2483665627848447,-0.671274112843649,-0.7059282915748404,0.4352223831043751,0.4598642490960472,-0.01714995664450858,-0.08681563459606115,006650
7,국도화학,2023,Q1,에너지_화학,-0.06171496759203285,0.0095300274045107,0.43415206562786746,-6.941711453908761,0.20831524617060304,0.017134444615589217,0.009636234445653757,0.12116965380782872,007690
7,한화케미칼,2023,Q1,에너지_화학,0.0,-0.03977476443365435,-0.43522984467222803,-0.8211084050005268,-0.19990374759914786,-0.19824758289205913,0.004550456961804672,-0.2280743733857604,009830
7,OCI,2023,Q1,에너지_화학,0.19513661772793411,-0.8396707132731227,-1.0671445562255495,-0.968994458443656,2.08281546562506,-0.9979475558694915,0.01378549000561513,0.0,010060
7,S-Oil,2023,Q1,에너지_화학,-0.105243000952106,-0.030023842604504414,-4.197331909689675,0.08240421248823693,0.06564190095900524,-0.14320023187296682,-0.012287398547428552,0.046751974265665366,010950
7,롯데케미칼,2023,Q1,에너지_화학,-0.015133810228318691,0.6330249241879635,-1.0938554239177718,-1.2575022863861083,0.0906213109184093,-0.07421065450113284,0.0031132361959054222,-0.25414156388623677,011170
7,금호석유,2023,Q1,에너지_화학,-0.13991940004791373,-0.09799882163361062,0.17164345208849108,0.7469653540983443,0.32429531008056944,0.0954700924696299,-0.002729799072356487,-0.09908015032564269,011780
7,SKC,2023,Q1,에너지_화학,-0.10057633428543933,8.671149603856065e-05,4.059540082834983,152.80764221713588,-0.42484220215238366,-1.2864472804184033,3.106995121093803e-05,0.06915617501024422,011790
7,한솔케미칼,2023,Q1,에너지_화학,0.01637658282379737,-0.00031600100761275396,0.2622072537850684,2.1148471172783645,0.09225096471760352,-0.10183966338392147,0.03617519773057509,-0.16692129165087075,014680
7,동원시스템즈,2023,Q1,에너지_화학,0.006889979758286119,0.055034218692958214,0.1306024748183119,-6.601178625671104,0.14547470718240074,0.004084425211047016,0.061168082565871584,-0.1522336995943268,014820
7,유니드,2023,Q1,에너지_화학,-0.286849925909164,-0.08734987319002463,-1.3804406302397423,-1.5529840875419196,-0.15035999081669216,5.93053298881709,-0.011914118024714093,-0.13226425763426072,014830
7,남해화학,2023,Q1,에너지_화학,-0.04513299901708809,-0.28373815803825697,-1.0971758486802494,-1.0907684015430332,-0.02730020082436868,0.07535274492155253,-0.00685316709136341,-0.13154500926763235,025860
7,LG화학,2023,Q1,에너지_화학,-0.0472218674266497,0.10648675895877768,-0.8502727165988878,-1.134015005920258,0.16226386255852154,0.2026333470660835,-0.0409864139998144,-0.14147697958152422,051910
7,휴켐스,2023,Q1,에너지_화학,0.12884360917004642,0.00815956703653975,2.3669887831592296,12.792851883845305,0.5806527606681569,0.043150329895610406,0.00724854472426939,-0.05408836186878842,069260
7,GS,2023,Q1,에너지_화학,-0.04019605451713219,-0.17479098706572072,27.537861508986406,34.82396116280414,0.993467383500759,13.06464316797215,0.0999380960819376,-0.06475395302776282,078930
7,휴비스,2023,Q1,에너지_화학,-0.013554355811930902,0.06747151252500205,-0.4084990135879081,-0.4076756390207513,0.08046160486614817,0.07700125440848415,-0.11177270419386165,-0.11190420769319956,079980
7,후성,2023,Q1,에너지_화학,-0.028302913971210198,-0.008972366119403108,-0.8207183499473545,-0.9280578955000796,-0.006025937349775967,-0.1508427943910161,-0.010183454083623422,-0.09901612818090144,093370
7,SK이노베이션,2023,Q1,에너지_화학,0.0803272153507631,-0.10398449214323591,12.675311443489884,35.14916355074788,0.5072370353039779,0.9715463984935886,-0.013158123714886116,0.03912453632181512,096770
7,코오롱인더,2023,Q1,에너지_화학,0.007215744922481462,-0.005289825644205548,-0.3225189559372328,-1.3578612095782756,0.09745608871190381,-0.13799584262250753,-0.017977867489646693,0.2216512831016258,120110
