,name,year,quarter,sector,Relative Return,당기순이익 변화율,국제유가 변화율,금리 변화율,소비자물가지수 변화율,실업률 변화율,Label,Code
23,경방,2019,Q1,경기소비재,0.11455147885393055,0.04072481016869256,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.040084517690679194,000050
23,유한양행,2019,Q1,헬스케어,-0.0043811838837226336,1.572822466514817,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.014660066264538203,000100
23,일동제약,2019,Q1,헬스케어,0.10398841392456162,-1971.1418924540155,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.12989226784397004,000230
23,한국타이어월드와이드,2019,Q1,경기소비재,0.08965665710338488,1.80959373287277,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.06653944086627385,000240
23,기아차,2019,Q1,경기소비재,0.22830130454072456,22.061216651401896,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.10098884400028099,000270
23,동아쏘시오홀딩스,2019,Q1,헬스케어,0.016111266024000447,-1.2225848059344875,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.1300372837390861,000640
23,SK네트웍스,2019,Q1,경기소비재,-0.09688784689682635,-1.4083095149331013,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.035223477066856856,001740
23,넥센타이어,2019,Q1,경기소비재,0.0004960052998084635,-0.021840691919447153,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.05602256155802762,002350
23,부광약품,2019,Q1,헬스케어,-0.13773146786338733,-0.9674901959352693,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.11057331901045478,003000
23,일신방직,2019,Q1,경기소비재,0.03029305301134629,-1.0546695826218084,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.08912750190341145,003200
23,영진약품,2019,Q1,헬스케어,-0.053645883868767064,-2.1123155317555815,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.2763510110479937,003520
23,쌍용차,2019,Q1,경기소비재,-0.07444480172650844,9.658173848664982,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.26669851343738016,003620
23,한솔홀딩스,2019,Q1,경기소비재,0.03098410010931751,-1.0889444991144095,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.006378103177246568,004150
23,신세계,2019,Q1,경기소비재,0.01117437377182113,9.175943828083321,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.2235193800760003,004170
23,세방전지,2019,Q1,경기소비재,0.008287281005574285,-0.21315774485542927,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.09002628430762613,004490
23,조광피혁,2019,Q1,경기소비재,0.08499873047564444,-0.15686084486229102,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.01646950861070466,004700
23,현대차,2019,Q1,경기소비재,0.102010224728518,0.3014374200773806,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.06984532580635265,005380
23,에스엘,2019,Q1,경기소비재,0.07427327785973833,3.5502132461287665,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.09847443145705176,005850
23,녹십자,2019,Q1,헬스케어,-0.08976268973753454,-0.4962112517859998,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.11167185849764714,006280
23,동아타이어,2019,Q1,경기소비재,0.019260594952952174,-0.9271149006960897,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.029564575429748968,007340
23,일양약품,2019,Q1,헬스케어,-0.07533507582895178,-1.2966045920453728,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.15507327529336856,007570
23,서연,2019,Q1,경기소비재,0.05081974853804182,-7.795379040967015,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.17707653956377678,007860
23,서흥,2019,Q1,헬스케어,0.0586074972270033,0.938585162830732,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.18957113556892938,008490
23,호텔신라,2019,Q1,경기소비재,0.14586987385132502,-0.09857737875713368,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.1919193800760003,008770
23,한샘,2019,Q1,경기소비재,-0.0230980003797071,0.01463792002484765,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.19278244106564357,009240
23,광동제약,2019,Q1,헬스케어,0.012140336302373156,2.071756492612412,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.015370752471864216,009290
23,모토닉,2019,Q1,경기소비재,-0.01343692974302671,0.6386070127079031,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.16976748134182307,009680
23,화신,2019,Q1,경기소비재,0.27859153025733047,-0.17649176229868413,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,-0.15038843545059313,010690
23,현대위아,2019,Q1,경기소비재,0.10413962685792014,-3.9609890563438284,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.02117173872446107,011210
23,현대모비스,2019,Q1,경기소비재,0.047248319966613245,0.7908995190802766,-0.06709658363690052,-0.09282764948769218,-0.6874179652905958,0.01754385964912264,0.1718246957533836,012330
