,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,발행금액 변화율,현재까지 감소한 주식의 총수 변화율,금리 변화율,실업률 변화율,국제유가 변화율,Label,Code
16,현대중공업,2020,Q4,중공업,0.06919230916493299,0.4223863384573603,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.18953198958350204,009540
16,삼성중공업,2020,Q4,중공업,-0.16253200938734758,0.04280851216247017,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,-0.11626654964734412,010140
16,현대미포조선,2020,Q4,중공업,0.3054352155519937,0.1205554670710951,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.5357704126401688,010620
16,한화테크윈,2020,Q4,중공업,0.28320079864359915,0.02072174270448013,0.0,0.027401296405421327,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.03199781496555087,012450
16,SK텔레콤,2020,Q4,커뮤니케이션서비스,-0.14644010149018505,-0.05222539289866124,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.22431357743014252,017670
16,현대엘리베이,2020,Q4,중공업,-0.13973479856089485,0.3911322892853155,-0.2428109487245128,0.09277306034459198,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.11894539345943225,017800
16,제일기획,2020,Q4,커뮤니케이션서비스,-0.2504967954104901,-0.026193145783061422,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.079842253040428,030000
16,KT,2020,Q4,커뮤니케이션서비스,-0.09983873746509994,0.061908712081415684,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.14838908409715276,030200
16,LG유플러스,2020,Q4,커뮤니케이션서비스,-0.21049873952618584,-0.02000113396557579,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.23651442304334377,032640
16,두산중공업,2020,Q4,중공업,-0.5525277418455321,0.0,-0.1453051643192489,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.10338240903317135,034020
16,SBS,2020,Q4,커뮤니케이션서비스,0.09215936211759598,-0.01304320374227419,0.01537227538762398,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.3383103043648658,034120
16,NAVER,2020,Q4,커뮤니케이션서비스,0.12161869244126366,0.0816568107285478,0.0,0.007253532387846429,0.13205764233403983,0.04166666666666674,0.030879044146171264,-0.12525002619150338,035420
16,엔씨소프트,2020,Q4,커뮤니케이션서비스,-0.08463042604976495,0.0,0.015372275387662837,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,-0.12412710673813299,036570
16,대우조선해양,2020,Q4,중공업,-0.182585628916713,0.035209638685962386,0.041696175637393695,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.35915649211744693,042660
16,두산인프라코어,2020,Q4,중공업,-0.316457462196225,0.0864564553854632,-0.051518018405435684,0.015372275387652401,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.2743185720484617,042670
16,현대로템,2020,Q4,중공업,0.08083517114286573,0.0,-0.2880434782608695,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,-0.04655100636791496,064350
16,두산엔진,2020,Q4,중공업,0.19865885928451993,0.21151543559131047,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.3212788906987244,082740
16,한진중공업,2020,Q4,중공업,-0.39102079511859045,0.0013337124243451015,0.0,0.0,0.13205764233403983,0.04166666666666674,0.030879044146171264,0.1713770196377581,097230
