,name,year,quarter,sector,Relative Return,유동자산 변화율,이익잉여금 변화율,자본총계 변화율,실업률 변화율,Label,Code
13,한화,2021,Q3,에너지_화학,0.0808788398881068,0.04597633579367266,0.017907966280165333,0.012504349750308563,-0.1504424778761062,0.023345682662620472,000880
13,한국쉘석유,2021,Q3,에너지_화학,0.06956474850893979,0.04270472949416604,0.08422537082180837,0.07745886453214701,-0.1504424778761062,-0.0027251104801802872,002960
13,태광산업,2021,Q3,에너지_화학,-0.026338656826371452,0.06487945464275602,0.02062210861643443,0.016767583851676093,-0.1504424778761062,0.10881816546633931,003240
13,삼성정밀화학,2021,Q3,에너지_화학,0.25897579890359673,0.15487905283899184,0.09702752536149717,0.06939760217302715,-0.1504424778761062,0.011192482323128389,004000
13,효성,2021,Q3,에너지_화학,-0.07112166698334282,0.01981957860507011,0.02227447856379383,0.0707487010451413,-0.1504424778761062,-0.05133099880799524,004800
13,SK케미칼,2021,Q3,에너지_화학,0.020774740702538548,0.49388070099563186,-0.0012423090953156413,-0.0018507957541848974,-0.1504424778761062,-0.11717360887833464,006120
13,대한유화,2021,Q3,에너지_화학,-0.1936325819552562,0.018285603775254122,0.01683555549175919,0.014197979483429934,-0.1504424778761062,-0.06776548241642111,006650
13,국도화학,2021,Q3,에너지_화학,-0.09622409670901483,0.21979540715984291,0.09324602240785684,0.25214429576415065,-0.1504424778761062,0.08831012167414186,007690
13,한화케미칼,2021,Q3,에너지_화학,-0.015605952533326237,-0.17199084730033853,0.02042934971895516,0.0128254166223023,-0.1504424778761062,0.0761150110006276,009830
13,OCI,2021,Q3,에너지_화학,0.12457441416797951,0.06690810719735096,0.027995875587544683,0.01703416513710798,-0.1504424778761062,-0.005491479873869318,010060
13,S-Oil,2021,Q3,에너지_화학,0.0913741247347584,0.035259526401180796,0.045633179865506746,0.033886930497164736,-0.1504424778761062,-0.03046678797721597,010950
13,롯데케미칼,2021,Q3,에너지_화학,-0.08596633787393786,0.011551358342313245,0.015048636968238993,0.011305680241371796,-0.1504424778761062,0.03158071357695039,011170
13,금호석유,2021,Q3,에너지_화학,-0.05036066156742836,0.03850478282340042,0.10181156633877064,0.10367268921813744,-0.1504424778761062,0.02100150102317956,011780
13,SKC,2021,Q3,에너지_화학,0.1499634532245844,0.07717194134432304,0.03177226024757518,0.027366012471279788,-0.1504424778761062,-0.1841733541664145,011790
13,한솔케미칼,2021,Q3,에너지_화학,0.24644451834787032,0.04025071958524373,0.07549457317041841,0.06800206705729117,-0.1504424778761062,-0.3202445102373416,014680
13,동원시스템즈,2021,Q3,에너지_화학,0.24976917403240717,0.030939157406667306,0.07511709006555711,0.029179636865868774,-0.1504424778761062,0.14216029272097247,014820
13,유니드,2021,Q3,에너지_화학,-0.00945457202408062,0.11672154661153278,0.03455418274928501,0.0381296123212842,-0.1504424778761062,-0.07954498166399479,014830
13,남해화학,2021,Q3,에너지_화학,0.15955637948417734,-0.0080482446390584,-0.008285007446566794,-0.006699935290605197,-0.1504424778761062,-0.10525218629245467,025860
13,LG화학,2021,Q3,에너지_화학,-0.07954271961492179,0.13831042354698186,0.04538660773107139,0.03764345412204895,-0.1504424778761062,-0.3102866247233178,051910
13,휴켐스,2021,Q3,에너지_화학,0.01828860568628305,-0.022973120653454582,0.030862968351162978,0.020654025914894403,-0.1504424778761062,-0.00898662612647956,069260
13,GS,2021,Q3,에너지_화학,0.075970406876725,-0.23799039980829573,0.05519522445880587,0.03617345643411052,-0.1504424778761062,0.012941085234636537,078930
13,휴비스,2021,Q3,에너지_화학,-0.07835550500304964,-0.07336004389526563,0.00295541433916946,0.0018981147218908312,-0.1504424778761062,-0.14584978047732933,079980
13,후성,2021,Q3,에너지_화학,0.8714492374896359,0.13678405542661642,0.14069261550297218,0.08121559125663214,-0.1504424778761062,-0.17314465390836475,093370
13,SK이노베이션,2021,Q3,에너지_화학,-5.1346344926719856e-05,0.2609333882163394,0.07577953799807213,0.051955867890777885,-0.1504424778761062,0.01465462356472648,096770
13,코오롱인더,2021,Q3,에너지_화학,0.09379061371841156,0.06940690952002959,0.05057496347021195,0.025873755111256225,-0.1504424778761062,-0.1973177370741484,120110
