,name,year,quarter,sector,Relative Return,부채총계 변화율,이익잉여금 변화율,유동자산 변화율,환율 변화율,자본금 변화율,주식액면가액 변화율,Label,Code
14,한화,2021,Q2,에너지_화학,0.01151504220474716,0.009553752504470214,0.023377637105098437,0.029471968157635198,0.007129469356493168,0.0,0.0,0.014915234550561547,000880
14,한국쉘석유,2021,Q2,에너지_화학,-0.027952306953183736,-0.2536936680470714,0.08781133263257668,-0.07927028799707814,0.007129469356493168,0.0,0.0,0.06956474850893979,002960
14,태광산업,2021,Q2,에너지_화학,-0.08851809009365873,0.0620232785046424,0.028599279296516622,0.0589811731876122,0.007129469356493168,0.0,0.0,-0.01849147284323388,003240
14,삼성정밀화학,2021,Q2,에너지_화학,0.1128712131247934,0.07027602793558807,0.036776923616500756,0.09825681391852026,0.007129469356493168,0.0,0.0,0.25897579890359673,004000
14,효성,2021,Q2,에너지_화학,0.1154619178241586,-0.200308183530447,0.02314431090305402,-0.20077591854870935,0.007129469356493168,0.0,0.0,-0.07112166698334282,004800
14,SK케미칼,2021,Q2,에너지_화학,-0.07035163621097289,-0.13751319479354362,-0.0031070200679859106,-0.46046580364641154,0.007129469356493168,0.0,0.0,0.020774740702538548,006120
14,대한유화,2021,Q2,에너지_화학,-0.09655986834860011,0.2518316903642237,0.034332402930047135,0.16321904624700956,0.007129469356493168,0.0,0.0,-0.1936325819552562,006650
14,국도화학,2021,Q2,에너지_화학,0.2200103928324326,0.20104514181999522,0.1403905470379121,0.3529259287910531,0.007129469356493168,0.0,0.06503423680590625,-0.09622409670901483,007690
14,한화케미칼,2021,Q2,에너지_화학,-0.12605394059287972,0.2787280441181501,0.08527684593711626,0.09189635845709665,0.007129469356493168,0.0,0.0,-0.015605952533326237,009830
14,OCI,2021,Q2,에너지_화학,-0.11463576375990772,-0.028354312934704917,0.04074939943876288,0.07716837705228041,0.007129469356493168,0.0,0.0,0.12457441416797951,010060
14,S-Oil,2021,Q2,에너지_화학,-0.023942982943859728,-0.022381991415156732,0.09384509381463868,0.02862795386075856,0.007129469356493168,0.0,0.0,0.0913741247347584,010950
14,롯데케미칼,2021,Q2,에너지_화학,-0.09123746181363857,0.010391059397485858,0.027118294541454757,0.05093718018534332,0.007129469356493168,0.0,0.0,-0.08596633787393786,011170
14,금호석유,2021,Q2,에너지_화학,-0.21134637767119813,-0.010546992160962332,0.14888508050313454,0.05180468568283869,0.007129469356493168,0.0,0.0,-0.05036066156742836,011780
14,SKC,2021,Q2,에너지_화학,0.2668792982232491,-0.03656239635573588,-0.012073692352009724,-0.28418521605087066,0.007129469356493168,0.0,0.0,0.1499634532245844,011790
14,한솔케미칼,2021,Q2,에너지_화학,0.20601703426603893,-0.1416380698773595,0.07775206520177336,-0.1395471045284391,0.007129469356493168,0.0,0.06502226706076009,0.24644451834787032,014680
14,동원시스템즈,2021,Q2,에너지_화학,-0.0047118785684444955,0.03156904750432221,0.07293035857461572,0.02834740069883468,0.007129469356493168,0.0,0.0,0.24976917403240717,014820
14,유니드,2021,Q2,에너지_화학,0.5420193219720737,-0.1522531794220745,0.12470394284210684,0.06922512813900439,0.007129469356493168,0.0,0.0,-0.00945457202408062,014830
14,남해화학,2021,Q2,에너지_화학,0.16349027108733244,0.4919106050414517,0.01734758332954578,0.21798184699706424,0.007129469356493168,0.0,0.0,0.15955637948417734,025860
14,LG화학,2021,Q2,에너지_화학,0.05509229428467009,-0.017901895937870727,0.05008834185663025,-0.022818267888958133,0.007129469356493168,0.0,0.0,-0.07954271961492179,051910
14,휴켐스,2021,Q2,에너지_화학,0.13130298307494598,-0.11043334759966583,0.046391913632891635,-0.08501412914192041,0.007129469356493168,0.0,0.0,0.001375610746234053,069260
14,GS,2021,Q2,에너지_화학,-0.12488315388403068,-0.11031271763944583,0.0027828935378357844,-0.44756046101784663,0.007129469356493168,0.0,0.0,0.075970406876725,078930
14,휴비스,2021,Q2,에너지_화학,-0.035852208247260944,-0.02818482171181247,0.024554880350748265,-0.03159381985825571,0.007129469356493168,0.0,0.0,-0.07835550500304964,079980
14,후성,2021,Q2,에너지_화학,0.38042568836590457,-0.002920895726213235,0.09656856055421614,-0.07263842102370299,0.007129469356493168,0.0,0.0,0.8714492374896359,093370
14,SK이노베이션,2021,Q2,에너지_화학,-0.11775860051021352,0.05120772334807011,0.11504180734395253,0.5694038906978838,0.007129469356493168,0.0,0.06495526517766836,-5.1346344926719856e-05,096770
14,코오롱인더,2021,Q2,에너지_화학,0.30793020134311766,-0.001986202023678052,0.04976064822953652,-0.003632458645501102,0.007129469356493168,0.0,0.0,0.09379061371841156,120110
