Variable,VIF
const,1.1891339136640267
F_유동자산 변화율,1.1052923506024275
F_비유동자산 변화율,1.8238878969390768
F_자산총계 변화율,5.682983455629635
F_유동부채 변화율,1.699732347502307
F_비유동부채 변화율,1.2475259568875456
F_부채총계 변화율,5.50133310579369
F_이익잉여금 변화율,1.0534094023627978
F_자본총계 변화율,3.0055515479184485
F_매출액 변화율,1.042949620917503
F_영업이익 변화율,1.0348165267181078
F_법인세차감전 순이익 변화율,1.1605748667629578
F_당기순이익(손실) 변화율,1.190415159331666
M_소비자물가지수 변화율,1.310334747352101
M_금리 변화율,3.0881658460248644
M_수출액 변화율,6.733670859368813
M_실업률 변화율,3.198554646089103
M_국제유가 변화율,3.5962583860020354
