,name,year,quarter,sector,Relative Return,영업이익 변화율,비유동부채 변화율,비유동자산 변화율,매출액 변화율,부채총계 변화율,이익잉여금 변화율,Label,Code
10,한화,2022,Q2,에너지_화학,0.14146888500578209,-0.36881928558859756,0.10903430685457716,0.02661544888123446,0.053503582587976606,0.05001227849004253,0.010814640905272732,-0.034910876485036345,000880
10,한국쉘석유,2022,Q2,에너지_화학,0.046177535082498944,0.03854392745694879,0.06101481589752433,0.011229545728183243,0.12047931662687072,-0.21035173349538194,0.09059022257352622,0.034814523891978075,002960
10,태광산업,2022,Q2,에너지_화학,-0.04799590552283823,-1.0388901674705886,-0.009995964915453182,-0.0031917778931286334,-0.02448808957572368,-0.006285272491472038,0.002647702828487697,-0.15702609939161882,003240
10,삼성정밀화학,2022,Q2,에너지_화학,-0.07625433178886362,0.17035894197504642,-0.031063116913316202,-0.008137277950716726,0.049653935899694135,-0.11218317312944315,0.06954639183182731,-0.10260207148868916,004000
10,효성,2022,Q2,에너지_화학,-0.02622894125537778,0.2788865150522559,0.0477715760275752,0.028783860492369362,0.07875884080755591,-0.18429386177565676,0.005456206753087889,-0.0164169322954114,004800
10,SK케미칼,2022,Q2,에너지_화학,-0.031607328065656144,-1.0652233880575974,0.6817350899195564,0.058427836430512636,0.05653662535370807,-0.04447510175905478,-0.014395392095240767,-0.1307915082456566,006120
10,대한유화,2022,Q2,에너지_화학,-0.06255681901992194,18.671951849042205,-0.07712773460178679,0.010768919641505947,-0.003279326083128642,-0.10570005670798144,-0.01687150836480289,0.08328835955401884,006650
10,국도화학,2022,Q2,에너지_화학,0.03269435282292643,0.2910343429744209,0.21005067328611093,0.03843451131868725,0.08121827828720041,0.08399136240867455,0.07383350938733013,-0.11457694174271812,007690
10,한화케미칼,2022,Q2,에너지_화학,0.5523209740931654,0.5565746281033355,0.0001904269950099291,0.015779476054727626,0.06451993146817014,0.03230779099019099,0.10791253023425962,0.11937637178730293,009830
10,OCI,2022,Q2,에너지_화학,0.29575264424722736,-0.02026938668758993,0.3292650138240807,0.01615142600533792,0.0697530218890845,0.12368906450415906,0.022123567417080325,-0.15596350108731077,010060
10,S-Oil,2022,Q2,에너지_화학,-0.1417745728974242,0.29287689712308795,-0.04351938861980498,-0.0037883121819723975,0.23111230282648387,-0.10526792754312442,0.17273502118208062,0.04011318165545789,010950
10,롯데케미칼,2022,Q2,에너지_화학,0.021660426195996493,-1.4603877450927714,0.08937075379589432,0.023008574565544393,-0.048310552970278864,-0.09654314486563687,-0.003285278559383875,-0.0429830057868965,011170
10,금호석유,2022,Q2,에너지_화학,-0.04716175801795871,-0.1933262253116137,-0.08730983137032988,0.0018870567197191157,0.039326383699944456,-0.2938353278368422,0.0580192465606264,0.12512279623617856,011780
10,SKC,2022,Q2,에너지_화학,0.001877816154686511,-1.1476914927440873,-0.00046037198252057987,0.0011610404457715884,-0.37199468370035327,0.3293946344908327,-0.010052555866328139,-0.17547457532893496,011790
10,한솔케미칼,2022,Q2,에너지_화학,-0.03313437642554728,0.029308495920827404,0.2749188948481607,0.05508922761369717,-0.01988785521687031,0.07254057455751228,0.06587070445763699,-0.02660831762067973,014680
10,동원시스템즈,2022,Q2,에너지_화학,0.08766369903446392,0.8618951361943148,-0.0017208911151820327,-0.0004451734184706124,0.15118711640217986,0.06752420169917106,0.16131885770184784,-0.1626975739750105,014820
10,유니드,2022,Q2,에너지_화학,-0.14850415840676978,0.07351797596314769,-0.10489819833085234,-0.020740661626828638,0.056410384757430654,0.0518816310790593,0.045736890939546804,-0.1632928890878599,014830
10,남해화학,2022,Q2,에너지_화학,-0.19611497849276588,-0.5059701494606055,-0.12934066452745652,0.011571213108336975,0.028819135095858206,0.29319672974586486,0.06131445167891547,-0.08784016672678441,025860
10,LG화학,2022,Q2,에너지_화학,0.3414158141459821,-0.10862776800291662,0.09922086484433512,0.02574584356733789,0.015263531667068841,-0.005705697066850757,0.05661650707011456,0.12067835179173411,051910
10,휴켐스,2022,Q2,에너지_화학,-0.07538744731747352,-0.12943409886351054,0.02902431937927563,-0.1319855645819492,-0.020024288162935555,-0.07789372739449052,0.055969326234995176,0.052749944915958816,069260
10,GS,2022,Q2,에너지_화학,-0.03789663624175677,-0.9455149240340489,-0.18696767353575305,0.03257375807880103,-0.8903528371379785,-0.09919034155722783,0.0038539051821464554,0.13323485260809573,078930
10,휴비스,2022,Q2,에너지_화학,-0.09360819131611647,0.03691645555736511,0.03179734103921206,0.03232081279214882,-0.05719094159695515,0.01527930793248955,-0.0417444690710862,-0.15973609665980862,079980
10,후성,2022,Q2,에너지_화학,-0.11566837914012207,-0.043063593805903744,-0.3737608288162032,0.0021549056248546528,-0.008642588722252431,-0.07227051340564772,0.05373155183540845,-0.15461434680653222,093370
10,SK이노베이션,2022,Q2,에너지_화학,0.03610704782834237,-0.8117145639273518,-0.053058552539685055,0.005552918857963718,-0.3892556297709907,0.07175739989061913,-0.008438586662948389,-0.06195396468074852,096770
10,코오롱인더,2022,Q2,에너지_화학,-0.101920054495242,0.006226059819746332,-0.2229618089394202,-0.0021365981465569783,0.05178417812267622,-0.0008980834275548188,0.024972112736839858,-0.1279302568168745,120110
