,name,year,quarter,sector,Relative Return,영업이익 변화율,비유동부채 변화율,매출액 변화율,유동자산 변화율,법인세차감전 순이익 변화율,비유동자산 변화율,Label,Code
17,한화,2021,Q1,에너지_화학,0.049482279190664655,-0.8674092355653699,0.01830424213874582,-0.37119150601161777,0.14543029749811054,-0.8313508289346517,0.07100429869727298,-0.013944575554147989,000880
17,한국쉘석유,2021,Q1,에너지_화학,0.11114082104582246,0.7125812594630927,0.11986553335044303,0.13685548448926377,0.0728336574421724,0.5688374440463637,-0.03529561223624611,-0.027952306953183736,002960
17,태광산업,2021,Q1,에너지_화학,0.25528704719089096,-8.920383344580488,0.025563184027246555,0.41258837567702034,0.10167140409086639,-2.570174497786701,0.014678622513178752,-0.09278234446534045,003240
17,삼성정밀화학,2021,Q1,에너지_화학,0.06145430122390323,0.29908926778445166,-0.00473464347757202,0.13876535187441452,0.10542147662969481,1.5684328517104351,0.00353437501144116,0.1128712131247934,004000
17,효성,2021,Q1,에너지_화학,0.20262256265532305,0.7145011876245537,0.011351932432649203,0.6907453065929343,0.29413603762576823,2.8778737612504073,0.01172138868965411,0.1154619178241586,004800
17,SK케미칼,2021,Q1,에너지_화학,-0.11462178132425084,-7.576937221638725,0.03859609082037885,0.07230203104884692,-0.021893071735590963,2.2293682077154955,0.0027742255023592843,-0.05979500300252185,006120
17,대한유화,2021,Q1,에너지_화학,-0.19835470633533195,0.05717714309136368,0.011900632297692448,0.0913063426695584,0.3049455061409192,0.49183851495794895,-0.018460713169938914,-0.10180308852455355,006650
17,국도화학,2021,Q1,에너지_화학,0.14036810366153796,2.642956885570864,-0.014627114182033663,0.2893823123820307,0.4123753354838535,4.09293393311076,0.09129105987813757,0.24936355784892536,007690
17,한화케미칼,2021,Q1,에너지_화학,-0.008450258678940737,2.639866837302879,0.014863841426375979,0.1201464519780171,0.7123140800464678,-102.65059217085306,0.009691832748041085,-0.10943065866991167,009830
17,OCI,2021,Q1,에너지_화학,-0.026135434697953496,0.7483616876517627,-0.22019745333483276,0.05086334105182022,0.09929220712890707,-1.1515961343737329,-0.011708604198016559,-0.07535724318988968,010060
17,S-Oil,2021,Q1,에너지_화학,0.15431940474312822,6.710412732667925,-0.05927936203323869,0.24103268630151642,0.4669161944365665,1.7917009038619556,-0.01507516252190444,-0.023942982943859728,010950
17,롯데케미칼,2021,Q1,에너지_화학,-0.14166211592505534,3.0394969653697794,-0.004073864595952381,0.34555809746780564,0.23240949723885818,-9.978372125319531,0.0024391286600997653,-0.1081164354778553,011170
17,금호석유,2021,Q1,에너지_화학,-0.011446247758757615,1.310823839670491,-0.055493514886803985,0.30315422894226307,0.31302570289941833,1.4675590518447543,0.01639443205099389,-0.21134637767119813,011780
17,SKC,2021,Q1,에너지_화학,0.09443715074817449,-1.1467586940198626,0.25450882589631707,0.09073987840776554,-0.05718025401451654,-3.1033175486810545,0.01086228724169258,0.2668792982232491,011790
17,한솔케미칼,2021,Q1,에너지_화학,0.05316464540792426,0.976050912606699,0.1206395598325416,0.1368096346461214,0.45274467545103225,1.5445223861511024,0.028806015447933486,0.25150573500485823,014680
17,동원시스템즈,2021,Q1,에너지_화학,-0.14915791918673757,-0.06903801262249332,-0.0001980964944598984,0.05435222083540281,0.15191577541700463,0.39987518624269947,-0.00038691309428695586,-0.019061539795597875,014820
17,유니드,2021,Q1,에너지_화학,0.14756737875873854,5.57027891357226,-0.07182707237962971,0.26462005616085116,0.0896189320992562,-3.4328998077787376,-0.0050883013349678485,0.531984636329958,014830
17,남해화학,2021,Q1,에너지_화학,0.062233202103824006,-1.6378104211289128,-0.07571950889009338,0.42877850261832684,0.08184380231857724,-2.0929339371872855,-0.008773169218587618,0.16349027108733244,025860
17,LG화학,2021,Q1,에너지_화학,0.037992412672218645,4.086740346420948,0.26408944209288054,-0.06672893512945499,0.47784278326906193,-5.476881597728583,0.012152640488325872,0.053448890457294417,051910
17,휴켐스,2021,Q1,에너지_화학,-0.08754706900635502,-0.055443121883868796,-0.0035760800651873925,0.1607153584293608,0.23654183383293037,2.087896721134504,-0.15056209475342508,0.13418714090054984,069260
17,GS,2021,Q1,에너지_화학,0.20388717257270525,4.556241203854065,0.24651711168121238,2.4872084721561163,3.616703909547547,-1.400001613853317,0.0004969072856362278,-0.12488315388403068,078930
17,휴비스,2021,Q1,에너지_화학,0.23662471190516693,-2.4150278323883274,0.07679643597725305,-0.05126206135047506,-0.04641937826466713,-3.4823513136279,0.005083306546042277,0.0005528202066519446,079980
17,후성,2021,Q1,에너지_화학,-0.08299692147784285,-0.07783326886685016,-0.06639841995859641,0.03439533323998578,-0.014344722724255798,40.32170465447768,0.020642309780471102,0.38042568836590457,093370
17,SK이노베이션,2021,Q1,에너지_화학,0.28820015772134966,-3.236709712877153,0.3244779005360343,3.337350202621823,0.47359880449542735,-0.06684771844020787,-0.0031572394265340087,-0.07905737283558806,096770
17,코오롱인더,2021,Q1,에너지_화학,0.036469406871421764,0.0014605564566660956,-0.0088339924159887,-0.06311029958183534,0.1008627932076882,3.08699036520031,0.011386940939259071,0.30793020134311766,120110
