,name,year,quarter,sector,Relative Return,부채총계 변화율,비유동자산 변화율,유동자산 변화율,소비자물가지수 변화율,금리 변화율,수출액 변화율,Label,Code
1,한화,2024,Q3,에너지_화학,0.06275613215673034,-0.14816537391274343,-0.041729297853612346,-0.17403698507814225,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.49845922369954465,000880
1,한국쉘석유,2024,Q3,에너지_화학,0.12008604781721018,-0.053147362424495026,0.05239294386006765,0.02199347129189566,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.16438000813000822,002960
1,태광산업,2024,Q3,에너지_화학,0.19670176248602217,-0.06635882249396308,-0.003509457340576838,-0.025936946836952024,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.09028906093906083,003240
1,삼성정밀화학,2024,Q3,에너지_화학,-0.03877385162564892,0.016955186899511254,0.06713336021594163,-0.0712629329928346,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.04858521292784245,004000
1,효성,2024,Q3,에너지_화학,0.28848431621547854,-0.6663176664721311,0.042502933192337666,-0.8722932868178792,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.0896235370320736,004800
1,SK케미칼,2024,Q3,에너지_화학,0.12280287122368874,-0.07018981102688793,0.0014245585343759526,-0.16954673173173884,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.06816567053636018,006120
1,대한유화,2024,Q3,에너지_화학,-0.00892081771309286,-0.3875847817595457,-0.015665792509759524,-0.26737283186955363,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.03147620535888695,006650
1,국도화학,2024,Q3,에너지_화학,-0.014387877679587185,0.01885909135645014,-0.0022936243498640208,0.027286576852102007,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.09592852061198565,007690
1,한화케미칼,2024,Q3,에너지_화학,-0.2414832138755157,-0.005350083189236021,0.12468931338052514,-0.0012072264319160642,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.10403782829746315,009830
1,OCI,2024,Q3,에너지_화학,-0.1191115966435922,-0.1028296631611948,0.0011104228814364792,-0.03903000922270228,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.309120017306637,010060
1,S-Oil,2024,Q3,에너지_화학,-0.05363911926143122,0.061874991413851,0.04133594836170751,0.006089581445867687,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.016189315271884025,010950
1,롯데케미칼,2024,Q3,에너지_화학,0.04915451021900591,-0.05074373640260832,0.003103622983274823,-0.13282642022966606,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.08117744324640883,011170
1,금호석유,2024,Q3,에너지_화학,-0.08354305760830244,-0.15642893436723881,-0.017422919512980806,-0.10562261355511415,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.007139043451892667,011780
1,SKC,2024,Q3,에너지_화학,0.01559470582586818,0.6132205993438984,0.2571833704343083,-0.022299057339249417,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.11604806357164844,011790
1,한솔케미칼,2024,Q3,에너지_화학,-0.20445172140632356,-0.018751449777060336,0.0017722113148566088,0.0513926734447554,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.07914744131388983,014680
1,동원시스템즈,2024,Q3,에너지_화학,0.19999148706067277,0.0125789099443685,-0.009817927511992064,0.06128426055755054,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.28322037825217855,014820
1,유니드,2024,Q3,에너지_화학,-0.16423103730031866,-0.17220501092681295,-0.01101062267283981,-0.048244431804323584,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.2715443441029275,014830
1,남해화학,2024,Q3,에너지_화학,0.030924357925593268,-0.11536566418131045,-0.014504244989319015,-0.05364672820216243,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.05337545518997141,025860
1,LG화학,2024,Q3,에너지_화학,0.10172354717191566,-0.06537150766254729,0.0023227695161205375,-0.0540962419278076,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.2253170356506579,051910
1,휴켐스,2024,Q3,에너지_화학,0.09038181990938945,-0.323752096147218,0.011461538363457091,-0.13322749817463997,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.16956820353559482,069260
1,GS,2024,Q3,에너지_화학,0.013343954393894034,-0.029210974814723123,0.0020275508196048175,-0.03445109331783658,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.18311379921781384,078930
1,휴비스,2024,Q3,에너지_화학,-0.13919425521309284,0.009014312953882442,-0.03823555001652579,-0.0039341761507251105,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.032702591526120886,079980
1,후성,2024,Q3,에너지_화학,-0.06854425521309285,-0.0649293639472488,0.00727601757010321,-0.11254839848341613,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,-0.16432976472346555,093370
1,SK이노베이션,2024,Q3,에너지_화학,0.12187734555836327,0.07703784976578043,-0.006331943898766457,0.023798509570767568,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.11261302860637461,096770
1,코오롱인더,2024,Q3,에너지_화학,-0.08915894447862957,-0.09407962743954357,-0.010501416120609619,0.017780206288503964,-0.2377021247854798,-0.11983510689291532,-0.0051857654838392,0.04774502979290211,120110
