Variable,VIF
const,1.1774503205363838
F_유동자산 변화율,2396834039.0113544
F_비유동자산 변화율,97376179793.73822
F_자산총계 변화율,182391042741.3938
F_유동부채 변화율,11083301038.710089
F_비유동부채 변화율,1014869161.1375333
F_부채총계 변화율,21898702821.072548
F_이익잉여금 변화율,176147780.29354548
F_자본총계 변화율,63282133957.74019
F_매출액 변화율,9092789684.03683
F_영업이익 변화율,5712575.542346179
F_법인세차감전 순이익 변화율,2391322.065122488
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.405924336402663
M_환율 변화율,37.1482322726666
M_GDP 변화율,103.06649520217134
M_금리 변화율,3.27940005610451
M_수출액 변화율,18.741430173678747
M_실업률 변화율,6.733711519482437
M_국제유가 변화율,4.863335862516852
M_주택가격 변화율,79.4001805431465
Relative Return,1.0218566127326496
