trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-05,2021-01-30,1.0,9125,9450,0.0356,PP
2021-02-04,2021-02-23,1.0,10000,11350,0.135,PP
2021-03-02,2021-03-23,2.0,11375,12525,0.1011,PP
2021-04-02,2021-04-30,4.0,13250,17225,0.3,PP
2021-05-02,2021-05-18,3.0,17225,17100,-0.0073,PN
2021-06-02,2021-06-27,2.0,16374,16350,-0.0015,PN
2021-07-02,2021-07-23,3.0,17075,20150,0.1801,PP
2021-08-12,2021-08-19,2.0,17575,15850,-0.0982,PN
2021-09-07,2021-09-27,1.0,16750,16500,-0.0149,PN
2021-10-21,2021-10-21,0.0,15150,15075,-0.005,
2021-11-08,2021-11-22,1.0,16275,19300,0.1859,PP
2021-12-06,2021-12-23,3.0,18275,18050,-0.0123,PN
2022-01-19,2022-01-19,1.0,18050,17800,-0.0139,PN
2022-02-08,2022-02-21,1.0,19075,16850,-0.1166,PN
2022-03-18,2022-03-25,1.0,16325,17175,0.0521,PP
2022-05-09,2022-05-23,2.0,14250,15000,0.0526,PP
2022-06-16,2022-06-16,0.0,13700,13300,-0.0292,
2022-07-06,2022-07-20,1.0,12850,13600,0.0584,PP
2022-08-05,2022-08-16,2.0,13400,13000,-0.0299,PN
2022-09-14,2022-09-23,1.0,12150,12900,0.0617,PP
2022-10-05,2022-10-24,0.0,12550,11950,-0.0478,
2022-11-17,2022-11-30,1.0,12900,13400,0.0388,PP
2022-12-05,2022-12-20,1.0,13150,12550,-0.0456,PN
2023-01-10,2023-01-30,1.0,12700,13900,0.0945,PP
2023-02-02,2023-02-23,0.0,14520,15740,0.084,
2023-03-05,2023-03-30,2.0,15570,21300,0.368,PP
2023-04-02,2023-04-24,3.0,21200,20300,-0.0425,PN
2023-05-03,2023-05-31,3.0,20850,26550,0.2734,PP
2023-06-07,2023-06-30,1.0,25150,30150,0.1988,PP
2023-07-03,2023-07-24,3.0,30400,47200,0.5526,PP
2023-08-02,2023-08-24,3.0,51500,55500,0.0777,PP
2023-09-06,2023-09-23,1.0,58800,49800,-0.1531,PN
2023-10-04,2023-10-29,4.0,51600,57200,0.1085,PP
2023-11-13,2023-11-28,0.0,61100,61600,0.0082,
2023-12-05,2023-12-25,1.0,59500,58600,-0.0151,PN
2024-01-04,2024-01-31,2.0,59300,58700,-0.0101,PN
2024-02-02,2024-02-27,2.0,58200,82700,0.421,PP
2024-03-06,2024-03-25,2.0,94300,97400,0.0329,PP
2024-04-01,2024-04-24,5.0,134100,142600,0.0634,PP
2024-05-07,2024-05-31,0.0,134500,161700,0.2022,
2024-06-03,2024-06-26,3.0,158100,179800,0.1373,PP
2024-07-05,2024-07-23,3.0,159000,145500,-0.0849,PN
2024-08-05,2024-08-28,4.0,112500,122800,0.0916,PP
2024-09-06,2024-09-24,2.0,99400,105600,0.0624,PP
2024-10-02,2024-10-22,1.0,105400,98800,-0.0626,PN
2024-11-06,2024-11-24,1.0,97500,83400,-0.1446,PN
2024-12-05,2024-12-23,3.0,75300,86700,0.1514,PP
2025-01-06,2025-01-31,3.0,95900,113200,0.1804,PP
2025-02-03,2025-02-25,4.0,108200,100200,-0.0739,PN
2025-03-05,2025-03-31,2.0,91200,68200,-0.2522,PN
