trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-12,2021-01-27,3.0,191000,214500,0.123,PP
2021-02-04,2021-02-17,1.0,210000,201000,-0.0429,PN
2021-03-03,2021-03-30,3.0,200000,187000,-0.065,PN
2021-04-06,2021-04-28,4.0,194500,187500,-0.036,PN
2021-05-03,2021-05-30,3.0,177500,168000,-0.0535,PN
2021-06-06,2021-06-29,2.0,181500,176500,-0.0275,PN
2021-07-07,2021-07-30,2.0,185000,192000,0.0378,PP
2021-08-11,2021-08-26,1.0,184500,179500,-0.0271,PN
2021-09-02,2021-09-29,3.0,185500,176500,-0.0485,PN
2021-10-06,2021-10-28,0.0,168000,167000,-0.006,
2021-11-02,2021-11-30,2.0,159500,166500,0.0439,PP
2021-12-07,2021-12-23,2.0,181000,185000,0.0221,PP
2022-01-05,2022-01-27,2.0,191000,171500,-0.1021,PN
2022-02-04,2022-02-28,2.0,174500,166000,-0.0487,PN
2022-03-02,2022-03-30,1.0,165000,166500,0.0091,PP
2022-04-06,2022-04-27,3.0,160000,159500,-0.0031,PN
2022-05-04,2022-05-27,1.0,167500,149500,-0.1075,PN
2022-06-07,2022-06-22,5.0,148500,131500,-0.1145,PN
2022-07-06,2022-07-27,0.0,132500,143000,0.0792,
2022-08-01,2022-08-25,-1.0,142500,137000,-0.0386,NN
2022-09-05,2022-09-27,-1.0,136500,119500,-0.1245,NN
2022-10-02,2022-10-26,-1.0,114500,122500,0.0699,NP
2022-11-11,2022-11-28,-1.0,142000,132000,-0.0704,NN
2022-12-20,2022-12-25,2.0,141500,134000,-0.053,PN
2023-01-03,2023-01-25,0.0,133000,150800,0.1338,
2023-02-03,2023-02-28,2.0,148400,144000,-0.0296,PN
2023-03-06,2023-03-27,1.0,147500,154900,0.0502,PP
2023-04-04,2023-04-26,1.0,155000,139100,-0.1026,PN
2023-05-09,2023-05-24,1.0,139700,143100,0.0243,PP
2023-06-02,2023-06-27,1.0,150100,145200,-0.0326,PN
2023-07-06,2023-07-30,3.0,143000,144400,0.0098,PP
2023-08-01,2023-08-23,3.0,144600,146200,0.0111,PP
2023-09-06,2023-09-29,2.0,143700,137400,-0.0438,PN
2023-10-06,2023-10-26,1.0,132400,124100,-0.0627,PN
2023-11-07,2023-11-29,3.0,138400,146100,0.0556,PP
2023-12-04,2023-12-29,3.0,147300,153200,0.0401,PP
2024-01-05,2024-01-31,2.0,151600,139600,-0.0792,PN
2024-02-01,2024-02-26,3.0,140000,134100,-0.0421,PN
2024-03-04,2024-03-28,1.0,141000,149900,0.0631,PP
2024-04-02,2024-04-29,3.0,153900,151300,-0.0169,PN
2024-05-02,2024-05-23,2.0,154500,158200,0.0239,PP
2024-06-06,2024-06-23,4.0,151700,149400,-0.0152,PN
2024-07-05,2024-07-31,4.0,162900,159600,-0.0203,PN
2024-08-05,2024-08-25,3.0,147200,143100,-0.0279,PN
2024-09-02,2024-09-30,1.0,142800,132500,-0.0721,PN
2024-10-07,2024-10-29,2.0,130300,120200,-0.0775,PN
2024-11-03,2024-11-26,-1.0,117400,114900,-0.0213,NN
2024-12-04,2024-12-24,2.0,106600,127000,0.1914,PP
2025-01-05,2025-01-24,0.0,124800,128100,0.0264,
2025-02-05,2025-02-24,1.0,133300,143700,0.078,PP
2025-03-06,2025-03-25,4.0,136100,137600,0.011,PP
