trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-07,2021-01-26,1.0,132500,129000,-0.0264,PN
2021-02-21,2021-02-21,0.0,136000,133000,-0.0221,
2021-03-04,2021-03-30,2.0,143000,134500,-0.0594,PN
2021-04-01,2021-04-19,0.0,138000,138000,0.0,
2021-05-03,2021-05-17,1.0,127500,117500,-0.0784,PN
2021-06-06,2021-06-30,0.0,129500,127500,-0.0154,
2021-07-14,2021-07-27,1.0,122500,116000,-0.0531,PN
2021-08-05,2021-08-18,0.0,121000,104000,-0.1405,
2021-09-16,2021-09-30,1.0,107000,103000,-0.0374,PN
2021-10-13,2021-10-26,0.0,90900,102000,0.1221,
2021-11-04,2021-11-22,-2.0,107000,119500,0.1168,NP
2021-12-11,2021-12-30,-2.0,121000,131000,0.0826,NP
2022-01-06,2022-01-20,1.0,123500,125000,0.0121,PP
2022-02-03,2022-02-23,0.0,124500,128500,0.0321,
2022-03-04,2022-03-21,0.0,127500,122000,-0.0431,
2022-04-15,2022-04-22,0.0,108000,110500,0.0231,
2022-05-12,2022-05-19,0.0,109500,111000,0.0137,
2022-06-01,2022-06-08,0.0,106000,106000,0.0,
2022-07-12,2022-07-29,-2.0,94000,97900,0.0415,NP
2022-08-03,2022-08-24,1.0,96900,93200,-0.0382,PN
2022-09-07,2022-09-30,1.0,91100,83100,-0.0878,PN
2022-10-05,2022-10-26,0.0,90000,93900,0.0433,
2022-11-02,2022-11-30,0.0,84200,85000,0.0095,
2022-12-01,2022-12-29,-1.0,87300,75000,-0.1409,NN
2023-01-07,2023-01-18,-2.0,84900,85100,0.0024,NP
2023-02-06,2023-02-23,0.0,91400,92700,0.0142,
2023-03-07,2023-03-29,-1.0,89700,86900,-0.0312,NN
2023-04-03,2023-04-03,-1.0,89700,87200,-0.0279,NN
2023-05-11,2023-05-25,1.0,86900,103500,0.191,PP
2023-06-05,2023-06-05,1.0,110100,108700,-0.0127,PN
2023-07-06,2023-07-26,0.0,116000,113000,-0.0259,
2023-08-12,2023-08-21,-1.0,114600,116400,0.0157,NP
2023-09-06,2023-09-27,-1.0,118600,114700,-0.0329,NN
2023-10-01,2023-10-26,-1.0,113000,120000,0.0619,NP
2023-11-03,2023-11-22,0.0,126500,131300,0.0379,
2023-12-06,2023-12-26,2.0,126800,140900,0.1112,PP
2024-01-07,2024-01-29,0.0,137500,135000,-0.0182,
2024-02-01,2024-02-29,3.0,133100,156200,0.1736,PP
2024-03-07,2024-03-26,0.0,164500,176600,0.0736,
2024-04-04,2024-04-30,3.0,184400,174200,-0.0553,PN
2024-05-02,2024-05-28,0.0,169000,202500,0.1982,
2024-06-04,2024-06-29,0.0,196400,236500,0.2042,
2024-07-21,2024-07-24,2.0,209000,208500,-0.0024,PN
2024-08-07,2024-08-22,1.0,160900,191100,0.1877,PP
2024-09-04,2024-09-22,-1.0,152900,157100,0.0275,NP
2024-10-06,2024-10-24,4.0,178400,198200,0.111,PP
2024-11-07,2024-11-25,1.0,197400,177000,-0.1033,PN
2024-12-03,2024-12-25,2.0,159200,168500,0.0584,PP
2025-01-07,2025-01-24,1.0,205000,221000,0.078,PP
2025-02-07,2025-02-25,4.0,205000,200500,-0.022,PN
2025-03-05,2025-03-31,1.0,188200,190700,0.0133,PP
