Variable,VIF
const,1.2491969311410216
F_유동자산 변화율,1.1755210655085406
F_비유동자산 변화율,1.896731091521454
F_자산총계 변화율,3.0931250795168395
F_유동부채 변화율,2.2924042026410443
F_비유동부채 변화율,1.0798414022091918
F_부채총계 변화율,2.8597021724657403
F_이익잉여금 변화율,1.011224633987959
F_자본총계 변화율,2.425785319492647
F_매출액 변화율,1.0416007274780932
F_영업이익 변화율,1.011322050649847
F_법인세차감전 순이익 변화율,1.3174647240078396
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4073665073552886
M_환율 변화율,40.21006696725922
M_GDP 변화율,116.86694073475464
M_금리 변화율,3.323057544027726
M_수출액 변화율,19.540290382156176
M_실업률 변화율,7.929450641446866
M_국제유가 변화율,5.067012088389349
M_주택가격 변화율,88.20594296274767
Relative Return,1.027689103597933
