F_유동자산 변화율,F_비유동자산 변화율,F_자산총계 변화율,F_유동부채 변화율,F_비유동부채 변화율,F_부채총계 변화율,F_이익잉여금 변화율,F_자본총계 변화율,F_매출액 변화율,F_영업이익 변화율,F_법인세차감전 순이익 변화율,F_당기순이익 변화율,F_당기순이익(손실) 변화율,F_자본금 변화율,M_소비자물가지수 변화율,M_환율 변화율,M_GDP 변화율,M_금리 변화율,M_수출액 변화율,M_실업률 변화율,M_국제유가 변화율,M_주택가격 변화율,P_보유 주식 수 변화율,P_1인평균급여 변화율,P_기초 소유 주식 수 변화율,P_기초 소유주식 지분율 변화율,P_기말 소유주식 수 변화율,P_기말 소유주식 지분율 변화율,P_발행할 주식 총수 변화율,P_현재까지 발행한 주식 총수 변화율,P_현재까지 감소한 주식의 총수 변화율,P_발행주식의 총수 변화율,P_자기주식수 변화율,P_유통주식수 변화율,P_증자주식수 변화율,P_주식액면가액 변화율,P_발행금액 변화율,Relative Return
1.0,-0.05506636930851293,0.411154451277642,0.31774456033333126,0.024395017351532888,0.4151544601336651,0.09870248262881727,0.03779355250823815,0.20313095010160248,-0.018061031945154613,-0.009318040161744263,-0.0062626059212630755,-0.0062626059212630755,0.0650605737945938,-0.0011190454986597788,0.01865465754393305,0.0159449612326165,0.010685750203158808,0.012288393345770683,0.0032339004992337672,0.0036006336156461202,0.015121471780149802,-0.008037925574045139,0.0063471816389867,-0.008084079264735162,-0.007727518817596953,-0.008013350352316016,0.0060602598190004275,-0.0028698777010457226,0.00282698074303192,-0.017360484539957165,0.005217514616511507,-0.003812657996713588,0.005372989089244862,0.0024153223361689157,0.0019749369016542314,0.001974548918983206,0.028021242934042363
-0.05506636930851293,1.0,0.5524014456169097,-0.02124144146829169,0.04106620045265186,0.17245319961558397,-0.062439297276311624,0.20798561300299695,0.03027608526092069,0.03475302413323202,-0.015690111981342833,-0.02484992586109356,-0.02484992586109356,-0.0024934202410576587,-0.025802004436027547,0.04663074825278507,0.03694504785466642,0.04928841889130902,0.048287925043095994,0.055899136968005525,0.02471482480658065,0.04000882943515431,-0.049363364844778775,0.03474307184316467,-0.04944117342149701,0.04913474479238594,-0.04888555121460238,0.08483485339589722,0.02281092414628097,0.0402171241667611,0.04000668195208968,0.02513201274721292,0.049218544721351135,0.02404899231566277,0.016209374537286592,-0.013421475284567125,-0.013421226262416298,0.005792029876910873
0.411154451277642,0.5524014456169097,1.0,0.40338926825198845,0.04539743864932614,0.68384634474945,-0.026325623404613207,0.23981053020465326,0.08782603916883175,0.009039136192156344,-0.029693670284956068,-0.04014494229577319,-0.04014494229577319,0.12886612581117135,-0.034000926204271725,-0.03140948121489883,-0.05215660220493487,0.0002516158454330498,-0.03796914146489798,-0.04845195811410881,-0.045594223462802765,-0.05706764723225231,-0.038816471173217064,-0.045433214771951246,-0.03886418243169688,0.02830004981486055,-0.03853150792103114,0.022006476668127262,-0.025751343513124556,-0.04477072246677267,-0.024078688994380527,-0.033482653229596496,0.02749304312802486,-0.033573186470701226,0.02022310329945639,-0.009956565922709392,-0.009956961274455724,0.08494231259600465
0.31774456033333126,-0.02124144146829169,0.40338926825198845,1.0,-0.07083916065527956,0.7598215578871654,-0.030426126714932868,-0.0983076068485815,0.023382543696040606,-0.0016372062640890915,-0.0009165555511747327,-0.011463008283617675,-0.011463008283617675,0.0057371342010561635,-0.0280583932136855,0.005646345851039266,0.0011415301899232115,0.016997573726296067,-0.014224357720223171,0.014306560315348481,-0.013050064446030503,0.002517816789194948,-0.006345593897108113,0.014755866975155152,-0.0062821992423342955,0.01222951584230877,-0.006334264948056123,0.022804012470962132,-0.01281520866541063,-0.002548014344754012,-0.019727228267878216,-0.012823444641109728,-0.0005191854226426481,-0.013707545579322777,-0.00968409549206817,-0.00026024732926423417,-0.0002687206742254103,0.009689388531133917
0.024395017351532888,0.04106620045265186,0.04539743864932614,-0.07083916065527956,1.0,0.021269184313134053,0.0050083954637816465,0.013369098770913232,0.005513406780160196,-0.0037846060833475153,-0.002479340409573477,-0.0020857407590074077,-0.0020857407590074077,0.0036793854140629457,-0.012505897836227102,0.001324006958024219,0.0021425571848678994,-0.017428608937725215,0.0036543480669690986,-0.019591852576175045,-0.00937811545832242,0.0035305571407329662,-0.0018234392953047093,-0.001435926040003361,-0.001815869775299919,0.0014746884051701384,-0.0018259012490777474,0.008935343051470795,-0.0011841302966197392,-0.0009705541096469749,-0.0005232828918263861,0.011528320188182539,-0.005654173000850533,0.01146179801605124,-0.004886754060972645,-0.004593961108427534,-0.004593809273313437,-0.023124412150750683
0.4151544601336651,0.17245319961558397,0.68384634474945,0.7598215578871654,0.021269184313134053,1.0,-0.01653049920827111,-0.06334702082572165,0.05724475333167993,-0.0053217922022607295,-0.0034965801718215253,-0.02229040310593146,-0.02229040310593146,0.02720857253006378,-0.05203635839953895,-0.028344449207440232,-0.04184486724785766,-0.022644558301961142,-0.04697245697747184,-0.03303180462315715,-0.045099502719977445,-0.03889392720474602,-0.006012722419651832,-0.03251695892885833,-0.005895823552658528,0.03840512613594048,-0.005923931197824478,-0.021042578911255605,-0.034096108714057695,-0.055735228855768676,-0.033781190511809396,-0.043582846812860856,-0.01939010636395053,-0.04423393988453708,-0.02899737015459409,-0.007246453756052119,-0.007259754469081189,0.0488141555492178
0.09870248262881727,-0.062439297276311624,-0.026325623404613207,-0.030426126714932868,0.0050083954637816465,-0.01653049920827111,1.0,-0.011091167105328299,-0.0004252494497787133,-0.0017399511549962843,-0.012167450962231968,-0.01214148311928474,-0.01214148311928474,0.0013562605484859589,-0.01180872081933757,0.005762962835524339,0.0008487865309575615,-0.012319468337989647,0.013916197093006014,-0.008270951982381428,-0.005721691807558089,-0.0005149235793183914,-0.08385393740624195,0.005066346018291861,-0.08381447348023773,-0.0011266410717992842,-0.08392284494828077,-0.03407699771513143,-0.019318615632525488,-0.0016514666459688694,2.0611906561589916e-05,-0.0077724639504711404,0.004547608131373057,-0.007742789913778172,-0.0011511453097719836,-0.00032370967460459315,-0.00032366323450353716,-0.013593814607879734
0.03779355250823815,0.20798561300299695,0.23981053020465326,-0.0983076068485815,0.013369098770913232,-0.06334702082572165,-0.011091167105328299,1.0,0.02491630339021918,0.028492180543776988,-0.02071035399961334,-0.01988070614840527,-0.01988070614840527,0.14490748556129793,0.002087081487734607,0.0010580463811430325,-0.0025390306227300757,0.012584227702521652,0.017553860103887948,0.006131879517470384,-0.034022924406308705,-0.0059456218472324395,-0.026042449201746254,0.0008428950691801789,-0.026133841402695104,-0.004591194285240646,-0.025924014969303473,0.017586157021306326,0.020520318097157646,0.02931758620929004,-0.12765476289609237,0.03046331159527023,0.1591520648036516,0.030629005870610154,0.08615905388262524,-0.0024035177242075897,-0.00240366222410364,0.06826451375341044
0.20313095010160248,0.03027608526092069,0.08782603916883175,0.023382543696040606,0.005513406780160196,0.05724475333167993,-0.0004252494497787133,0.02491630339021918,1.0,-0.0294869490188363,-0.0033895671861875823,-0.00803366509899845,-0.00803366509899845,-0.01669951574855896,0.019807923708177144,-0.009218594242433155,7.630231784849607e-05,-0.03377843806219978,-0.004645514314959896,-0.011744368430984423,0.017523878496272027,-0.0031270328693982093,-0.00022738036703132117,-0.0462198446240223,-0.00024997630083618415,-0.0012216040029355928,-0.00019846252325465906,0.007891120359628766,0.0010430110201164271,0.0021082917192160344,-0.01395937181719193,0.0762553092529086,0.009843873026714085,0.07583805291103819,0.002072476590458803,0.002910812793742149,0.0029081702128522895,0.05765392950809786
-0.018061031945154613,0.03475302413323202,0.009039136192156344,-0.0016372062640890915,-0.0037846060833475153,-0.0053217922022607295,-0.0017399511549962843,0.028492180543776988,-0.0294869490188363,1.0,0.10054541885208197,0.09140566878360112,0.09140566878360112,0.0028388673734204275,0.15368450755682603,0.004910703178922037,0.00918286653990559,-0.006641782059005327,0.023614797135578087,0.0016138061831751547,0.05746060680676092,0.00850776519561424,-0.005584861519114166,0.005097812854386932,-0.005648586624183652,-0.003711157430870271,-0.005506132423213961,-0.006052073645873702,0.006262300683403816,0.004546172455845,0.013722163498103937,-0.0008510060907390224,-0.004011693002132645,-0.0009074398152572581,-0.0047286014139260295,-0.00042210166386129,-0.00042090316814477846,0.06515222215718486
