,name,sector,year,quarter,자본총계변화율,비유동부채변화율,비유동자산변화율,매출액변화율,자산총계변화율,Relative Return,특정 증권 등 소유 증감 비율변화율,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,Label,Code
31,S_hynix,전기·전자,2016,Q4,-0.07395957274557574,0.03727215359766056,-0.0710983063433126,-0.3068127848232687,-0.09645890463315099,0.21299973503567776,0.0,0.03681504833435767,-0.1597118785413567,0.008650176879760996,0.07518172570827412,000660
31,SEBANG_Global_Battery,전기·전자,2016,Q4,-0.031037522143413376,0.4652448514601095,-0.021229847970402282,-0.2108096487589879,-0.05101381756577594,-0.0774324172961597,-0.011381597313408598,-0.03706282644831704,-0.0024979604665058552,-0.040628268733460926,0.004802767074276487,004490
32,Hansol_Technics,전기·전자,2016,Q4,0.23424465274237227,0.2097522642211247,0.17187524090543338,0.12368211009380647,0.1075360732485372,-0.19666738001562994,0.0,0.09596331355113907,0.0,0.1274872746306469,-0.05110484513745009,004710
32,Samsung_Electronics,전기·전자,2016,Q4,-0.042758375605147725,0.20118347654335622,-0.06718597188691122,-0.08371564451258218,-0.05940181162037095,0.06868060663594748,-0.0718291684146537,-0.054511693595759914,-0.08591765838336607,-0.05184704362509951,0.11732795035842752,005930
32,Samsung_SDI,전기·전자,2016,Q4,0.03809371786442828,0.18399093026862168,0.011459343479045647,0.018872464709970838,0.06086459676019362,-0.15812795254659517,0.0,0.04564578365654248,0.02696781121237468,0.04293054268117347,0.12410634982457402,006400
31,Dong-A_Tire,전기·전자,2016,Q4,0.0010935575790660401,0.4689789118348642,0.01683749702470161,-0.018530705833314398,-0.0052941545358689,-0.1096940389005859,-0.004991367857017481,-0.01815290158627758,-0.004991367857017481,-0.02457154079436319,-0.003904702834429269,007340
32,Samsung_Electro-Mechanics,전기·전자,2016,Q4,0.00860699224640471,0.27361317577434807,-0.009751100920568412,0.14327205005233168,0.050053224124697815,-0.07898421034862024,0.006948611019261919,0.05833757754070601,0.007068873208767146,0.035610075476633085,0.031643993906192956,009150
31,LS_Electric,전기·전자,2016,Q4,-0.010644039889524226,0.16105001996347967,-0.007988187004816849,-0.743321760621666,-0.006700932492610612,-0.16787045126275685,0.03709582204005246,-0.008682501779655016,0.03690640727893768,0.0025867731982742725,-0.05210591949619969,010120
31,LG_Innotek,전기·전자,2016,Q4,-0.09593632308681777,0.1785801122573425,-0.043893774029364785,-0.5488238774445655,-0.042618606937343095,-0.05749638602552328,0.3305683995159848,-2.3717353284476728,0.33043315538087226,-1.645912714201188,0.12995549427807188,011070
31,Iljin_Materials,전기·전자,2016,Q4,-0.053386918468912414,-0.012907191149354569,-0.08845893484044653,0.020712825470277862,-0.04486002335977024,-0.19130377810273919,-0.09976725551072763,-0.07193666260356757,-0.06379545204681225,-0.06074584465662847,-0.14608740760210445,020150
31,Korea_Electric_Terminal,전기·전자,2016,Q4,-0.03203586390098301,-0.14204910852195374,-0.02225310364610933,-0.194083505009764,-0.12681158377287627,-0.1753047072318805,0.09798234562407715,-0.1928248852984933,0.09753674444227822,-0.12695855153302182,0.026831461907974884,025540
32,Sindoh,전기·전자,2016,Q4,-0.012639141979084556,0.2849230941099835,-0.009600250345092487,-0.06281648123725714,-0.016880310478664118,-0.051151208360548664,-0.018353865768438116,-0.014503219634667497,-0.018247044199968254,-0.014634479067781925,0.09607329197333436,029530
31,LG_Display,전기·전자,2016,Q4,-0.10512722363164317,-0.030928531935222603,-0.027789084178410528,-0.16555117543994124,-0.06500605258279246,0.00927421931266409,0.3727065807466714,-0.019879606424919816,0.3727846780113462,-0.03601469160144477,0.10550595607482394,034220
31,LG_Electronics,전기·전자,2016,Q4,0.02436979653621829,0.05256809966044229,-0.012641636855472926,0.018781477540914082,0.006281267970916771,-0.17225212579174132,0.0,0.003035770903510704,0.00439663312694194,0.0022746884222731856,0.06861271106047129,066570
