,name,sector,year,quarter,자본총계변화율,비유동부채변화율,비유동자산변화율,매출액변화율,자산총계변화율,Relative Return,특정 증권 등 소유 증감 비율변화율,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,Label,Code
5,S_hynix,전기·전자,2023,Q2,0.0329557895502387,0.020279968690568362,0.003138212958447406,-0.2885048301160691,0.0049615609093216495,0.08030658109660546,0.0,0.011719216788726894,-0.03573690320548484,0.01390710378195481,0.23857885092975517,000660
5,SEBANG_Global_Battery,전기·전자,2023,Q2,-0.0037696165426226447,-0.0676067465459611,0.03325534764335791,-0.015938705740915937,0.0013404372149563581,0.21341521075528957,1.0,0.003958582272333699,-0.9004749988039915,-0.001325502088146857,-0.1886860997346858,004490
6,Hansol_Technics,전기·전자,2023,Q2,-0.051429380109657474,-0.033508678127680325,0.003357665464341797,0.0934123113877372,0.052375828899203225,0.095858761522704,0.0,0.04771108505476784,0.0,0.03183601564213645,0.2697450689464504,004710
6,Samsung_Electronics,전기·전자,2023,Q2,-0.034224483101041425,-0.7254105191102409,-0.029507186322947243,0.057853152098978455,-0.04233515402607546,0.05369941467585715,0.0,-0.04790482037481092,0.962,-0.043775123845277486,0.08242291447490567,005930
6,Samsung_SDI,전기·전자,2023,Q2,-0.005424550792170191,0.08814276371416563,-0.006436340516029704,-0.05641249989352737,0.007759620437457149,0.13170204041717637,0.0,0.00010922213727737606,0.8758254507089359,-0.00036597445171682175,-0.15370208552509432,006400
5,Dong-A_Tire,전기·전자,2023,Q2,-0.02176038240774769,-0.08510740894508717,-0.0007265594014549404,-0.005850473742460949,-0.0007447232721009556,0.08398654951769541,0.0015538817615639022,-0.00010253435363605234,0.0015538817615637912,0.001274307744784653,0.16701866869081328,007340
6,Samsung_Electro-Mechanics,전기·전자,2023,Q2,-0.021801602890640037,-0.374681669383492,-0.052187410178153426,-0.16319134126303547,-0.020679166520990444,0.06619511648453608,0.9978435823596338,-0.013381656693832955,0.9987363331185358,-0.01962631411025728,-0.10494687719176099,009150
5,LS_Electric,전기·전자,2023,Q2,-0.04924469027658085,-0.2504770075518541,-0.009858535411608305,-0.2821484956476987,-0.04729039033847271,-0.10473542861814106,1.6021712584952486,-0.04820335475680504,1.6029112475006946,-0.04428325995203064,0.3553579851462838,010120
5,LG_Innotek,전기·전자,2023,Q2,0.0011629469479775834,-0.29685194557265127,-0.06647029163703633,0.10312585569416033,-0.011001418589961842,-0.028166609764424713,-1.0176630355719003,0.21409861772497263,-1.0173753761139923,0.26371538438604614,0.08799754817453938,011070
5,Iljin_Materials,전기·전자,2023,Q2,-0.0068574442082318665,-0.20906762641272691,-0.0029283305936855797,-0.25577104330202594,-0.10798960517266143,0.2236231845996271,-0.054178148085312516,-0.05814667351723779,-0.06806933331209852,-0.07126403214000909,-0.3600690841026192,020150
5,Korea_Electric_Terminal,전기·전자,2023,Q2,-0.023244940974807005,-0.012909709543941217,-0.014215643012155388,-0.06473912710242757,-0.019203479766534137,0.07959388057032304,-1.923245492837792,-0.020748910727113712,-1.9251562829934183,-0.02125588744403273,-0.08221002203303082,025540
6,Sindoh,전기·전자,2023,Q2,-0.014875406304660332,0.1207050041274581,-0.007150968270226876,0.04784307212268313,-0.006348549438470963,-0.06093293724463036,0.5420469127912367,-0.010910224674987479,0.5140074550680053,-0.010865956540391908,0.009853470030461234,029530
5,LG_Display,전기·전자,2023,Q2,-0.07685417907384418,-0.17352855180051385,-0.010984147108743514,-0.09821092682397214,-0.04603696282217773,0.21501003716539424,0.014766466456103244,-0.017467740835309664,0.014769644487558131,-0.02397438875738067,-0.0752157430867199,034220
5,LG_Electronics,전기·전자,2023,Q2,-0.051806567135193715,0.006882998539915697,-0.02509883867352758,-0.04348260579017538,-0.025081399329887066,0.22279396794472234,0.0,-0.022140768708722947,0.5,-0.022972521202586638,0.04653929378525051,066570
