,name,sector,year,quarter,자본총계변화율,비유동자산변화율,비유동부채변화율,Relative Return,특정 증권 등 소유 증감 비율변화율,전체 주식 수변화율,전체 주주 수변화율,특정 증권 등 소유 비율변화율,특정 증권 등 소유 증감 수변화율,특정 증권 등 소유 수변화율,Label,Code
17,S_hynix,전기·전자,2020,Q2,-0.026243493168132126,-0.017728602729950138,0.012681546862921556,0.06271836086656019,0.0,0.009728517147985727,0.020764192287229144,0.0,-0.06484973072118438,-0.10465966804147309,-0.15924965846836467,000660
17,SEBANG_Global_Battery,전기·전자,2020,Q2,-0.01638509113153619,-0.036787129463959456,-0.09614518529907778,-0.1070033952855651,-0.0707375542599884,-0.00610240962834796,-0.01541619207703393,-0.07073755425998884,-0.05133739058545528,-0.06819527921253243,-0.001672815307226877,004490
18,Hansol_Technics,전기·전자,2020,Q2,-0.024841560381516414,0.006781676077403542,-0.020956214070046775,-0.2389944467397038,0.0,-0.030233768035398567,-0.03777907972420169,0.0,0.0,0.0,0.2022095376339496,004710
18,Samsung_Electronics,전기·전자,2020,Q2,-0.007449142135378617,-0.02165825939255228,-0.10816993804911079,0.055370387893587225,-4.911770630178225e-05,-0.008237570263138316,-0.016578285535337134,-4.9117706302004294e-05,0.013547102861866445,0.0031463179957240683,-0.08304019893085547,005930
18,Samsung_SDI,전기·전자,2020,Q2,-0.020719084973179758,-0.009189291521865872,-0.0189345923426818,0.20977796002267834,0.0,-0.02819719637880591,-0.0309229906201125,0.0,-0.025548766115730093,-0.0330754082890492,0.31879287096728287,006400
17,Dong-A_Tire,전기·전자,2020,Q2,-0.019621090606376734,-0.006400297960332368,-0.07959200717209303,0.04783192682352763,0.03527183712970561,0.06999817188877133,0.06452013288587821,0.03527183712970583,0.03527183712970594,0.03527183712970572,-0.20757631933768445,007340
18,Samsung_Electro-Mechanics,전기·전자,2020,Q2,-0.011311873949176876,-0.008612920361530163,0.009464982879890727,-0.029593147069947756,-0.004720788763123762,0.020453015494584448,0.04101085242978908,0.14981255828930273,-0.004600667810674697,0.14982816786562048,0.13961326434202415,009150
17,LS_Electric,전기·전자,2020,Q2,-0.011669043402884771,0.014401316648428253,-0.35351653197589616,-0.1731218405986413,0.051627949483340374,0.012340992692355224,0.013488786097004657,0.0782727353314322,0.051750330994155935,0.07827323425226351,0.19867824214632224,010120
17,LG_Innotek,전기·전자,2020,Q2,-0.01220788279457019,-0.026773094795690566,-0.16187864955837172,0.009295741818941133,-0.2752214663585568,0.5853612408051821,0.5890893907100163,0.015477366341376086,-0.2751536070253522,0.01546575999512323,0.3349112920199145,011070
17,Iljin_Materials,전기·전자,2020,Q2,-0.027362123627505452,0.014456078972842068,-0.008336491095111809,-0.08315089200700301,0.029227106649717394,-0.01029067334917011,-0.001242282013044882,0.010121878180994304,-0.008427349115594174,-0.01624520389425599,0.40420953763394957,020150
17,Korea_Electric_Terminal,전기·전자,2020,Q2,-0.011484821058635797,-0.01918083381782143,-0.04789240821181351,-0.23606473882191334,-0.02569932129606478,0.023586096578887217,0.047105728951015835,0.09308530275226301,-0.0255349961537783,0.093078639143093,0.12786098991610728,025540
18,Sindoh,전기·전자,2020,Q2,0.006570393714700917,-0.0010388845802895563,-0.08940391602780307,-0.20228726976407044,0.02309516671240941,0.015735496618166533,0.015471973415701168,0.02309516671240941,0.022906108178816997,0.022906108178816997,-0.10386221124497418,029530
17,LG_Display,전기·전자,2020,Q2,0.04425279058369924,0.043647604837377174,0.032530489662600526,-0.13023332947808594,0.03889544198251538,0.027878624933424745,0.025675359010715715,0.03889544198251549,0.0389069689838033,0.0388954419825156,-0.15449604108354098,034220
17,LG_Electronics,전기·전자,2020,Q2,-0.02391513051515015,0.0020298181412571337,0.01111784361192203,-0.13368078026621602,0.0,0.014226327323634713,0.014659876392393079,0.0,0.017299154929081295,0.016481736084626775,0.11405409721944182,066570
