,0
특정 증권 등 소유 증감 수 변화율,0.09204676673166425
전체 주식 수 변화율,0.0866231776549059
전체 주주 수 변화율,0.0864446885393605
특정 증권 등 소유 증감 비율 변화율,0.06850090106695761
특정 증권 등 소유 수 변화율,0.06186575915491983
