,name,sector,year,quarter,자본총계변화율,비유동부채변화율,비유동자산변화율,매출액변화율,자산총계변화율,Relative Return,특정 증권 등 소유 증감 비율변화율,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,Label,Code
4,S_hynix,전기·전자,2023,Q3,0.0169890213724585,-0.04339359761260497,-0.01333557454635792,-0.35146387901434273,-0.015677865297970772,0.23857885092975517,0.0,0.02316942399107591,-4.190054217921063,0.02029326499332973,0.034618672553293164,000660
4,SEBANG_Global_Battery,전기·전자,2023,Q3,-0.023467372222707672,-0.031646364626020995,-0.005197688507253773,0.0034726736558833293,-0.048954472508067504,-0.1886860997346858,0.0,-0.021100351531064154,0.05660377358490565,-0.03464780807030454,0.2571242394575228,004490
5,Hansol_Technics,전기·전자,2023,Q3,-0.058897819332699886,0.007981878555060273,0.005673436394007858,-0.06126916483001188,0.004673001626755546,0.2697450689464504,0.0,-0.00876610097273156,0.0,-0.014028990366302896,-0.19663071328532017,004710
5,Samsung_Electronics,전기·전자,2023,Q3,-0.03675368439640114,-0.019950064742488394,-0.033361199049093626,-0.1544746257452474,-0.029587544024118007,0.08242291447490567,0.0,-0.030705991242605535,0.4263157894736842,-0.030140216131046227,-0.01932469150744904,005930
5,Samsung_SDI,전기·전자,2023,Q3,-0.017095076661806763,0.029975055826562014,-0.037010546974040937,0.001056229273141418,0.02169645804989595,-0.15370208552509432,0.0,0.007860445778803515,-4.217391304347826,0.003402696030502139,-0.2072363348442886,006400
4,Dong-A_Tire,전기·전자,2023,Q3,0.009802237352172338,0.044909583800811004,-0.005401616704160395,0.1163264628766757,0.00452156506707424,0.16701866869081328,0.014296643966651978,0.007226219525756639,0.0142966439666522,0.00823453221927517,-0.07614992510798027,007340
5,Samsung_Electro-Mechanics,전기·전자,2023,Q3,-0.013507518504086935,0.07376054397899301,-0.04033447752934882,-0.04943003244628286,-0.006106230361268894,-0.10494687719176099,-477.9684089312567,0.0032709766464315004,-816.2988847006212,-0.0032905627128774206,-0.014547779725062646,009150
4,LS_Electric,전기·전자,2023,Q3,-0.01847702793962247,0.0012244462578056003,-0.04139306902291473,0.13549453064137496,-0.016661947462551785,0.3553579851462838,1.471264367816092,-0.018111444939941324,1.4728165851157844,-0.021282395129106124,0.21318932285597744,010120
4,LG_Innotek,전기·전자,2023,Q3,-0.03291280913550776,-0.09433855324843843,-0.029157094284405494,-0.21993070412304694,-0.20629018042990466,0.08799754817453938,0.9417989417989417,-0.2366716997222016,0.9419642108784416,-0.44708302359525587,-0.18151509093271123,011070
4,Iljin_Materials,전기·전자,2023,Q3,0.009583169814612824,-0.006364521548529067,-0.014083214716652082,0.0811532220388137,0.0420418015707017,-0.3600690841026192,0.009904263479321496,0.01594202798226385,0.023465089527686,0.02524863024714985,-0.13445137023603865,020150
4,Korea_Electric_Terminal,전기·전자,2023,Q3,-0.017150701799853785,-0.012271915688751411,-0.010543488879214635,0.09645090543050594,-0.034315606866602844,-0.08221002203303082,0.9736842105263158,-0.04027290360518809,0.9794121169714506,-0.03087425455193782,-0.12273908766955663,025540
5,Sindoh,전기·전자,2023,Q3,-0.023998326153581884,-0.12672345915030214,-0.09443854521058559,0.012993060876440699,-0.021146110976523858,0.009853470030461234,-1.1628858923444363,-0.0202539921418341,-1.0403219556299104,-0.01929705327190767,-0.05676842040578591,029530
4,LG_Display,전기·전자,2023,Q3,0.10018290972058619,0.07310625745942279,-0.014647500773481648,-0.0830242346602903,0.005361576659693834,-0.0752157430867199,-0.0603566029831335,-0.03583183469274598,-0.060354506055835255,-0.025951682826036215,-0.13566744054732102,034220
4,LG_Electronics,전기·전자,2023,Q3,-0.05729544983502155,-0.08303582351056815,-0.014015125193818534,0.012641227482821926,-0.043612977049138024,0.04653929378525051,0.0,-0.04470145060751474,0.6739999999999999,-0.04154350880230684,-0.17312602925559445,066570
