접수번호,법인구분,고유번호,회사명,증자일자,증자방식,증자주식종류,증자주식수,주식액면가액,발행금액,결제일시,연도,분기
20160330002293,Y,00190321,케이티,2015.12.31,-,-,-,-,-,2015-12-31,2015,Q4
20170331002943,Y,00190321,케이티,2016.12.31,-,-,-,-,-,2016-12-31,2016,Q4
20170331002943,Y,00190321,케이티,-,-,-,-,-,-,2016-12-31,2016,Q4
20180402004398,Y,00190321,케이티,2017.12.31,-,-,-,-,-,2017-12-31,2017,Q4
20190401004942,Y,00190321,케이티,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330004658,Y,00190321,케이티,-,-,-,-,-,-,2019-12-31,2019,Q4
20200330004658,Y,00190321,케이티,-,-,-,-,-,-,2019-12-31,2019,Q4
20210319001235,Y,00190321,케이티,-,-,-,-,-,-,2020-12-31,2020,Q4
20221006000582,Y,00190321,케이티,-,-,-,-,-,-,2021-12-31,2021,Q4
20230323001449,Y,00190321,케이티,-,-,-,-,-,-,2022-12-31,2022,Q4
20240320002050,Y,00190321,케이티,-,-,-,-,-,-,2023-12-31,2023,Q4
20250321001834,Y,00190321,케이티,-,-,-,-,-,-,2024-12-31,2024,Q4
20250321001834,Y,00190321,케이티,-,-,-,-,-,-,2024-12-31,2024,Q4
