종목명,CODE,TRUE,EXCLUDED,TOTAL,정답률(%)
SK하이닉스,000660,10,10,25,40.0
LG,003550,0,29,5,0.0
한솔테크닉스,004710,2,32,3,66.67
삼성전자,005930,16,7,28,57.14
삼성SDI,006400,10,12,23,43.48
대덕전자,008060,5,25,9,55.56
삼성전기,009150,8,16,19,42.11
LG이노텍,011070,16,12,23,69.57
삼성에스디에스,018260,7,17,18,38.89
일진머티리얼즈,020150,5,21,14,35.71
신도리코,029530,3,30,5,60.0
LG디스플레이,034220,12,11,24,50.0
SK,034730,10,13,22,45.45
한미반도체,042700,6,20,15,40.0
LG전자,066570,9,12,23,39.13
합계,,119,267,256,46.48
