종목명,CODE,TRUE,EXCLUDED,TOTAL,정답률(%)
CJ대한통운,000120,15,8,27,55.56
두산,000150,2,25,10,20.0
LG상사,001120,4,28,7,57.14
대한항공,003490,15,7,28,53.57
S&T중공업,003570,1,34,1,100.0
LS,006260,5,29,6,83.33
LS산전,010120,2,28,7,28.57
현대상선,011200,4,21,14,28.57
한국단자,025540,2,32,3,66.67
대우인터내셔널,047050,0,35,0,0.0
한국항공우주,047810,12,15,20,60.0
한전KPS,051600,7,25,10,70.0
현대글로비스,086280,9,19,16,56.25
합계,,78,306,149,52.35
