종목명,CODE,YEAR,QUARTER,공시일,시가,종가,수익률,LLM 예측,판단
CJ대한통운,000120,2016,Q1,2016-05-16,200000,217000,0.085,irrelevant,excluded
CJ대한통운,000120,2016,Q2,2016-08-16,218500,190500,-0.1281,up,false
CJ대한통운,000120,2016,Q3,2016-11-14,190000,168000,-0.1158,irrelevant,excluded
CJ대한통운,000120,2016,Q4,2017-03-31,167500,178500,0.0657,irrelevant,excluded
CJ대한통운,000120,2017,Q1,2017-05-15,178500,168500,-0.056,down,true
CJ대한통운,000120,2017,Q2,2017-08-14,168500,153000,-0.092,,excluded
CJ대한통운,000120,2017,Q3,2017-11-14,153000,137500,-0.1013,up,false
CJ대한통운,000120,2017,Q4,2018-04-02,138500,175000,0.2635,up,true
CJ대한통운,000120,2018,Q1,2018-05-15,174000,143500,-0.1753,irrelevant,excluded
CJ대한통운,000120,2018,Q2,2018-08-14,142500,149000,0.0456,irrelevant,excluded
CJ대한통운,000120,2018,Q3,2018-11-14,151000,165500,0.096,down,false
CJ대한통운,000120,2018,Q4,2019-04-01,167000,151500,-0.0928,up,false
CJ대한통운,000120,2019,Q1,2019-05-15,151500,141500,-0.066,down,true
CJ대한통운,000120,2019,Q2,2019-08-14,142000,158000,0.1127,up,true
CJ대한통운,000120,2019,Q3,2019-11-14,158500,129500,-0.183,,excluded
CJ대한통운,000120,2019,Q4,2020-03-30,126500,144500,0.1423,,excluded
CJ대한통운,000120,2020,Q1,2020-05-15,146000,154500,0.0582,up,true
CJ대한통운,000120,2020,Q2,2020-08-14,154500,161000,0.0421,down,false
CJ대한통운,000120,2020,Q3,2020-11-16,162500,174000,0.0708,up,true
CJ대한통운,000120,2020,Q4,2021-03-19,172000,171500,-0.0029,down,true
CJ대한통운,000120,2021,Q1,2021-05-14,170000,165500,-0.0265,down,true
CJ대한통운,000120,2021,Q2,2021-08-17,165500,139000,-0.1601,up,false
CJ대한통운,000120,2021,Q3,2021-11-15,140000,134000,-0.0429,down,true
CJ대한통운,000120,2021,Q4,2022-03-18,134000,131000,-0.0224,down,true
CJ대한통운,000120,2022,Q1,2022-05-16,131000,127500,-0.0267,up,false
CJ대한통운,000120,2022,Q2,2022-08-16,127500,86600,-0.3208,up,false
CJ대한통운,000120,2022,Q3,2022-11-14,86600,76900,-0.112,down,true
CJ대한통운,000120,2022,Q4,2023-03-17,77600,82500,0.0631,down,false
CJ대한통운,000120,2023,Q1,2023-05-15,81800,83000,0.0147,up,true
CJ대한통운,000120,2023,Q2,2023-08-14,83100,79200,-0.0469,up,false
CJ대한통운,000120,2023,Q3,2023-11-14,79900,126100,0.5782,up,true
CJ대한통운,000120,2023,Q4,2024-03-15,122800,114000,-0.0717,up,false
CJ대한통운,000120,2024,Q1,2024-05-16,114600,94000,-0.1798,down,true
CJ대한통운,000120,2024,Q2,2024-08-14,95000,79600,-0.1621,up,false
CJ대한통운,000120,2024,Q3,2024-11-14,79600,90400,0.1357,up,true
두산,000150,2016,Q1,2016-05-16,76410,90590,0.1856,irrelevant,excluded
두산,000150,2016,Q2,2016-08-16,90589,89802,-0.0087,up,false
두산,000150,2016,Q3,2016-11-14,89014,74362,-0.1646,,excluded
두산,000150,2016,Q4,2017-03-31,74047,79561,0.0745,irrelevant,excluded
두산,000150,2017,Q1,2017-05-15,80349,105163,0.3088,irrelevant,excluded
두산,000150,2017,Q2,2017-08-11,103587,104769,0.0114,,excluded
두산,000150,2017,Q3,2017-11-14,103981,84288,-0.1894,irrelevant,excluded
두산,000150,2017,Q4,2018-03-30,84681,94528,0.1163,up,true
두산,000150,2018,Q1,2018-05-15,95709,84288,-0.1193,,excluded
두산,000150,2018,Q2,2018-08-14,83893,101618,0.2113,,excluded
두산,000150,2018,Q3,2018-11-14,101224,71920,-0.2895,,excluded
두산,000150,2018,Q4,2019-03-29,71762,79167,0.1032,irrelevant,excluded
두산,000150,2019,Q1,2019-05-15,79167,74047,-0.0647,irrelevant,excluded
두산,000150,2019,Q2,2019-08-14,74047,73000,-0.0141,,excluded
두산,000150,2019,Q3,2019-11-14,73300,38950,-0.4686,,excluded
두산,000150,2019,Q4,2020-03-30,36250,38250,0.0552,down,false
두산,000150,2020,Q1,2020-05-15,37700,44300,0.1751,down,false
두산,000150,2020,Q2,2020-08-14,44350,48550,0.0947,,excluded
두산,000150,2020,Q3,2020-11-16,48650,48050,-0.0123,up,false
두산,000150,2020,Q4,2021-03-22,48700,69200,0.4209,down,false
두산,000150,2021,Q1,2021-05-14,69500,98100,0.4115,,excluded
두산,000150,2021,Q2,2021-08-13,98700,131500,0.3323,,excluded
두산,000150,2021,Q3,2021-11-12,133000,116000,-0.1278,irrelevant,excluded
두산,000150,2021,Q4,2022-03-22,117500,82100,-0.3013,irrelevant,excluded
두산,000150,2022,Q1,2022-05-16,82200,83100,0.0109,up,true
두산,000150,2022,Q2,2022-08-16,84600,92700,0.0957,,excluded
두산,000150,2022,Q3,2022-11-14,92500,101300,0.0951,,excluded
두산,000150,2022,Q4,2023-03-21,102600,93400,-0.0897,irrelevant,excluded
두산,000150,2023,Q1,2023-05-15,93100,106900,0.1482,,excluded
두산,000150,2023,Q2,2023-08-14,106200,76400,-0.2806,irrelevant,excluded
두산,000150,2023,Q3,2023-11-14,76500,142100,0.8575,down,false
두산,000150,2023,Q4,2024-03-20,144200,162900,0.1297,down,false
두산,000150,2024,Q1,2024-05-16,167100,150500,-0.0993,,excluded
두산,000150,2024,Q2,2024-08-14,153500,224000,0.4593,down,false
두산,000150,2024,Q3,2024-11-14,232000,319000,0.375,,excluded
LG상사,001120,2016,Q1,2016-05-16,35900,35000,-0.0251,up,false
LG상사,001120,2016,Q2,2016-08-16,35400,31000,-0.1243,irrelevant,excluded
LG상사,001120,2016,Q3,2016-11-14,30700,31700,0.0326,irrelevant,excluded
LG상사,001120,2016,Q4,2017-03-31,31700,32400,0.0221,,excluded
LG상사,001120,2017,Q1,2017-05-15,32200,29400,-0.087,,excluded
LG상사,001120,2017,Q2,2017-08-14,29450,29300,-0.0051,,excluded
LG상사,001120,2017,Q3,2017-11-14,29150,27000,-0.0738,up,false
LG상사,001120,2017,Q4,2018-03-30,26950,30300,0.1243,,excluded
LG상사,001120,2018,Q1,2018-05-15,31300,22850,-0.27,down,true
LG상사,001120,2018,Q2,2018-08-14,22900,16200,-0.2926,irrelevant,excluded
LG상사,001120,2018,Q3,2018-11-14,16100,16050,-0.0031,irrelevant,excluded
LG상사,001120,2018,Q4,2019-04-01,16100,18450,0.146,irrelevant,excluded
LG상사,001120,2019,Q1,2019-05-15,18300,16250,-0.112,irrelevant,excluded
LG상사,001120,2019,Q2,2019-08-14,16350,15650,-0.0428,,excluded
LG상사,001120,2019,Q3,2019-11-14,15700,8450,-0.4618,,excluded
LG상사,001120,2019,Q4,2020-03-30,8210,13250,0.6139,,excluded
LG상사,001120,2020,Q1,2020-05-14,13150,16250,0.2357,up,true
LG상사,001120,2020,Q2,2020-08-14,16350,18450,0.1284,,excluded
LG상사,001120,2020,Q3,2020-11-16,18600,30000,0.6129,up,true
LG상사,001120,2020,Q4,2021-03-16,30400,34750,0.1431,up,true
LG상사,001120,2021,Q1,2021-05-17,34850,28600,-0.1793,up,false
LG상사,001120,2021,Q2,2021-08-17,28600,26900,-0.0594,irrelevant,excluded
LG상사,001120,2021,Q3,2021-11-15,27000,30050,0.113,,excluded
LG상사,001120,2021,Q4,2022-03-16,30050,37850,0.2596,irrelevant,excluded
LG상사,001120,2022,Q1,2022-05-16,38150,35450,-0.0708,,excluded
LG상사,001120,2022,Q2,2022-08-16,35300,40400,0.1445,,excluded
LG상사,001120,2022,Q3,2022-11-14,40400,28650,-0.2908,,excluded
LG상사,001120,2022,Q4,2023-03-15,28950,30900,0.0674,irrelevant,excluded
LG상사,001120,2023,Q1,2023-05-15,30700,36050,0.1743,,excluded
LG상사,001120,2023,Q2,2023-08-14,36350,29350,-0.1926,irrelevant,excluded
LG상사,001120,2023,Q3,2023-11-14,29100,26550,-0.0876,,excluded
LG상사,001120,2023,Q4,2024-03-13,26750,29150,0.0897,,excluded
LG상사,001120,2024,Q1,2024-05-16,29250,29500,0.0085,,excluded
LG상사,001120,2024,Q2,2024-08-14,29600,27300,-0.0777,,excluded
LG상사,001120,2024,Q3,2024-11-14,27500,25850,-0.06,,excluded
대한항공,003490,2016,Q1,2016-05-16,18013,18532,0.0288,up,true
대한항공,003490,2016,Q2,2016-08-12,18531,17648,-0.0476,irrelevant,excluded
대한항공,003490,2016,Q3,2016-11-14,17525,19971,0.1396,irrelevant,excluded
대한항공,003490,2016,Q4,2017-03-31,20035,20684,0.0324,up,true
대한항공,003490,2017,Q1,2017-05-11,20879,23764,0.1382,down,false
대한항공,003490,2017,Q2,2017-08-10,23634,19842,-0.1604,irrelevant,excluded
대한항공,003490,2017,Q3,2017-11-14,19938,21203,0.0634,up,true
대한항공,003490,2017,Q4,2018-03-30,21494,22370,0.0408,irrelevant,excluded
대한항공,003490,2018,Q1,2018-05-15,22370,18058,-0.1928,down,true
대한항공,003490,2018,Q2,2018-08-14,17993,19096,0.0613,down,false
대한항공,003490,2018,Q3,2018-11-13,18868,20652,0.0946,irrelevant,excluded
대한항공,003490,2018,Q4,2019-04-01,20748,21495,0.036,down,false
대한항공,003490,2019,Q1,2019-05-15,21851,15043,-0.3116,down,true
대한항공,003490,2019,Q2,2019-08-14,15107,16989,0.1246,down,false
대한항공,003490,2019,Q3,2019-11-14,17053,12288,-0.2794,irrelevant,excluded
대한항공,003490,2019,Q4,2020-03-30,11671,12255,0.05,down,false
대한항공,003490,2020,Q1,2020-05-15,12124,15275,0.2599,down,false
대한항공,003490,2020,Q2,2020-08-14,15391,18571,0.2066,up,true
대한항공,003490,2020,Q3,2020-11-16,18764,29050,0.5482,down,false
대한항공,003490,2020,Q4,2021-03-18,29350,29500,0.0051,up,true
대한항공,003490,2021,Q1,2021-05-14,30100,29900,-0.0066,up,false
대한항공,003490,2021,Q2,2021-08-13,30000,30550,0.0183,up,true
대한항공,003490,2021,Q3,2021-11-12,30650,28700,-0.0636,up,false
대한항공,003490,2021,Q4,2022-03-15,28650,28450,-0.007,up,false
대한항공,003490,2022,Q1,2022-05-13,28450,25950,-0.0879,down,true
대한항공,003490,2022,Q2,2022-08-12,26050,24550,-0.0576,down,true
대한항공,003490,2022,Q3,2022-11-11,25400,23150,-0.0886,up,false
대한항공,003490,2022,Q4,2023-03-14,22900,22800,-0.0044,down,true
대한항공,003490,2023,Q1,2023-05-12,22800,25000,0.0965,up,true
대한항공,003490,2023,Q2,2023-08-14,25000,21100,-0.156,irrelevant,excluded
대한항공,003490,2023,Q3,2023-11-14,21300,22250,0.0446,up,true
대한항공,003490,2023,Q4,2024-03-13,22300,21950,-0.0157,down,true
대한항공,003490,2024,Q1,2024-05-14,21950,20700,-0.0569,up,false
대한항공,003490,2024,Q2,2024-08-14,20900,23300,0.1148,up,true
대한항공,003490,2024,Q3,2024-11-14,23300,22850,-0.0193,up,false
S&T중공업,003570,2016,Q1,2016-05-09,10555,9597,-0.0908,,excluded
S&T중공업,003570,2016,Q2,2016-08-04,9568,9011,-0.0582,,excluded
S&T중공업,003570,2016,Q3,2016-11-09,9069,9148,0.0087,,excluded
S&T중공업,003570,2016,Q4,2017-03-08,9118,8884,-0.0257,,excluded
S&T중공업,003570,2017,Q1,2017-05-10,8913,9040,0.0142,,excluded
S&T중공업,003570,2017,Q2,2017-08-08,9059,8190,-0.0959,,excluded
S&T중공업,003570,2017,Q3,2017-11-08,8199,7789,-0.05,,excluded
S&T중공업,003570,2017,Q4,2018-03-14,7818,6529,-0.1649,,excluded
S&T중공업,003570,2018,Q1,2018-05-11,6548,6196,-0.0538,,excluded
S&T중공업,003570,2018,Q2,2018-08-10,6186,6216,0.0048,,excluded
S&T중공업,003570,2018,Q3,2018-11-13,6010,7120,0.1847,,excluded
S&T중공업,003570,2018,Q4,2019-02-28,7140,7400,0.0364,,excluded
S&T중공업,003570,2019,Q1,2019-05-10,7590,6090,-0.1976,,excluded
S&T중공업,003570,2019,Q2,2019-08-12,6110,6010,-0.0164,,excluded
S&T중공업,003570,2019,Q3,2019-11-08,6030,5880,-0.0249,,excluded
S&T중공업,003570,2019,Q4,2020-03-02,5940,5430,-0.0859,,excluded
S&T중공업,003570,2020,Q1,2020-05-13,5350,5040,-0.0579,,excluded
S&T중공업,003570,2020,Q2,2020-08-11,5100,5400,0.0588,,excluded
S&T중공업,003570,2020,Q3,2020-11-10,5400,6840,0.2667,irrelevant,excluded
S&T중공업,003570,2020,Q4,2021-02-18,6840,8490,0.2412,,excluded
S&T중공업,003570,2021,Q1,2021-05-11,8480,10500,0.2382,,excluded
S&T중공업,003570,2021,Q2,2021-08-10,10500,9260,-0.1181,,excluded
S&T중공업,003570,2021,Q3,2021-11-10,9260,8290,-0.1048,,excluded
S&T중공업,003570,2021,Q4,2022-02-18,8230,9090,0.1045,,excluded
S&T중공업,003570,2022,Q1,2022-05-11,8920,9120,0.0224,up,true
S&T중공업,003570,2022,Q2,2022-08-11,9170,8700,-0.0513,irrelevant,excluded
S&T중공업,003570,2022,Q3,2022-11-10,8580,9590,0.1177,,excluded
S&T중공업,003570,2022,Q4,2023-02-20,9590,9590,0.0,irrelevant,excluded
S&T중공업,003570,2023,Q1,2023-05-11,9600,9750,0.0156,,excluded
S&T중공업,003570,2023,Q2,2023-08-10,9730,13180,0.3546,,excluded
S&T중공업,003570,2023,Q3,2023-11-09,13160,16800,0.2766,irrelevant,excluded
S&T중공업,003570,2023,Q4,2024-02-21,16800,16000,-0.0476,,excluded
S&T중공업,003570,2024,Q1,2024-05-09,16000,22450,0.4031,,excluded
S&T중공업,003570,2024,Q2,2024-08-08,22150,25650,0.158,,excluded
S&T중공업,003570,2024,Q3,2024-11-07,25750,29350,0.1398,,excluded
LS,006260,2016,Q1,2016-05-11,48300,53500,0.1077,irrelevant,excluded
LS,006260,2016,Q2,2016-08-12,53900,60000,0.1132,,excluded
LS,006260,2016,Q3,2016-11-14,61200,62500,0.0212,irrelevant,excluded
LS,006260,2016,Q4,2017-03-31,62400,67900,0.0881,,excluded
LS,006260,2017,Q1,2017-05-15,68400,85800,0.2544,,excluded
LS,006260,2017,Q2,2017-08-14,85700,73400,-0.1435,,excluded
LS,006260,2017,Q3,2017-11-14,73300,74500,0.0164,,excluded
LS,006260,2017,Q4,2018-04-02,75800,85900,0.1332,,excluded
LS,006260,2018,Q1,2018-05-15,86100,68400,-0.2056,,excluded
LS,006260,2018,Q2,2018-08-14,68900,54000,-0.2163,,excluded
LS,006260,2018,Q3,2018-11-14,54200,52300,-0.0351,,excluded
LS,006260,2018,Q4,2019-04-01,53000,44650,-0.1575,,excluded
LS,006260,2019,Q1,2019-05-15,44800,41150,-0.0815,,excluded
LS,006260,2019,Q2,2019-08-14,41400,48250,0.1655,,excluded
LS,006260,2019,Q3,2019-11-14,48550,28650,-0.4099,irrelevant,excluded
LS,006260,2019,Q4,2020-03-30,27950,33550,0.2004,,excluded
LS,006260,2020,Q1,2020-05-15,33700,42000,0.2463,,excluded
LS,006260,2020,Q2,2020-08-14,42600,56600,0.3286,,excluded
LS,006260,2020,Q3,2020-11-16,57000,65800,0.1544,,excluded
LS,006260,2020,Q4,2021-03-19,64700,71300,0.102,,excluded
LS,006260,2021,Q1,2021-05-17,71900,69300,-0.0362,,excluded
LS,006260,2021,Q2,2021-08-17,69200,58500,-0.1546,,excluded
LS,006260,2021,Q3,2021-11-15,58700,51900,-0.1158,irrelevant,excluded
LS,006260,2021,Q4,2022-03-21,52000,59800,0.15,,excluded
LS,006260,2022,Q1,2022-05-16,59800,62900,0.0518,up,true
LS,006260,2022,Q2,2022-08-16,63000,69000,0.0952,irrelevant,excluded
LS,006260,2022,Q3,2022-11-14,69000,70300,0.0188,up,true
LS,006260,2022,Q4,2023-03-21,71200,92700,0.302,up,true
LS,006260,2023,Q1,2023-05-15,92600,116500,0.2581,irrelevant,excluded
LS,006260,2023,Q2,2023-08-14,118000,76500,-0.3517,irrelevant,excluded
LS,006260,2023,Q3,2023-11-14,77200,107400,0.3912,irrelevant,excluded
LS,006260,2023,Q4,2024-03-20,107400,150800,0.4041,up,true
LS,006260,2024,Q1,2024-05-16,156100,111200,-0.2876,up,false
LS,006260,2024,Q2,2024-08-14,111800,100100,-0.1047,irrelevant,excluded
LS,006260,2024,Q3,2024-11-14,100100,122800,0.2268,up,true
LS산전,010120,2016,Q1,2016-05-16,49300,44800,-0.0913,,excluded
LS산전,010120,2016,Q2,2016-08-12,44800,40850,-0.0882,,excluded
LS산전,010120,2016,Q3,2016-11-14,40850,46850,0.1469,,excluded
LS산전,010120,2016,Q4,2017-03-31,46650,53700,0.1511,up,true
LS산전,010120,2017,Q1,2017-05-15,54200,59200,0.0923,,excluded
LS산전,010120,2017,Q2,2017-08-11,58000,60400,0.0414,,excluded
LS산전,010120,2017,Q3,2017-11-14,60200,61300,0.0183,,excluded
LS산전,010120,2017,Q4,2018-03-30,62100,80600,0.2979,irrelevant,excluded
LS산전,010120,2018,Q1,2018-05-15,80300,69000,-0.1407,,excluded
LS산전,010120,2018,Q2,2018-08-14,68800,47100,-0.3154,up,false
LS산전,010120,2018,Q3,2018-11-14,47250,47500,0.0053,up,true
LS산전,010120,2018,Q4,2019-04-01,47500,45050,-0.0516,,excluded
LS산전,010120,2019,Q1,2019-05-15,45150,43300,-0.041,,excluded
LS산전,010120,2019,Q2,2019-08-14,43400,49050,0.1302,,excluded
LS산전,010120,2019,Q3,2019-11-14,49100,31800,-0.3523,,excluded
LS산전,010120,2019,Q4,2020-03-30,30900,37850,0.2249,irrelevant,excluded
LS산전,010120,2020,Q1,2020-05-15,38350,55900,0.4576,,excluded
LS산전,010120,2020,Q2,2020-08-14,56100,55000,-0.0196,,excluded
LS산전,010120,2020,Q3,2020-11-16,55200,59800,0.0833,irrelevant,excluded
LS산전,010120,2020,Q4,2021-03-19,59000,55200,-0.0644,,excluded
LS산전,010120,2021,Q1,2021-05-17,55300,64300,0.1627,,excluded
LS산전,010120,2021,Q2,2021-08-17,63700,60200,-0.0549,,excluded
LS산전,010120,2021,Q3,2021-11-15,60600,46500,-0.2327,up,false
LS산전,010120,2021,Q4,2022-03-18,46000,49500,0.0761,,excluded
LS산전,010120,2022,Q1,2022-05-16,49750,58800,0.1819,,excluded
LS산전,010120,2022,Q2,2022-08-16,59500,54100,-0.0908,up,false
LS산전,010120,2022,Q3,2022-11-14,54200,55500,0.024,,excluded
LS산전,010120,2022,Q4,2023-03-20,55500,63900,0.1514,,excluded
LS산전,010120,2023,Q1,2023-05-15,63600,100300,0.577,,excluded
LS산전,010120,2023,Q2,2023-08-14,99800,64900,-0.3497,,excluded
LS산전,010120,2023,Q3,2023-11-14,65600,81100,0.2363,,excluded
LS산전,010120,2023,Q4,2024-03-13,81100,173200,1.1356,,excluded
LS산전,010120,2024,Q1,2024-05-14,173500,168300,-0.03,irrelevant,excluded
LS산전,010120,2024,Q2,2024-08-14,172500,141300,-0.1809,up,false
LS산전,010120,2024,Q3,2024-11-14,142300,206500,0.4512,down,false
현대상선,011200,2016,Q1,2016-05-16,10123,6101,-0.3973,down,true
현대상선,011200,2016,Q2,2016-08-12,6101,7439,0.2193,irrelevant,excluded
현대상선,011200,2016,Q3,2016-11-14,7403,7421,0.0024,down,false
현대상선,011200,2016,Q4,2017-03-31,7421,8161,0.0997,,excluded
현대상선,011200,2017,Q1,2017-05-15,8161,7136,-0.1256,,excluded
현대상선,011200,2017,Q2,2017-08-11,7046,6050,-0.1414,,excluded
현대상선,011200,2017,Q3,2017-11-14,6060,4375,-0.2781,down,true
현대상선,011200,2017,Q4,2018-04-02,4375,6180,0.4126,,excluded
현대상선,011200,2018,Q1,2018-05-15,6260,4660,-0.2556,up,false
현대상선,011200,2018,Q2,2018-08-14,4665,3975,-0.1479,,excluded
현대상선,011200,2018,Q3,2018-11-14,4005,3640,-0.0911,,excluded
현대상선,011200,2018,Q4,2019-04-01,3660,3625,-0.0096,,excluded
현대상선,011200,2019,Q1,2019-05-15,3610,3220,-0.108,,excluded
현대상선,011200,2019,Q2,2019-08-14,3210,3395,0.0576,,excluded
현대상선,011200,2019,Q3,2019-11-14,3370,2665,-0.2092,,excluded
현대상선,011200,2019,Q4,2020-03-30,2555,3695,0.4462,irrelevant,excluded
현대상선,011200,2020,Q1,2020-05-15,3725,6650,0.7852,,excluded
현대상선,011200,2020,Q2,2020-08-14,6660,14350,1.1547,up,true
현대상선,011200,2020,Q3,2020-11-13,14400,22400,0.5556,irrelevant,excluded
현대상선,011200,2020,Q4,2021-03-18,22600,44450,0.9668,down,false
현대상선,011200,2021,Q1,2021-05-14,45900,40650,-0.1144,up,false
현대상선,011200,2021,Q2,2021-08-13,41250,27450,-0.3345,irrelevant,excluded
현대상선,011200,2021,Q3,2021-11-12,27650,33950,0.2278,irrelevant,excluded
현대상선,011200,2021,Q4,2022-03-21,34000,30800,-0.0941,up,false
현대상선,011200,2022,Q1,2022-05-13,31250,25150,-0.1952,irrelevant,excluded
현대상선,011200,2022,Q2,2022-08-10,25150,20650,-0.1789,,excluded
현대상선,011200,2022,Q3,2022-11-09,20750,20300,-0.0217,irrelevant,excluded
현대상선,011200,2022,Q4,2023-03-23,20300,19680,-0.0305,down,true
현대상선,011200,2023,Q1,2023-05-15,19510,17300,-0.1133,up,false
현대상선,011200,2023,Q2,2023-08-10,17250,16390,-0.0499,irrelevant,excluded
현대상선,011200,2023,Q3,2023-11-10,16220,15680,-0.0333,up,false
현대상선,011200,2023,Q4,2024-03-20,15790,18560,0.1754,irrelevant,excluded
현대상선,011200,2024,Q1,2024-05-14,18560,17570,-0.0533,up,false
현대상선,011200,2024,Q2,2024-08-13,17570,16020,-0.0882,up,false
현대상선,011200,2024,Q3,2024-11-13,15830,20850,0.3171,down,false
한국단자,025540,2016,Q1,2016-05-16,87000,82800,-0.0483,,excluded
한국단자,025540,2016,Q2,2016-08-16,83500,72500,-0.1317,,excluded
한국단자,025540,2016,Q3,2016-11-14,73000,71300,-0.0233,,excluded
한국단자,025540,2016,Q4,2017-03-31,71300,74500,0.0449,,excluded
한국단자,025540,2017,Q1,2017-05-15,75500,71100,-0.0583,,excluded
한국단자,025540,2017,Q2,2017-08-14,71100,72100,0.0141,,excluded
한국단자,025540,2017,Q3,2017-11-14,71600,53500,-0.2528,,excluded
한국단자,025540,2017,Q4,2018-03-30,53600,50500,-0.0578,,excluded
한국단자,025540,2018,Q1,2018-05-15,50500,46550,-0.0782,,excluded
한국단자,025540,2018,Q2,2018-08-13,46550,35100,-0.246,,excluded
한국단자,025540,2018,Q3,2018-11-14,35550,60700,0.7075,,excluded
한국단자,025540,2018,Q4,2019-03-29,61800,56700,-0.0825,,excluded
한국단자,025540,2019,Q1,2019-05-15,56700,60300,0.0635,,excluded
한국단자,025540,2019,Q2,2019-08-14,59800,43850,-0.2667,,excluded
한국단자,025540,2019,Q3,2019-11-14,43850,24000,-0.4527,,excluded
한국단자,025540,2019,Q4,2020-03-30,23100,30400,0.316,,excluded
한국단자,025540,2020,Q1,2020-05-15,30450,52100,0.711,irrelevant,excluded
한국단자,025540,2020,Q2,2020-08-14,52800,50300,-0.0473,,excluded
한국단자,025540,2020,Q3,2020-11-16,50300,71800,0.4274,,excluded
한국단자,025540,2020,Q4,2021-03-11,72000,83600,0.1611,up,true
