year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-12,2021-01-27,3.0
2021,Q1,2,2021-02-04,2021-02-17,1.0
2021,Q1,3,2021-03-03,2021-03-30,3.0
2021,Q2,4,2021-04-06,2021-04-28,4.0
2021,Q2,5,2021-05-03,2021-05-30,3.0
2021,Q2,6,2021-06-06,2021-06-29,2.0
2021,Q3,7,2021-07-07,2021-07-30,2.0
2021,Q3,8,2021-08-11,2021-08-26,1.0
2021,Q3,9,2021-09-02,2021-09-29,3.0
2021,Q4,10,2021-10-06,2021-10-28,0.0
2021,Q4,11,2021-11-02,2021-11-30,2.0
2021,Q4,12,2021-12-07,2021-12-23,2.0
2022,Q1,1,2022-01-05,2022-01-27,2.0
2022,Q1,2,2022-02-04,2022-02-28,2.0
2022,Q1,3,2022-03-02,2022-03-30,1.0
2022,Q2,4,2022-04-06,2022-04-27,3.0
2022,Q2,5,2022-05-04,2022-05-27,1.0
2022,Q2,6,2022-06-07,2022-06-22,5.0
2022,Q3,7,2022-07-06,2022-07-27,0.0
2022,Q3,8,2022-08-01,2022-08-25,-1.0
2022,Q3,9,2022-09-05,2022-09-27,-1.0
2022,Q4,10,2022-10-02,2022-10-26,-1.0
2022,Q4,11,2022-11-11,2022-11-28,-1.0
2022,Q4,12,2022-12-20,2022-12-25,2.0
2023,Q1,1,2023-01-03,2023-01-25,0.0
2023,Q1,2,2023-02-03,2023-02-28,2.0
2023,Q1,3,2023-03-06,2023-03-27,1.0
2023,Q2,4,2023-04-04,2023-04-26,1.0
2023,Q2,5,2023-05-09,2023-05-24,1.0
2023,Q2,6,2023-06-02,2023-06-27,1.0
2023,Q3,7,2023-07-06,2023-07-30,3.0
2023,Q3,8,2023-08-01,2023-08-23,3.0
2023,Q3,9,2023-09-06,2023-09-29,2.0
2023,Q4,10,2023-10-06,2023-10-26,1.0
2023,Q4,11,2023-11-07,2023-11-29,3.0
2023,Q4,12,2023-12-04,2023-12-29,3.0
2024,Q1,1,2024-01-05,2024-01-31,2.0
2024,Q1,2,2024-02-01,2024-02-26,3.0
2024,Q1,3,2024-03-04,2024-03-28,1.0
2024,Q2,4,2024-04-02,2024-04-29,3.0
2024,Q2,5,2024-05-02,2024-05-23,2.0
2024,Q2,6,2024-06-06,2024-06-23,4.0
2024,Q3,7,2024-07-05,2024-07-31,4.0
2024,Q3,8,2024-08-05,2024-08-25,3.0
2024,Q3,9,2024-09-02,2024-09-30,1.0
2024,Q4,10,2024-10-07,2024-10-29,2.0
2024,Q4,11,2024-11-03,2024-11-26,-1.0
2024,Q4,12,2024-12-04,2024-12-24,2.0
2025,Q1,1,2025-01-05,2025-01-24,0.0
2025,Q1,2,2025-02-05,2025-02-24,1.0
2025,Q1,3,2025-03-06,2025-03-25,4.0
