year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-04,2021-01-27,1.0
2021,Q1,2,2021-02-08,2021-02-25,2.0
2021,Q1,3,2021-03-02,2021-03-15,3.0
2021,Q2,4,2021-04-06,2021-04-29,3.0
2021,Q2,5,2021-05-07,2021-05-26,3.0
2021,Q2,6,2021-06-06,2021-06-15,3.0
2021,Q3,7,2021-07-12,2021-07-26,1.0
2021,Q3,8,2021-08-03,2021-08-16,0.0
2021,Q3,9,2021-09-07,2021-09-20,3.0
2021,Q4,10,2021-10-14,2021-10-28,2.0
2021,Q4,11,2021-11-03,2021-11-25,2.0
2021,Q4,12,2021-12-04,2021-12-25,-1.0
2022,Q1,1,2022-01-07,2022-01-26,0.0
2022,Q1,2,2022-02-07,2022-02-25,3.0
2022,Q1,3,2022-03-03,2022-03-30,1.0
2022,Q2,4,2022-04-07,2022-04-25,0.0
2022,Q2,5,2022-05-03,2022-05-31,0.0
2022,Q2,6,2022-06-10,2022-06-28,0.0
2022,Q3,7,2022-07-07,2022-07-22,4.0
2022,Q3,8,2022-08-01,2022-08-25,3.0
2022,Q3,9,2022-09-06,2022-09-26,3.0
2022,Q4,10,2022-10-19,2022-10-25,0.0
2022,Q4,11,2022-11-06,2022-11-16,-1.0
2022,Q4,12,2022-12-07,2022-12-26,2.0
2023,Q1,1,2023-01-06,2023-01-27,5.0
2023,Q1,2,2023-02-03,2023-02-22,2.0
2023,Q1,3,2023-03-01,2023-03-29,0.0
2023,Q2,4,2023-04-06,2023-04-24,4.0
2023,Q2,5,2023-05-03,2023-05-31,1.0
2023,Q2,6,2023-06-02,2023-06-26,0.0
2023,Q3,7,2023-07-03,2023-07-26,1.0
2023,Q3,8,2023-08-04,2023-08-23,1.0
2023,Q3,9,2023-09-05,2023-09-26,0.0
2023,Q4,10,2023-10-06,2023-10-30,0.0
2023,Q4,11,2023-11-06,2023-11-29,-1.0
2023,Q4,12,2023-12-04,2023-12-27,3.0
2024,Q1,1,2024-01-02,2024-01-22,2.0
2024,Q1,2,2024-02-02,2024-02-22,-1.0
2024,Q1,3,2024-03-07,2024-03-28,1.0
2024,Q2,4,2024-04-07,2024-04-24,3.0
2024,Q2,5,2024-05-07,2024-05-26,0.0
2024,Q2,6,2024-06-04,2024-06-24,3.0
2024,Q3,7,2024-07-04,2024-07-25,5.0
2024,Q3,8,2024-08-07,2024-08-23,2.0
2024,Q3,9,2024-09-06,2024-09-26,2.0
2024,Q4,10,2024-10-06,2024-10-24,0.0
2024,Q4,11,2024-11-07,2024-11-22,-2.0
2024,Q4,12,2024-12-05,2024-12-24,1.0
2025,Q1,1,2025-01-02,2025-01-22,0.0
2025,Q1,2,2025-02-02,2025-02-28,3.0
2025,Q1,3,2025-03-06,2025-03-24,5.0
