year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-06,2021-02-01,0.0
2021,Q1,2,2021-02-02,2021-02-26,-1.0
2021,Q1,3,2021-03-05,2021-03-24,0.0
2021,Q2,4,2021-04-01,2021-04-27,0.0
2021,Q2,5,2021-05-06,2021-05-12,1.0
2021,Q2,6,2021-06-10,2021-06-29,1.0
2021,Q3,7,2021-07-14,2021-07-14,0.0
2021,Q3,8,2021-08-09,2021-08-24,1.0
2021,Q3,9,2021-09-07,2021-09-29,0.0
2021,Q4,10,2021-10-08,2021-10-28,0.0
2021,Q4,11,2021-11-02,2021-11-15,-1.0
2021,Q4,12,2021-12-09,2021-12-09,0.0
2022,Q1,1,2022-01-16,2022-01-27,1.0
2022,Q1,2,2022-02-06,2022-02-17,0.0
2022,Q1,3,2022-03-07,2022-03-28,0.0
2022,Q2,4,2022-04-06,2022-04-06,1.0
2022,Q2,5,2022-05-13,2022-05-30,1.0
2022,Q2,6,2022-06-09,2022-06-17,0.0
2022,Q3,7,2022-07-21,2022-07-21,0.0
2022,Q3,8,2022-08-08,2022-08-17,1.0
2022,Q3,9,2022-09-05,2022-09-23,0.0
2022,Q4,10,2022-10-05,2022-10-27,-1.0
2022,Q4,11,2022-11-11,2022-11-22,1.0
2022,Q4,12,2022-12-06,2022-12-26,2.0
2023,Q1,1,2023-01-05,2023-01-26,1.0
2023,Q1,2,2023-02-10,2023-02-15,-1.0
2023,Q1,3,2023-03-06,2023-03-27,4.0
2023,Q2,4,2023-04-05,2023-04-27,0.0
2023,Q2,5,2023-05-11,2023-05-24,1.0
2023,Q2,6,2023-06-14,2023-06-30,-1.0
2023,Q3,7,2023-07-17,2023-07-17,1.0
2023,Q3,8,2023-08-07,2023-08-23,1.0
2023,Q3,9,2023-09-12,2023-09-20,2.0
2023,Q4,10,2023-10-04,2023-10-26,2.0
2023,Q4,11,2023-11-07,2023-11-29,0.0
2023,Q4,12,2023-12-07,2023-12-22,1.0
2024,Q1,1,2024-01-02,2024-01-23,1.0
2024,Q1,2,2024-02-05,2024-02-21,0.0
2024,Q1,3,2024-03-05,2024-03-31,2.0
2024,Q2,4,2024-04-12,2024-04-25,0.0
2024,Q2,5,2024-05-04,2024-05-22,3.0
2024,Q2,6,2024-06-02,2024-06-23,2.0
2024,Q3,7,2024-07-01,2024-07-30,0.0
2024,Q3,8,2024-08-02,2024-08-23,2.0
2024,Q3,9,2024-09-03,2024-09-25,2.0
2024,Q4,10,2024-10-02,2024-10-29,1.0
2024,Q4,11,2024-11-02,2024-11-28,-1.0
2024,Q4,12,2024-12-02,2024-12-29,-1.0
2025,Q1,1,2025-01-06,2025-01-24,-2.0
2025,Q1,2,2025-02-06,2025-02-24,1.0
2025,Q1,3,2025-03-04,2025-03-31,2.0
