year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,,,0.0
2021,Q1,2,,,0.0
2021,Q1,3,2021-03-10,2021-03-24,1.0
2021,Q2,4,2021-04-26,2021-04-26,1.0
2021,Q2,5,2021-05-12,2021-05-12,0.0
2021,Q2,6,,,0.0
2021,Q3,7,2021-07-23,2021-07-23,0.0
2021,Q3,8,2021-08-09,2021-08-09,0.0
2021,Q3,9,,,0.0
2021,Q4,10,,,0.0
2021,Q4,11,2021-11-10,2021-11-10,0.0
2021,Q4,12,2021-12-03,2021-12-03,1.0
2022,Q1,1,2022-01-18,2022-01-18,0.0
2022,Q1,2,2022-02-16,2022-02-16,-1.0
2022,Q1,3,2022-03-07,2022-03-07,0.0
2022,Q2,4,,,0.0
2022,Q2,5,,,0.0
2022,Q2,6,2022-06-22,2022-06-22,0.0
2022,Q3,7,,,0.0
2022,Q3,8,,,0.0
2022,Q3,9,2022-09-13,2022-09-13,0.0
2022,Q4,10,2022-10-12,2022-10-12,0.0
2022,Q4,11,2022-11-03,2022-11-03,0.0
2022,Q4,12,2022-12-07,2022-12-08,0.0
2023,Q1,1,,,0.0
2023,Q1,2,2023-02-06,2023-02-20,2.0
2023,Q1,3,2023-03-15,2023-03-15,0.0
2023,Q2,4,2023-04-04,2023-04-19,1.0
2023,Q2,5,2023-05-09,2023-05-09,0.0
2023,Q2,6,2023-06-30,2023-06-30,1.0
2023,Q3,7,,,0.0
2023,Q3,8,2023-08-10,2023-08-10,0.0
2023,Q3,9,,,0.0
2023,Q4,10,2023-10-30,2023-10-30,0.0
2023,Q4,11,2023-11-07,2023-11-07,0.0
2023,Q4,12,,,0.0
2024,Q1,1,2024-01-09,2024-01-09,1.0
2024,Q1,2,2024-02-01,2024-02-15,-1.0
2024,Q1,3,2024-03-12,2024-03-26,0.0
2024,Q2,4,2024-04-17,2024-04-17,0.0
2024,Q2,5,2024-05-10,2024-05-10,-1.0
2024,Q2,6,,,0.0
2024,Q3,7,,,0.0
2024,Q3,8,,,0.0
2024,Q3,9,,,0.0
2024,Q4,10,2024-10-21,2024-10-22,1.0
2024,Q4,11,,,0.0
2024,Q4,12,2024-12-30,2024-12-30,0.0
2025,Q1,1,,,0.0
2025,Q1,2,,,0.0
2025,Q1,3,,,0.0
