year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-06,2021-01-26,1
2021,Q1,2,2017-04-20,2021-02-28,0
2021,Q1,3,2021-03-04,2021-03-30,-2
2021,Q2,4,2021-04-06,2021-04-22,1
2021,Q2,5,2021-05-03,2021-05-25,-1
2021,Q2,6,2021-06-07,2021-06-30,1
2021,Q3,7,2021-07-06,2021-07-22,-2
2021,Q3,8,2021-08-04,2021-08-30,1
2021,Q3,9,2021-09-01,2021-09-23,2
2021,Q4,10,2021-10-01,2021-10-27,1
2021,Q4,11,2021-11-05,2021-11-29,-1
2021,Q4,12,2021-12-02,2021-12-25,-1
2022,Q1,1,2022-01-06,2022-01-25,0
2022,Q1,2,2022-02-02,2022-02-23,0
2022,Q1,3,2022-03-04,2022-03-22,0
2022,Q2,4,2022-04-07,2022-04-27,2
2022,Q2,5,2022-05-07,2022-05-23,1
2022,Q2,6,2022-06-01,2022-06-29,1
2022,Q3,7,2022-07-07,2022-07-27,1
2022,Q3,8,2022-08-04,2022-08-24,2
2022,Q3,9,2022-09-04,2022-09-25,1
2022,Q4,10,2022-10-03,2022-10-24,-1
2022,Q4,11,2022-11-07,2022-11-30,1
2022,Q4,12,2022-12-02,2022-12-22,0
2023,Q1,1,2023-01-04,2023-01-31,0
2023,Q1,2,2023-02-02,2023-02-23,-1
2023,Q1,3,2023-03-02,2023-03-27,-1
2023,Q2,4,2023-04-04,2023-04-26,1
2023,Q2,5,2023-05-04,2023-05-23,-2
2023,Q2,6,2023-06-07,2023-06-24,1
2023,Q3,7,2023-07-06,2023-07-26,1
2023,Q3,8,2023-08-06,2023-08-28,2
2023,Q3,9,2023-09-01,2023-09-27,-1
2023,Q4,10,2023-10-02,2023-10-22,0
2023,Q4,11,2023-11-02,2023-11-23,-1
2023,Q4,12,2023-12-07,2023-12-25,1
2024,Q1,1,2024-01-07,2024-01-23,0
2024,Q1,2,2024-02-04,2024-02-26,0
2024,Q1,3,2024-03-06,2024-03-28,0
2024,Q2,4,2024-04-04,2024-04-30,0
2024,Q2,5,2024-05-07,2024-05-31,-3
2024,Q2,6,2024-06-03,2024-06-24,-3
2024,Q3,7,2024-07-01,2024-07-26,-1
2024,Q3,8,2024-08-05,2024-08-22,0
2024,Q3,9,2024-09-04,2024-09-26,-1
2024,Q4,10,2024-10-02,2024-10-28,0
2024,Q4,11,2024-11-04,2024-11-29,0
2024,Q4,12,2024-12-05,2024-12-23,-3
2025,Q1,1,2025-01-02,2025-01-29,2
2025,Q1,2,2025-02-05,2025-02-25,1
2025,Q1,3,2025-03-03,2025-03-27,0
