year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-05,2021-01-30,1.0
2021,Q1,2,2021-02-04,2021-02-23,1.0
2021,Q1,3,2021-03-02,2021-03-23,2.0
2021,Q2,4,2021-04-02,2021-04-30,4.0
2021,Q2,5,2021-05-02,2021-05-18,3.0
2021,Q2,6,2021-06-02,2021-06-27,2.0
2021,Q3,7,2021-07-02,2021-07-23,3.0
2021,Q3,8,2021-08-12,2021-08-19,2.0
2021,Q3,9,2021-09-07,2021-09-27,1.0
2021,Q4,10,2021-10-21,2021-10-21,0.0
2021,Q4,11,2021-11-08,2021-11-22,1.0
2021,Q4,12,2021-12-06,2021-12-23,3.0
2022,Q1,1,2022-01-19,2022-01-19,1.0
2022,Q1,2,2022-02-08,2022-02-21,1.0
2022,Q1,3,2022-03-18,2022-03-25,1.0
2022,Q2,4,2022-04-02,2022-04-18,1.0
2022,Q2,5,2022-05-09,2022-05-23,2.0
2022,Q2,6,2022-06-16,2022-06-16,0.0
2022,Q3,7,2022-07-06,2022-07-20,1.0
2022,Q3,8,2022-08-05,2022-08-16,2.0
2022,Q3,9,2022-09-14,2022-09-23,1.0
2022,Q4,10,2022-10-05,2022-10-24,0.0
2022,Q4,11,2022-11-17,2022-11-30,1.0
2022,Q4,12,2022-12-05,2022-12-20,1.0
2023,Q1,1,2023-01-10,2023-01-30,1.0
2023,Q1,2,2023-02-02,2023-02-23,0.0
2023,Q1,3,2023-03-05,2023-03-30,2.0
2023,Q2,4,2023-04-02,2023-04-24,3.0
2023,Q2,5,2023-05-03,2023-05-31,3.0
2023,Q2,6,2023-06-07,2023-06-30,1.0
2023,Q3,7,2023-07-03,2023-07-24,3.0
2023,Q3,8,2023-08-02,2023-08-24,3.0
2023,Q3,9,2023-09-06,2023-09-23,1.0
2023,Q4,10,2023-10-04,2023-10-29,4.0
2023,Q4,11,2023-11-13,2023-11-28,0.0
2023,Q4,12,2023-12-05,2023-12-25,1.0
2024,Q1,1,2024-01-04,2024-01-31,2.0
2024,Q1,2,2024-02-02,2024-02-27,2.0
2024,Q1,3,2024-03-06,2024-03-25,2.0
2024,Q2,4,2024-04-01,2024-04-24,5.0
2024,Q2,5,2024-05-07,2024-05-31,0.0
2024,Q2,6,2024-06-03,2024-06-26,3.0
2024,Q3,7,2024-07-05,2024-07-23,3.0
2024,Q3,8,2024-08-05,2024-08-28,4.0
2024,Q3,9,2024-09-06,2024-09-24,2.0
2024,Q4,10,2024-10-02,2024-10-22,1.0
2024,Q4,11,2024-11-06,2024-11-24,1.0
2024,Q4,12,2024-12-05,2024-12-23,3.0
2025,Q1,1,2025-01-06,2025-01-31,3.0
2025,Q1,2,2025-02-03,2025-02-25,4.0
2025,Q1,3,2025-03-05,2025-03-31,2.0
