year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-04,2021-01-24,2.0
2021,Q1,2,2021-02-02,2021-02-28,-1.0
2021,Q1,3,2021-03-02,2021-03-26,0.0
2021,Q2,4,2021-04-03,2021-04-30,1.0
2021,Q2,5,2021-05-02,2021-05-24,1.0
2021,Q2,6,2021-06-02,2021-06-29,0.0
2021,Q3,7,2021-07-07,2021-07-30,-2.0
2021,Q3,8,2021-08-05,2021-08-22,1.0
2021,Q3,9,2021-09-07,2021-09-29,-1.0
2021,Q4,10,2021-10-03,2021-10-18,0.0
2021,Q4,11,2021-11-04,2021-11-23,1.0
2021,Q4,12,2021-12-08,2021-12-20,1.0
2022,Q1,1,2022-01-02,2022-01-27,3.0
2022,Q1,2,2022-02-04,2022-02-23,0.0
2022,Q1,3,2022-03-07,2022-03-22,0.0
2022,Q2,4,2022-04-11,2022-04-29,0.0
2022,Q2,5,2022-05-03,2022-05-24,3.0
2022,Q2,6,2022-06-02,2022-06-30,-2.0
2022,Q3,7,2022-07-07,2022-07-22,1.0
2022,Q3,8,2022-08-03,2022-08-30,0.0
2022,Q3,9,2022-09-03,2022-09-27,-1.0
2022,Q4,10,2022-10-12,2022-10-31,-1.0
2022,Q4,11,2022-11-07,2022-11-27,2.0
2022,Q4,12,2022-12-07,2022-12-20,0.0
2023,Q1,1,2023-01-03,2023-02-01,0.0
2023,Q1,2,2023-02-16,2023-02-28,-1.0
2023,Q1,3,2023-03-16,2023-03-16,-1.0
2023,Q2,4,2023-04-07,2023-04-26,-3.0
2023,Q2,5,2023-05-04,2023-05-30,3.0
2023,Q2,6,2023-06-05,2023-06-05,0.0
2023,Q3,7,2023-07-07,2023-07-19,1.0
2023,Q3,8,2023-08-07,2023-08-25,1.0
2023,Q3,9,,,0.0
2023,Q4,10,2023-10-06,2023-10-31,2.0
2023,Q4,11,2023-11-02,2023-11-23,0.0
2023,Q4,12,2023-12-07,2023-12-27,-2.0
2024,Q1,1,2024-01-03,2024-01-31,2.0
2024,Q1,2,2024-02-05,2024-02-27,1.0
2024,Q1,3,2024-03-08,2024-03-20,0.0
2024,Q2,4,2024-04-04,2024-04-23,4.0
2024,Q2,5,2024-05-02,2024-05-28,3.0
2024,Q2,6,2024-06-06,2024-06-29,-2.0
2024,Q3,7,2024-07-05,2024-07-24,2.0
2024,Q3,8,2024-08-07,2024-08-23,3.0
2024,Q3,9,2024-09-03,2024-09-25,-1.0
2024,Q4,10,2024-10-07,2024-10-22,-3.0
2024,Q4,11,2024-11-07,2024-11-26,-1.0
2024,Q4,12,2024-12-03,2024-12-09,-1.0
2025,Q1,1,2025-01-04,2025-01-30,1.0
2025,Q1,2,2025-02-06,2025-02-28,2.0
2025,Q1,3,2025-03-06,2025-03-21,1.0
