code,name,year,quarter,sector,P_보유 주식 수 변화율,P_1인평균급여 변화율,P_기초 소유 주식 수 변화율,P_기초 소유주식 지분율 변화율,P_기말 소유주식 수 변화율,P_기말 소유주식 지분율 변화율,P_발행할 주식 총수 변화율,P_현재까지 발행한 주식 총수 변화율,P_발행주식의 총수 변화율,P_자기주식수 변화율,P_유통주식수 변화율,P_증자주식수 변화율,P_주식액면가액 변화율,M_소비자물가지수 변화율,M_금리 변화율,M_실업률 변화율,M_국제유가 변화율,Relative Return,Label,Code
480,조선내화,2024,Q4,철강_소재,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.09158966033966043,-0.09158966033966043,000480
480,조선내화,2024,Q3,철강_소재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2377021247854798,-0.11983510689291532,-0.09523809523809512,-0.05674568795778523,0.08784612279377998,-0.09158966033966043,000480
480,조선내화,2024,Q2,철강_소재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.110334699467731,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,-0.009551233660350482,0.08784612279377998,000480
480,조선내화,2024,Q1,철강_소재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11265192787422551,-0.12136131985833976,-0.011764705882352788,-0.008599753155233536,-0.03284289441307822,-0.009551233660350482,000480
480,조선내화,2023,Q4,철강_소재,7.681107031288784,-0.09523809523809523,0.07396224939613494,0.0739120151371806,14.452819118616357,0.3183137476992781,9.0,10.7226225,10.7226225,6.0424225,11.8926725,2.1710579868101494,-0.17219387755102034,0.10965773361610065,0.00757180156657955,0.0625,-0.03388722209400741,-0.23123545640332863,-0.03284289441307822,000480
480,조선내화,2023,Q3,철강_소재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028955398190522508,0.11207897793263655,0.03896103896103886,0.106533304958502,-0.20592868253686974,-0.23123545640332863,000480
480,조선내화,2023,Q2,철강_소재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3075171004307199,0.0022310602386272915,-0.04938271604938271,-0.03519218134034163,0.01859796740924216,-0.20592868253686974,000480
480,조선내화,2023,Q1,철강_소재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11353477832962133,-0.12061758935426237,-0.05813953488372092,-0.08337411073888668,0.06836339716957847,0.01859796740924216,000480
480,조선내화,2022,Q4,철강_소재,0.5252669158909957,0.4651162790697674,0.047435362070398,0.04758807588075875,0.06903769455185782,0.06297942386831257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11456608043309557,0.11445954938682568,0.023809523809523725,-0.12070563315019511,0.12929673357272164,0.06836339716957847,000480
480,조선내화,2022,Q3,철강_소재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09093510066157107,0.0359464250541639,-0.023255813953488302,-0.11299650647329962,0.0007924334269140132,0.12929673357272164,000480
