,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,소비자물가지수 변화율,1인평균급여 변화율,실업률 변화율,금리 변화율,국제유가 변화율,Label,Code
13,조선내화,2021,Q3,철강_소재,0.07722297134182479,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,-0.015945313905378677,000480
13,영풍,2021,Q3,철강_소재,0.0676530318612917,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.051367048840005515,000670
13,동국제강,2021,Q3,철강_소재,-0.05809848383616125,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.06570784103928433,001230
13,세아베스틸,2021,Q3,철강_소재,-0.21023237478733556,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,-0.04342548840018298,001430
13,고려제강,2021,Q3,철강_소재,-0.03614379296018116,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.024999428476657454,002240
13,세아제강,2021,Q3,철강_소재,0.7001081532030333,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.0568436038234696,003030
13,현대제철,2021,Q3,철강_소재,-0.11740833226314312,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.042357343369467206,004020
13,삼광글라스,2021,Q3,철강_소재,0.08282846965586767,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.24352357672666586,005090
13,POSCO,2021,Q3,철강_소재,-0.07695380850330745,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.07595374521403123,005490
13,무림P&P,2021,Q3,철강_소재,-0.11170766806853002,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.22413216103739997,009580
13,고려아연,2021,Q3,철강_소재,0.024197738400345406,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.2576458304115508,010130
13,풍산,2021,Q3,철강_소재,-0.04943282950503166,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.09013242909216072,103140
13,한국철강,2021,Q3,철강_소재,0.023378628699684968,0.0,0.01761921683046319,0.0,-0.1504424778761062,-0.05306772908366497,0.06736077481840197,0.0708570287246102,104700
