code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
23530,롯데쇼핑,경기소비재,2016,Q4,"3,896,693,330,582","22,086,116,736,437","25,982,810,067,019","6,261,733,649,474","4,215,322,167,166","10,477,055,816,640","11,065,343,685,832","15,505,754,250,379",4235375152036.0,354665986815.0,-89373819291.0,-118267745252.0,-118267745252.0,,,,,,,,,,,,,
28260,삼성물산,경기소비재,2016,Q4,"9,473,378,076,910","25,742,852,309,087","35,244,765,977,469","9,991,234,865,140","7,311,234,943,894","17,302,469,809,034","5,193,849,801,010","17,942,296,168,435",5676631600945.0,137641710968.0,193897949610.0,154052340714.0,154052340714.0,,,,,,,,,,,,,
33530,세종공업,경기소비재,2016,Q4,"227,505,748,050","294,833,851,048","522,339,599,098","176,207,696,400","31,288,253,173","207,495,949,573","298,045,404,833","314,843,649,525",113434562788.0,4851267639.0,16252978827.0,12149914779.0,12149914779.0,"10,027,215,000",,,,,,,,,,,,
35250,강원랜드,경기소비재,2016,Q4,"1,799,026,863,267","2,176,953,026,496","3,975,979,889,763","717,426,075,131","5,815,751,989","723,241,827,120","3,190,486,206,138","3,252,738,062,643",409612973490.0,120345333397.0,77730933993.0,64368598456.0,64368598456.0,,,,,,,,,,,,,
60980,한라홀딩스,경기소비재,2016,Q4,"220,048,846,287","1,228,877,839,381","1,448,926,685,668","256,706,205,506","358,127,376,206","614,833,581,712","551,411,025,676","834,093,103,956",184255054489.0,42872942126.0,41559967756.0,35248604145.0,35248604145.0,,,,,,,,,,,,,
64960,S&T모티브,경기소비재,2016,Q4,"478,964,034,265","466,909,201,833","945,873,236,098","243,566,179,595","68,005,133,590","311,571,313,185","515,694,536,254","634,301,922,913",231641347568.0,15337507337.0,9449984218.0,-3450087455.0,-3450087455.0,"73,115,680,000",,,,,,,,,,,,
69960,현대백화점,경기소비재,2016,Q4,"894,360,569,000","4,025,220,905,000","4,919,581,474,000","1,095,949,412,000","619,274,716,000","1,715,224,128,000","2,447,359,678,000","3,204,357,346,000",369778944000.0,84141034000.0,89989038000.0,70215955000.0,70215955000.0,"117,012,205,000",,,,,,,,,,,,
73240,금호타이어,경기소비재,2016,Q4,"1,056,452,071,334","2,323,174,016,551","3,379,626,087,885","1,355,127,964,126","640,811,577,893","1,995,939,542,019","386,603,547,651","1,383,686,545,866",599935597061.0,22075659239.0,5487017804.0,-4251307796.0,-4251307796.0,,,,,,,,,,,,,
79430,현대리바트,경기소비재,2016,Q4,"252,260,906,687","167,882,466,277","420,143,372,964","122,315,171,223","17,543,815,525","139,858,986,748",,"280,284,386,216",210808343391.0,15438822093.0,16125085307.0,13219580553.0,13219580553.0,,,,,,,,,,,,,
84870,베이직하우스,경기소비재,2016,Q4,"88,437,589,974","152,232,579,154","240,670,169,128","72,248,431,818","94,885,961,498","167,134,393,316","7,243,261,922","73,535,775,812",72275302878.0,-435047571.0,-4017139194.0,-11636036279.0,-11636036279.0,,,,,,,,,,,,,
93050,LF,경기소비재,2016,Q4,"990,842,174,031","475,898,810,977","1,466,740,985,008","256,044,482,385","127,727,375,949","383,771,858,334","727,228,440,613","1,082,969,126,674",402161951107.0,43582288632.0,36456344513.0,26615228954.0,26615228954.0,,,,,,,,,,,,,
105630,한세실업,경기소비재,2016,Q4,"571,862,485,512","382,470,927,606","954,333,413,118","408,570,652,708","72,420,687,249","480,991,339,957","410,108,061,474","473,342,073,161",333138767591.0,9257768776.0,-23438146058.0,-19689879488.0,-19689879488.0,"20,000,000,000",,,,,,,,,,,,
111770,영원무역,경기소비재,2016,Q4,"426,831,886,559","991,678,422,271","1,418,510,308,830","391,181,872,765","186,401,150,765","577,583,023,530","347,264,529,104","840,927,285,300",291684795585.0,18400494387.0,11028736196.0,7087028546.0,7087028546.0,"22,155,734,000",,,,,,,,,,,,
114090,GKL,경기소비재,2016,Q4,"557,605,411,485","172,572,237,871","730,177,649,356","185,942,765,883","25,508,493,366","211,451,259,249",,"518,726,390,107",148618413722.0,43134061258.0,44608364192.0,34146736292.0,34146736292.0,"30,927,835,000",,,,,,,,,,,,
161390,한국타이어,경기소비재,2016,Q4,"1,874,163,605,200","4,094,603,427,125","5,968,767,032,325","1,359,986,720,463","557,781,253,774","1,917,767,974,237","1,531,953,532,116","4,050,999,058,088",856399137566.0,65438322058.0,135831230156.0,101647811961.0,101647811961.0,,,,,,,,,,,,,
