접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160330004084,Y,00872984,이마트,2011년 05월 01일,이명희,"7,824,660",28.07%,-,2011년 기초,2015-12-31,2015,Q4
20160330004084,Y,00872984,이마트,2011년 06월 20일,이명희,"7,824,707",28.07%,-,장내매수,2015-12-31,2015,Q4
20160330004084,Y,00872984,이마트,2013년 03월 15일,이명희,"7,821,471",28.06%,-,사내이사 변경,2015-12-31,2015,Q4
20160330004084,Y,00872984,이마트,2014년 03월 14일,이명희,"7,822,068",28.06%,-,사내이사 변경,2015-12-31,2015,Q4
20170331005200,Y,00872984,이마트,2011년 05월 01일,이명희,"7,824,660",28.07%,-,2011년 기초,2016-12-31,2016,Q4
20170331005200,Y,00872984,이마트,2011년 06월 20일,이명희,"7,824,707",28.07%,-,장내매수,2016-12-31,2016,Q4
20170331005200,Y,00872984,이마트,2013년 03월 15일,이명희,"7,821,471",28.06%,-,사내이사 변경,2016-12-31,2016,Q4
20170331005200,Y,00872984,이마트,2014년 03월 14일,이명희,"7,822,068",28.06%,-,사내이사 변경,2016-12-31,2016,Q4
20170331005200,Y,00872984,이마트,2016년 05월 03일,이명희,"7,822,068",28.06%,-,장내매매,2016-12-31,2016,Q4
20180330003129,Y,00872984,이마트,2011년 05월 01일,이명희 외 3인,"7,824,660",28.07%,-,2011년 기초,2017-12-31,2017,Q4
20180330003129,Y,00872984,이마트,2011년 06월 20일,이명희 외 3인,"7,824,707",28.07%,-,장내매수,2017-12-31,2017,Q4
20180330003129,Y,00872984,이마트,2013년 03월 15일,이명희 외 3인,"7,821,471",28.06%,-,사내이사 변경,2017-12-31,2017,Q4
20180330003129,Y,00872984,이마트,2014년 03월 14일,이명희 외 4인,"7,822,068",28.06%,-,사내이사 변경,2017-12-31,2017,Q4
20180330003129,Y,00872984,이마트,2016년 05월 03일,이명희 외 3인,"7,822,068",28.06%,-,장내매매,2017-12-31,2017,Q4
20180330003129,Y,00872984,이마트,2017년 02월 27일,이명희 외 3인,"7,821,835",28.06%,-,장내매매,2017-12-31,2017,Q4
20180330003129,Y,00872984,이마트,2017년 02월 28일,이명희 외 3인,"7,821,597",28.06%,-,장내매매,2017-12-31,2017,Q4
20190401004008,Y,00872984,이마트,2014년 03월 14일,이명희 외 4인,"7,822,068",28.06%,사내이사 변경,-,2018-12-31,2018,Q4
20190401004008,Y,00872984,이마트,2016년 05월 03일,이명희 외 3인,"7,822,068",28.06%,장내매매,-,2018-12-31,2018,Q4
20190401004008,Y,00872984,이마트,2017년 02월 27일,이명희 외 3인,"7,821,835",28.06%,장내매매,-,2018-12-31,2018,Q4
20190401004008,Y,00872984,이마트,2017년 02월 28일,이명희 외 3인,"7,821,597",28.06%,장내매매,-,2018-12-31,2018,Q4
20200330003902,Y,00872984,이마트,2016년 05월 03일,이명희 외 3인,"7,822,068",28.06%,장내매매,-,2019-12-31,2019,Q4
20200330003902,Y,00872984,이마트,2017년 02월 27일,이명희 외 3인,"7,821,835",28.06%,장내매매,-,2019-12-31,2019,Q4
20200330003902,Y,00872984,이마트,2017년 02월 28일,이명희 외 3인,"7,821,597",28.06%,장내매매,-,2019-12-31,2019,Q4
20200330003902,Y,00872984,이마트,2019년 03월 29일,이명희 외 3인,"7,876,597",28.26%,장내매매,-,2019-12-31,2019,Q4
20200330003902,Y,00872984,이마트,2019년 04월 04일,이명희 외 3인,"7,961,597",28.56%,장내매매,-,2019-12-31,2019,Q4
20210316001234,Y,00872984,이마트,2019년 03월 29일,이명희 외 3인,"7,876,597",28.26%,장내매매,-,2020-12-31,2020,Q4
20210316001234,Y,00872984,이마트,2019년 04월 04일,이명희 외 3인,"7,961,597",28.56%,장내매매,-,2020-12-31,2020,Q4
20210316001234,Y,00872984,이마트,2020년 09월 28일,정용진 외 2인,"7,961,000",28.56%,증여,-,2020-12-31,2020,Q4
20220816000177,Y,00872984,이마트,2019년 03월 29일,이명희 외 3인,"7,876,597",28.26%,장내매매,-,2021-12-31,2021,Q4
20220816000177,Y,00872984,이마트,2019년 04월 04일,이명희 외 3인,"7,961,597",28.56%,장내매매,-,2021-12-31,2021,Q4
20220816000177,Y,00872984,이마트,2020년 09월 28일,정용진 외 2인,"7,961,000",28.56%,증여,-,2021-12-31,2021,Q4
20230321000409,Y,00872984,이마트,2019년 03월 29일,이명희 외 3인,"7,876,597",28.26%,장내매매,-,2022-12-31,2022,Q4
20230321000409,Y,00872984,이마트,2019년 04월 04일,이명희 외 3인,"7,961,597",28.56%,장내매매,-,2022-12-31,2022,Q4
20230321000409,Y,00872984,이마트,2020년 09월 28일,정용진 외 2인,"7,961,000",28.56%,증여,-,2022-12-31,2022,Q4
20240320001504,Y,00872984,이마트,2019년 03월 29일,이명희 외 3인,"7,876,597",28.26%,장내매매,-,2023-12-31,2023,Q4
20240320001504,Y,00872984,이마트,2019년 04월 04일,이명희 외 3인,"7,961,597",28.56%,장내매매,-,2023-12-31,2023,Q4
20240320001504,Y,00872984,이마트,2020년 09월 28일,정용진 외 2인,"7,961,000",28.56%,증여,-,2023-12-31,2023,Q4
20250318000688,Y,00872984,이마트,2020년 09월 28일,정용진 외 2인,"7,961,000",28.56%,증여,-,2024-12-31,2024,Q4
