,name,year,quarter,sector,Relative Return,금리 변화율,자본금 변화율,1인평균급여 변화율,보유 주식 수 변화율,실업률 변화율,기초 소유주식 지분율 변화율,Label,Code
33,경방,2016,Q3,경기소비재,0.05179556550348005,-0.16954353663214605,-0.05061484244509118,0.0,0.0,0.08411214953271018,0.0,-0.2813695647129345,000050
33,한국타이어월드와이드,2016,Q3,경기소비재,0.07960487395138752,-0.16954353663214605,-0.050588762492604356,0.0,0.0,0.08411214953271018,0.0,-0.19368253315611283,000240
33,기아차,2016,Q3,경기소비재,-0.08762965356279914,-0.16954353663214605,-0.050931536211586415,0.0,0.0,0.08411214953271018,0.0,-0.15636195899343341,000270
33,SK네트웍스,2016,Q3,경기소비재,0.10632868286939529,-0.16954353663214605,0.0,0.0,0.0,0.08411214953271018,0.0,-0.058738377608712575,001740
33,넥센타이어,2016,Q3,경기소비재,0.0014462235565562281,-0.16954353663214605,-0.05059521792533206,0.0,0.0,0.08411214953271018,0.0,-0.12315621736663916,002350
33,일신방직,2016,Q3,경기소비재,0.12247796958830226,-0.16954353663214605,0.0,0.0,0.0,0.08411214953271018,0.0,-0.3281529472554554,003200
33,쌍용차,2016,Q3,경기소비재,0.03183520841879381,-0.16954353663214605,-0.050618785294826996,0.0,0.0,0.08411214953271018,0.0,-0.021960996984554046,003620
33,한솔홀딩스,2016,Q3,경기소비재,-0.10595135441227563,-0.16954353663214605,-0.050619469344320045,0.0,0.0,0.08411214953271018,0.0,-0.10450812581784394,004150
33,신세계,2016,Q3,경기소비재,0.027715898034637036,-0.16954353663214605,-0.050344375207273306,0.0,0.0,0.08411214953271018,0.0,-0.1250910976894108,004170
33,세방전지,2016,Q3,경기소비재,-0.006007403880872824,-0.16954353663214605,-0.05061346246587106,0.0,0.0,0.08411214953271018,0.0,-0.15849834835393145,004490
33,조광피혁,2016,Q3,경기소비재,-0.1192573210191688,-0.16954353663214605,0.0,-0.050621818788661455,0.0,0.08411214953271018,0.0,-0.14332937753979935,004700
33,현대차,2016,Q3,경기소비재,-0.013784868880418563,-0.16954353663214605,-0.014960697128401534,0.0,0.0,0.08411214953271018,0.0,0.08123772202730022,005380
33,에스엘,2016,Q3,경기소비재,0.039512190933739505,-0.16954353663214605,-0.050619053415216,-0.05061905341521611,0.0,0.08411214953271018,0.0,0.15441191175498448,005850
33,동아타이어,2016,Q3,경기소비재,-0.0994539219401365,-0.16954353663214605,0.0,0.0,0.0,0.08411214953271018,0.0,-0.08110160236504049,007340
33,서연,2016,Q3,경기소비재,-0.034268062157729484,-0.16954353663214605,-0.05062150901157503,0.0,0.0,0.08411214953271018,0.0,-0.13856747277789458,007860
33,호텔신라,2016,Q3,경기소비재,-0.1358966335863009,-0.16954353663214605,0.0,0.0,0.0,0.08411214953271018,0.0,-0.2686594330801799,008770
33,한샘,2016,Q3,경기소비재,0.06692241403274671,-0.16954353663214605,-0.05061463305097191,0.0,0.0,0.08411214953271018,0.0,0.07566731204512554,009240
33,모토닉,2016,Q3,경기소비재,0.015020711167446407,-0.16954353663214605,-0.05062233007624084,0.0,0.0,0.08411214953271018,0.0,-0.16967993910914425,009680
33,화신,2016,Q3,경기소비재,-0.15055245051399357,-0.16954353663214605,-0.05062308352151712,0.0,0.0,0.08411214953271018,0.0,-0.17611509157120483,010690
33,현대위아,2016,Q3,경기소비재,-0.15839698201835667,-0.16954353663214605,-0.05057569596530864,0.0,0.0,0.08411214953271018,0.0,-0.17593734315199627,011210
33,현대모비스,2016,Q3,경기소비재,-0.04558212976950702,-0.16954353663214605,-0.033270873058061756,0.0,0.0,0.08411214953271018,0.0,-0.1661729977465027,012330
33,에스원,2016,Q3,경기소비재,-0.1134069139601327,-0.16954353663214605,0.0,0.0,0.0,0.08411214953271018,0.0,-0.163558521829094,012750
33,SK텔레콤,2016,Q3,커뮤니케이션서비스,-0.01600971733972347,-0.16954353663214605,0.031068692368848128,0.0,0.0,0.08411214953271018,0.0,0.04982150810956108,017670
33,한온시스템,2016,Q3,경기소비재,-0.08414490944836989,-0.16954353663214605,-0.05057117910006259,0.0,-0.05057117910006259,0.08411214953271018,0.0,-0.24842980633691059,018880
33,대교,2016,Q3,경기소비재,0.03858047484743403,-0.16954353663214605,-0.050619469429688535,-0.050619469429688535,0.0,0.08411214953271018,0.0,-0.1781660375548701,019680
33,한섬,2016,Q3,경기소비재,0.030681368942144092,-0.16954353663214605,-0.050608097046760725,0.0,0.0,0.08411214953271018,0.0,-0.41664844299369624,020000
33,코웨이,2016,Q3,경기소비재,-0.01503139753479877,-0.16954353663214605,-0.05058328970437709,0.0,0.0,0.08411214953271018,0.0,-0.07569962901117441,021240
33,롯데쇼핑,2016,Q3,경기소비재,0.1746984284120808,-0.16954353663214605,-0.02118796175293991,0.0,0.0,0.08411214953271018,0.0,-0.16984539693873774,023530
