,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,금리 변화율,매출액 변화율,법인세차감전 순이익 변화율,Label,Code
9,CJ대한통운,2022,Q3,산업재,-0.2919578137856079,0.00723049276425769,0.010892240963914945,-0.001995230735212905,0.0359464250541639,-0.005216584991264983,-0.23131691219952932,-0.0655666417898243,000120
9,두산,2022,Q3,산업재,0.12457118079094609,-0.08036067819292292,-0.015099546463954172,0.05856229340504937,0.0359464250541639,0.0277123271370201,3.934922064396173,0.138176475848162,000150
9,SK하이닉스,2022,Q3,정보기술,0.018244489357871683,-0.050520866822916344,0.05017906986049514,0.030361960859489834,0.0359464250541639,-0.19942208186377564,-0.3584133875136708,-0.06558485737004023,000660
9,LG상사,2022,Q3,산업재,0.17330242061976894,0.10622636804219554,0.06703954766745257,0.1402223741241715,0.0359464250541639,-0.015741349033228658,-0.23131829434170192,-0.235710326621543,001120
9,대한항공,2022,Q3,산업재,-0.0026048099319513143,0.002838863023367555,0.014380406324091988,0.05372907609539923,0.0359464250541639,0.10082089502115932,0.003937860264424442,-0.0659284505606798,003490
9,LG,2022,Q3,정보기술,0.008850001702514463,-0.009447877491376655,-0.0007952002523139434,0.000543681552779729,0.0359464250541639,0.394887910130153,0.905728189306956,0.0874591078198696,003550
9,S&T중공업,2022,Q3,산업재,-0.011735503194118632,0.07429892664158588,0.012372677420228628,-0.001470213040872026,0.0359464250541639,0.03165549992703465,-0.009426577403103042,0.09164646248419406,003570
9,한솔테크닉스,2022,Q3,정보기술,-0.097940256742077,-0.003402260033873672,0.060804893407473415,0.07948440442278204,0.0359464250541639,0.1418617969453535,9.42296499305154,0.02803631937489633,004710
9,삼성전자,2022,Q3,정보기술,0.06849592142748558,0.023518305001695605,0.007945980978733669,0.015355748678268055,0.0359464250541639,-0.08407467107475541,-0.36249112460350064,-0.014620187333024896,005930
9,LS,2022,Q3,산업재,0.1240645951779775,0.25807589091556693,0.22542526420298592,0.01830375129425943,0.0359464250541639,0.02796642698178431,1.7250289458077996,0.06188192042317178,006260
9,삼성SDI,2022,Q3,정보기술,0.20520521263200125,-0.01489565018650607,0.027896107049593555,0.0226758466116046,0.0359464250541639,0.11490183005847254,1.9639277360552359,0.050360961251584783,006400
9,대덕전자,2022,Q3,정보기술,-0.026069642493352158,0.07338747226762043,0.0012525887077710074,0.0008273721786962174,0.0359464250541639,0.1657803128645019,1.982612908260565,0.07393474034507283,008060
9,삼성전기,2022,Q3,정보기술,0.05048714975937685,0.020066650376263206,0.08501841166760138,0.05760124933978128,0.0359464250541639,-0.09483403269745994,0.3268744221681399,0.08820273536102646,009150
9,LS산전,2022,Q3,산업재,-0.06192980258112614,0.00266658621847915,0.011869707913852556,0.0029157578701324294,0.0359464250541639,-0.10569656892986334,-0.18099943036125166,0.05904909069189029,010120
9,LG이노텍,2022,Q3,정보기술,-0.06735454673621392,0.03773469874045543,0.33747475925240056,0.08938137790950762,0.0359464250541639,0.4647595657057184,0.5546407988514772,-0.07709220687362783,011070
9,현대상선,2022,Q3,산업재,-0.13513238680086195,-0.30084775405920505,0.19531074966310014,0.27237371311405933,0.0359464250541639,0.018312089283430755,-0.09405172298227471,-0.023952222418711335,011200
9,삼성에스디에스,2022,Q3,정보기술,-0.015783165487627027,0.05754591072450865,0.06727864735310818,0.04694728825555661,0.0359464250541639,-0.014020015926967555,-0.00029248044321228406,-0.016487149282385566,018260
9,일진머티리얼즈,2022,Q3,정보기술,-0.13890717483604603,-0.0037546727479180753,-0.021653138411428907,0.010143193294971153,0.0359464250541639,-0.10186124257779017,-3.3357309701941795,0.04704875107561876,020150
9,한국단자,2022,Q3,산업재,0.015174622806776462,-0.003702210369055714,0.027062289986059973,0.024105922323694795,0.0359464250541639,0.032499938997174516,0.5572747040968689,-0.014199258311691606,025540
9,신도리코,2022,Q3,정보기술,0.053671220436776676,0.6629889447155959,0.05235193369609337,0.014387390899899266,0.0359464250541639,0.21853501461576452,0.03227591098678495,0.024462058572148785,029530
9,LG디스플레이,2022,Q3,정보기술,-0.04345401886348084,0.08147091593399369,0.04690658420608296,-0.10857898298044266,0.0359464250541639,0.22230952109476476,1.1662568437943408,0.00046341436467545183,034220
9,SK,2022,Q3,정보기술,0.0030754269785088738,0.02776280324474345,0.02673918908865014,-0.0012808399317844055,0.0359464250541639,-0.0011407800141549629,-1.40557407305963,-0.23456398079473367,034730
9,한미반도체,2022,Q3,정보기술,-0.021366550253167926,-0.003749452290525812,0.07087630166271652,0.10354918812646652,0.0359464250541639,-0.3417335348734437,-0.017684856168179053,0.18264724034507282,042700
9,대우인터내셔널,2022,Q3,산업재,-0.034828530860939094,0.041074537123573895,-0.07287914678581142,0.016723983804959097,0.0359464250541639,-0.24199429902827418,-0.520745699528369,0.004689950966088274,047050
