year,quarter,min_disclosure_date,max_disclosure_date
2015,Q4,2016-03-16,2016-03-30
2016,Q1,2016-04-28,2016-05-30
2016,Q2,2016-08-03,2016-08-29
2016,Q3,2016-10-31,2016-11-29
2016,Q4,2017-03-08,2017-03-31
2017,Q1,2017-05-04,2017-05-30
2017,Q2,2017-08-01,2017-08-29
2017,Q3,2017-10-26,2017-11-29
2017,Q4,2018-03-09,2018-04-02
2018,Q1,2018-04-30,2018-05-15
2018,Q2,2018-08-10,2018-08-14
2018,Q3,2018-11-06,2018-11-14
2018,Q4,2019-02-28,2019-04-01
2019,Q1,2019-05-07,2019-05-15
2019,Q2,2019-08-12,2019-08-14
2019,Q3,2019-11-08,2019-11-14
2019,Q4,2020-03-02,2020-05-15
2020,Q1,2020-05-11,2020-06-08
2020,Q2,2020-08-11,2020-08-14
2020,Q3,2020-11-05,2020-11-16
2020,Q4,2021-02-18,2021-03-31
2021,Q1,2021-04-29,2021-05-17
2021,Q2,2021-08-10,2021-08-17
2021,Q3,2021-11-10,2021-11-15
2021,Q4,2022-02-18,2022-04-15
2022,Q1,2022-05-10,2022-05-16
2022,Q2,2022-08-10,2022-08-16
2022,Q3,2022-11-09,2022-11-14
2022,Q4,2023-02-20,2023-03-31
2023,Q1,2023-05-10,2023-05-15
2023,Q2,2023-08-10,2023-08-14
2023,Q3,2023-11-09,2023-11-14
2023,Q4,2024-02-21,2024-03-30
2024,Q1,2024-05-09,2024-05-16
2024,Q2,2024-08-08,2024-08-14
2024,Q3,2024-11-07,2024-11-14
2024,Q4,2025-02-20,2025-03-31
