,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,특정 증권 등 소유 수변화율,Label,Code
8,Yuhan_Corporation,제약,2022,Q3,0.0012218882853022306,-0.002500101134134569,0.09374378710583886,0.5847878722024502,-0.042425913368246304,0.11819428013486125,-0.032836100183146755,-0.10673045733343467,-0.031477937487459196,-0.08203614577051055,0.042936475457633724,000100
8,CJ_Logistics,운송·창고,2022,Q3,0.001995230735212905,-0.04519514703306715,0.005216584991264983,0.20137013722812247,-0.00723049276425769,0.04659939349396938,-0.019028864150014924,0.012891261574913715,-0.015581764337515347,-0.01951551489295733,-0.13872643149657915,000120
8,DL_Holdings,화학,2022,Q3,0.00020523442456932273,0.0001117024765715513,0.8760892665254296,0.9951645335051398,0.006237330355696069,0.3278752199402504,-0.0049117199948165435,-0.004182882864748327,-0.00533211655048027,-0.00373001285299579,-0.1133258648703858,000210
8,Ildong_Pharmaceutical,제약,2022,Q3,-0.0025677097371197277,-0.0035170418338172915,-0.05629347551383601,-0.2063063860750154,-0.041191197409639946,0.09274254337687336,-0.033312969787209656,-0.03392848804892057,-0.02901552887483283,-0.03392848804892057,0.28661898332251984,000230
8,S_hynix,전기·전자,2022,Q3,-0.030361960859489834,-0.033397760961612066,0.19942208186377564,0.46007137224326233,0.050520866822916344,-0.06624782872825283,-0.035017998889157465,-0.05001639605844832,-0.029607045365780182,-0.048902358557417536,0.0018108090406613736,000660
8,Hyundai_E&C,건설,2022,Q3,-0.06791577988428998,-0.037423823447168436,-0.05486422442262029,-0.0559416330086322,0.01852449958856628,0.021942979881403923,-0.027095470750734263,-0.025782811556072094,-0.027249636108035658,-0.02683098278991869,-0.018518861289008953,000720
8,Hanwha_Corp,화학,2022,Q3,-0.007237971369640883,-0.010248470889103078,0.03951173868662805,-2.160412601059381,0.0013753316884543842,-0.018147012256829353,-0.005984088072000793,0.00480810956692701,-0.00039762476258631274,0.0047384625236344124,0.0308205276457557,000880
8,Nexen_Tire,화학,2022,Q3,0.0036418350074910455,0.0029076544834560902,0.0035834087728147113,0.6745060673005072,-0.03650093319131642,-0.017463106506030612,-0.03892380670609441,0.0,0.06211717188586907,0.0,0.43506594341939125,002350
8,KCC,화학,2022,Q3,0.05766222492752604,0.060177015869596895,0.007458398646956965,0.15603064010408296,0.05692599216409744,0.0015626287880870227,0.11177496154908906,0.05804139612470782,0.1401571778395232,0.05801918258003336,-0.10755655970170737,002380
8,AmoreG,화학,2022,Q3,-0.016273550416525895,0.0006477277815708504,0.0008676906520966865,0.026072311989457364,-0.09604203388727894,0.004666088602046731,-0.02877742767563407,-0.0398600602876078,-0.02806101460726862,-0.039299583413686,-0.1953760041461518,002790
8,Korea_Shell_Petroleum,화학,2022,Q3,-0.059513455242018454,-0.06454512783678124,0.09720802903509329,0.3239116876667799,-0.000285735006552823,0.1245402088181344,0.004647549128087181,0.0,0.003777159829117749,0.0,0.09474644483344002,002960
8,Bukwang_Pharmaceutical,제약,2022,Q3,-0.008898939237030445,-0.009666587134155469,-0.15633352511802512,-0.3748582595953849,-0.01516675320344607,-0.17788387422256605,-0.03212916956341205,-0.08333557543959902,-0.03685850139287883,0.0,-0.030620396117816515,003000
8,Taekwang_Industrial,화학,2022,Q3,0.005335339271358763,0.0009482048599185333,0.07526682353546499,-23.745655810082592,0.013412538664462792,0.02712823964781555,0.002658364082030351,0.0024649910345843074,0.0029335629848407097,0.0024649910345843074,-0.13026489303504069,003240
8,Korean_Air,운송·창고,2022,Q3,-0.05372907609539923,-0.34229998514263826,-0.10082089502115932,-0.14047141927507312,-0.002838863023367555,-0.016439399609478905,-0.019020384971339288,0.0048684466238082535,-0.0196201776519056,-0.02364493631514919,-0.04300665247621076,003490
8,Youngjin_Pharmaceutical,제약,2022,Q3,0.020665009675958412,-95.91024290759246,-0.041672975327236905,-0.5285690436974015,-0.007909128243872354,-0.14286506491995712,-0.006467716888770791,0.0,-0.005065887086378229,0.0,-0.18685809781006368,003520
8,Samsung_Fine Chemicals,화학,2022,Q3,-0.09408129067995752,-0.12189794173881863,0.08505280841499374,0.07360055749788275,-0.03297100727200375,-0.02425088810803311,-0.09778517997421354,-0.10288897011075471,-0.119876131986838,-0.0772343832149367,-0.05705126970002132,004000
8,SEBANG_Global_Battery,전기·전자,2022,Q3,-0.013196424464957168,-0.013217839743674853,-0.012296073419794995,-0.4372122717434226,-0.20904838291395844,-0.06559133767294348,-0.0623553862282713,-0.13152885680166682,-0.01940526386352759,-0.2513488051529531,-0.15569418596433365,004490
9,Hansol_Technics,전기·전자,2022,Q3,-0.07948440442278204,-0.9202632169436848,-0.1418617969453535,-7.747407842578955,0.003402260033873672,-0.08535508627481675,-0.0753877514538086,0.0,-0.07218608629912349,0.0,-0.05179346145165466,004710
8,Samkwang_Glass,전기·가스,2022,Q3,-0.029181130809066813,-0.20063043992394491,-0.025959239163649173,-122.53232836322717,0.007905256424652007,-0.1189260049124051,-0.03489497928050156,-0.06116192676017951,-0.01755323576524792,-0.060431070939961584,-0.06659578436593204,005090
9,Samsung_Electronics,전기·전자,2022,Q3,-0.015355748678268055,-0.016488666085003656,0.08407467107475541,0.3670505738921168,-0.023518305001695605,-0.02388172161394428,-0.02822342201862349,-0.005679306809640128,-0.02316655249838151,-0.01703376224782982,0.02184016457089563,005930
8,GC_Biopharma,제약,2022,Q3,-0.03430535778100441,-0.0476148743845366,-0.10017539312368151,-1.978601479369591,-0.01742378806562006,-0.003626604012265028,-0.023234058629594934,-0.09385112252094174,-0.03150974120579453,-0.09187583127141541,-0.18060677337692105,006280
9,Samsung_SDI,전기·전자,2022,Q3,-0.0226758466116046,-0.05955406824374543,-0.11490183005847254,-0.8980313090319407,0.01489565018650607,0.057669308748206666,-0.030993360471343934,-0.019429160962177505,-0.026897113320587973,-0.03362542070299446,0.11493978532753239,006400
9,Korea_Petrochemical_Ind,화학,2022,Q3,0.02089210293554078,0.024839139079270156,0.31820071700109187,-0.37894913846028655,-0.06280881411905148,-0.10607379927711494,0.03787921979110087,-0.058083804694840424,-0.0038105181375311936,-0.05087201329331159,-0.06991258951200548,006650
8,Dong-A_Tire,전기·전자,2022,Q3,-0.02630255322827768,-0.021950129912111205,-0.05975974489965585,-0.5534466155833604,-0.0008882679176158703,-0.06230971339773245,-0.043508669135229106,-0.039995525850771374,-0.05145974075772353,-0.03999552585077115,0.20873293820518726,007340
