,Code
0,000050
0,000080
0,000100
0,000120
0,000150
0,000210
0,000230
0,000240
1,000480
0,000640
0,000880
0,001040
0,001120
0,001230
0,001680
0,001740
0,001800
0,002350
0,002380
0,002790
0,002960
0,003000
0,003030
0,003200
0,003240
0,003300
0,003410
0,003490
0,003520
0,003550
0,003920
0,004000
0,004150
0,004170
0,004370
0,004700
0,004800
0,005180
0,005300
0,005440
0,005610
0,005740
0,006120
0,006260
0,006280
1,006650
0,007070
0,007310
0,007570
1,007690
0,007860
0,008060
0,008490
0,008770
0,009240
0,009290
0,009540
0,009580
0,009830
0,010060
0,010780
0,010950
0,011170
0,011200
0,011780
0,011790
0,012630
0,012750
1,014680
0,014820
0,014830
0,017670
0,019680
0,020000
0,021240
0,023530
0,025860
0,028050
1,028260
1,030000
0,030200
0,032640
0,033780
0,033920
0,034120
0,034730
0,035250
0,036580
0,047050
0,049770
0,051900
0,051910
0,052690
0,060980
0,069260
0,069620
0,069960
0,073240
0,078520
0,078930
0,079980
0,084870
0,086280
0,090430
0,093050
0,093370
0,096770
0,097950
0,105630
0,108670
0,111770
0,114090
0,115390
0,120110
0,128940
0,139480
0,145990
0,161390
0,161890
0,170900
0,185750
0,192820
