,name,sector,year,quarter,Relative Return,이익잉여금 변화율,자본총계 변화율,실업률 변화율,환율 변화율,자기주식수 변화율,발행금액 변화율,전체 주주 수 변화율,특정 증권 등 소유 증감 수 변화율,증자주식수 변화율,Label,Code
18,Kyungbang,유통,2020,Q1,-0.13606678917383533,0.0003672101755781698,0.004485945230055521,-0.00943396226415083,-0.015754379708652122,0.008666537228540605,0.32108446456041584,-0.017975139121290784,0.0,0.32108446456041584,0.03337209649874409,000050
18,Hite_Jinro,음식료·담배,2020,Q1,-0.004277624972789884,0.06889966315890861,0.01862665461250268,-0.00943396226415083,-0.015754379708652122,0.18053594342052093,0.15491042567345104,-0.0180679280144298,-0.018067928014430024,0.1549104256734507,0.11453057547843233,000080
18,Yuhan_Corporation,제약,2020,Q1,0.01395351485548639,-0.06898464389946524,-0.05846413296007169,-0.00943396226415083,-0.015754379708652122,-1.0287007907054302,0.17459717353472803,-0.017995202304903035,-0.017995202304903257,-0.6743908425514733,0.16133948548279653,000100
18,CJ_Logistics,운송·창고,2020,Q1,-0.0017239662182092497,0.17606280414619035,-0.003107517116688996,-0.00943396226415083,-0.015754379708652122,0.47037180660134803,0.0,-0.01800229580805568,-0.018002295808055457,0.0,0.07242938237193654,000120
18,Doosan_Corp,기타금융,2020,Q1,0.0,-0.019698556927926658,0.00067448751846233,-0.00943396226415083,-0.015754379708652122,0.05402601722443312,0.215683598767333,-0.018011100506078348,-0.01801110050607857,0.3859439610762342,-0.3278471153239161,000150
18,DL_Holdings,화학,2020,Q1,-0.19145807343458393,-0.05449619866870914,-0.04780246335357141,-0.00943396226415083,-0.015754379708652122,-0.017868835078733714,-0.017868835167268893,-0.018029990725991096,-0.017937691160775815,-0.017868835167268893,0.008475770750884765,000210
18,Ildong_Pharmaceutical,제약,2020,Q1,-0.02711775645954778,0.021696376553766328,0.006148254472034043,-0.00943396226415083,-0.015754379708652122,0.12481341729968143,-0.28236111067601355,-0.017976697778384176,-0.017976697778384176,0.25450860559816546,-0.07970902053552373,000230
18,Hankook_Tire_Worldwide,기타금융,2020,Q1,-0.06386201029032726,0.03724374123417129,0.015489527180776563,-0.00943396226415083,-0.015754379708652122,0.6099313572144748,-0.017966537980277142,-0.017966537980277142,-0.017966537980277142,0.621494330016888,-0.21123997246677315,000240
19,Chosun_Refractories,비금속,2020,Q1,-0.03579183485173077,-0.0020100787918684304,0.042091361485371626,-0.00943396226415083,-0.015754379708652122,-0.6200717475957873,0.19419313437675212,-0.017976464410809134,-0.017976464410809134,-0.06778948587738265,-0.008360758983627092,000480
18,Dong-A_Socio_Holdings,기타금융,2020,Q1,0.16695116583705819,-0.03411688275349145,-0.016375961457602672,-0.00943396226415083,-0.015754379708652122,-0.017977040132098,0.36842423632426013,-0.017977040132098,-0.017977040132098,-0.1293334309255887,-0.037853822232031376,000640
18,Hanwha_Corp,화학,2020,Q1,-0.07238431806376888,0.021625911287632693,0.015568865073632865,-0.00943396226415083,-0.015754379708652122,0.5011411822171542,0.5915089836014463,-0.01810112626263516,-0.01810112626263516,0.5915089836014463,-0.19176351956096152,000880
18,CJ_Corp,기타금융,2020,Q1,0.10366045440800392,0.010545275190710912,0.0065111253775759215,-0.00943396226415083,-0.015754379708652122,-0.10254969609652997,0.393746527683689,-0.01796704915737868,-0.017967049157378456,-1.6581087876151357,-0.1372881091127359,001040
18,LG_International,유통,2020,Q1,-0.19427136701547346,-0.26196616920585836,-0.19337362805709923,-0.00943396226415083,-0.015754379708652122,-7.179842316194909,0.0,-0.018044983648441315,-0.018044983648441315,0.0,-0.1956876468853778,001120
18,Dongkuk_Steel,기타금융,2020,Q1,-0.1575103833054438,0.01256179890711795,-0.04280175970243838,-0.00943396226415083,-0.015754379708652122,-0.6752255867841983,0.13682322364026744,-0.018027960235269758,-0.017869487681264618,-5.521001634720328,-0.18596123113872556,001230
18,Daesang,음식료·담배,2020,Q1,-0.024614570423692354,-0.06540657268248662,-0.027597976341247943,-0.00943396226415083,-0.015754379708652122,0.0,0.0,-0.01801055785388961,-0.01801055785388983,-0.01248099904397848,-0.0743865241909111,001680
18,SK_Networks,유통,2020,Q1,-0.004118055809530674,0.07568510613192636,0.05129801885985397,-0.00943396226415083,-0.015754379708652122,-0.9284197224643627,0.0,0.0,-0.017649714423259022,0.0,-0.03899670647350714,001740
18,Orion_Corp,기타금융,2020,Q1,0.05577040407892922,-0.43009542142673385,0.006218952959116009,-0.00943396226415083,-0.015754379708652122,0.4536612417791307,0.5757403203571513,-0.017970854546208948,0.0,-0.42096622230610925,-0.1280236803319417,001800
18,Nexen_Tire,화학,2020,Q1,-0.05541511179408666,-0.0035595503556222763,-0.0027790952387949375,-0.00943396226415083,-0.015754379708652122,0.17946380588197264,0.1412961297089531,-0.01796772352687781,0.0,0.12722560856897847,-0.2855455280223287,002350
18,KCC,화학,2020,Q1,-0.005733788207726714,0.07217050166430161,0.07362006252880915,-0.00943396226415083,-0.015754379708652122,0.07498383178323265,0.0,-0.016952248755972565,-0.016952248755972565,-10.68905737601512,0.0,002380
18,AmoreG,화학,2020,Q1,0.19112453563193144,-0.0038030003832405512,-0.0023030175397245056,-0.00943396226415083,-0.015754379708652122,0.22114266211782452,0.3472370601654965,-0.017979409415739278,-0.0179794094157395,0.45683076652605226,-0.13590784686290844,002790
18,Korea_Shell_Petroleum,화학,2020,Q1,-0.09708121564107175,0.15539160516158423,0.14324018897596902,-0.00943396226415083,-0.015754379708652122,0.0,0.0,-0.01797678545115944,0.0,0.0,-0.04922960380317867,002960
