,name,sector,year,quarter,비유동자산변화율,비유동부채변화율,부채총계변화율,영업이익변화율,유동부채변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,1인평균급여변화율,주주 수변화율,Label,Code
26,Hankook_Tire_Worldwide,Automotive_&_Parts,2018,Q1,0.007569535713823572,0.01889274611774361,-0.3532355759624082,-5.903230225017858,-1.3156187652986282,-0.13370780017532277,-0.014986803065093035,-0.011063118465395316,0.11986683760586236,-0.16542388983421064,0.01571765120288519,000240
27,Kia_Corp,Automotive_&_Parts,2018,Q1,-0.019499737699816944,0.05932186773136472,0.06219937721680313,0.9443900252657603,0.06451562343298478,0.04272115690853953,0.013121498369968787,0.023002683596162532,0.12499133548218655,-0.36739970461836635,-0.02646735677159647,000270
26,Nexen_Tire,Automotive_&_Parts,2018,Q1,-0.016118383679502246,0.014137866131641585,-0.018629547935688162,-0.5456012161230088,-0.0677358241864825,-0.11339955954649072,-0.0008658666664194126,-0.018527986830863208,0.12669408878524857,-1.2716586195395476,0.09769802586836243,002350
26,Korean_Air,Automotive_&_Parts,2018,Q1,-0.007860660574116052,-0.07484061770847883,-0.037505353043535195,0.23414326409484432,0.03697855240587733,0.08125208716292796,-0.016530644545646123,-0.017669153815990768,0.050727356781612776,-2.4238224856441875,0.025364393567616557,003490
26,SsangYong_Motor,Automotive_&_Parts,2018,Q1,0.002111017555591066,-0.005198566979313313,0.01090814852568378,-0.2704377382500316,0.01837303331648732,-0.008757764568513836,0.027949580901857285,0.024773992518323462,-226.44962991959565,0.031799136696554764,0.0020423737477506185,003620
26,SEBANG_Global_Battery,Automotive_&_Parts,2018,Q1,-0.05164442901671795,0.14761610501838263,-0.06821800419567792,-0.08093460802232677,-0.07705584604671989,0.002009912765791832,-0.02518498260556412,-0.02634586989716592,0.24352798905477446,-1.240237354050247,-0.056770387074626776,004490
26,Hyundai_Motor,Automotive_&_Parts,2018,Q1,-0.0009129287692581922,0.10832033613090875,0.004475373583719189,-23.102484068149305,-0.05349719327103153,0.0327402982812494,-0.0005908183643283937,-0.0018209426808690754,0.1327475728551688,-1.4762647747343869,-0.012372924072512607,005380
26,Dong-A_Tire,Automotive_&_Parts,2018,Q1,-0.022535592964004092,-0.43032882178041465,-0.3577168590255162,1.1997754333687887,-0.3418146313103283,-0.1848474101876963,-0.004645408461332767,-0.017965763785578348,0.31550768866804113,0.3728154825927583,0.13274786151535178,007340
26,Seoyon,Automotive_&_Parts,2018,Q1,-0.0012610847351590682,0.5470595583198856,-0.0710575039760295,-1.0880411558106222,-0.591453613381709,-0.021490650760358828,-0.014037957294739334,-0.014272757567962424,0.018950411812354462,-0.27231602311615566,-0.10154650647761185,007860
26,Seohung,Automotive_&_Parts,2018,Q1,0.009254575318218272,0.05054850275479006,-0.0547652597412811,-1.6673772188779443,-0.09820812259247114,-0.028755980606333834,0.047471115197895375,0.0678716524559776,0.14122385923823821,-0.12497694848012197,0.031080599858928967,008490
26,Motonic,Automotive_&_Parts,2018,Q1,0.014908896660190796,0.021100122679187594,0.02903327275676093,0.3890136297173392,0.03415488573752501,-0.08144503329538652,0.015480229293064363,0.01558310236419247,0.002288373507187136,-1.075670157397985,0.10044305166055109,009680
26,Hwashin,Automotive_&_Parts,2018,Q1,-0.09636097322853976,-0.060152989999455286,-0.39538660994541064,-0.19750331849303326,-0.4249921883876864,-0.12699310662123764,-0.2608192289284046,-0.38703648194049345,0.09645392518973928,-0.5518543686532034,-0.04036653481512841,010690
27,Hyundai_Mobis,Automotive_&_Parts,2018,Q1,0.0003244205676021794,0.0668878962127456,-0.19278804730283094,0.18452949292594711,-0.22189044356275334,0.10841097358189695,-0.03212503019023338,0.007621325211039642,0.08524285289410116,-2.3155272012422357,-0.05348034378458349,012330
26,S-1_Corporation,Financials,2018,Q1,-0.015042063502797909,-0.2259485023969381,-0.28829031192639376,-0.5160787455536244,-0.3060688356691794,0.18881360691841065,-0.10195692425672886,-0.10370581509599197,0.12804807418085218,-0.3466993654154531,-0.04156223074497512,012750
26,Hanon_Systems,Automotive_&_Parts,2018,Q1,-0.012254485123943448,0.23840397665494162,-0.03061346940710874,0.09190225908763561,-0.3533208688003737,0.10126203741168419,-0.025033753699448713,-0.02503375369944849,0.35148514667135755,-0.02503375369944849,-0.14212028897129125,018880
26,Hansum,Automotive_&_Parts,2018,Q1,0.015825372883022437,0.2536434175985458,0.21812944092856368,0.08070841054293632,0.2178517018868068,0.012026265053960608,0.037268192819843615,0.025454667796067643,0.09674750131670995,-0.25978285074450747,0.06359606817554941,020000
26,Kumho_Tire,Automotive_&_Parts,2018,Q1,0.003472967214913192,0.02537149340754785,-0.01059732264432589,0.9744664117978519,-0.022264823735817396,-0.2981775761148859,-0.04051565165098858,-0.10530395280623384,0.08620145079653041,-0.13163057561976887,0.09505824406434919,073240
26,Hyundai_Glovis,Automotive_&_Parts,2018,Q1,0.008703773391475988,0.009443213805951589,-0.05373487300747937,0.20246849654501398,-0.09578943391996919,-0.08241022438585396,-0.01780219407374095,-0.023463811943182034,-0.014794866020879649,-0.47467831039752584,0.2677288739888581,086280
26,Hankook_Tire_&_Technology,Automotive_&_Parts,2018,Q1,-0.003079850289074537,-1.135749198455819,-0.14604148574364895,-3.3954120487856256,0.05393676986638907,-0.08999597270635966,-0.031141339828205883,-0.01275533609175783,0.10885959882136786,-0.16736072598978313,0.01582368551944582,161390
