



- 거래소 외국인 매도 상위순(10:35분∼12:45분, 단위:만주)







KDS 50.0 삼성중공업 27.3 외환은행 20.4



삼성전자 18.6 국민은행 18.0 LG카드 16.0



신한지주 15.1 동부화재 15.0 삼성증권 14.5



부산은행 10.1 삼보컴퓨터 10.0 LG석유화학 7.2



한국전력 6.5 LG전자우 5.9 삼성화재 4.7



현대차 4.5 한미은행 4.1 KT 3.8



대신증권 3.5 LG화학 3.5 현대모비스 3.3



대신증권우 3.1 신흥 3.0 엔씨소프트 2.9



KT&G 2.5 SK 2.5 POSCO 2.0



SK텔레콤 2.0 기아차 1.9 자화전자 1.5



삼성전기 1.3 현대차우 1.3 F&F 1.1



삼성전자우 1.0 에스원 1.0 호남석유 1.0



금호전기 0.9 제일모직 0.9 삼성SDI 0.8



대한항공 0.7 LG생활건강 0.7 한국가스공사 0.7



한진해운 0.6 LG건설 0.5 동국제강 0.5



LG애드 0.5 하이닉스 0.4 현대백화점 0.3



현대오토넷 0.3 현대백화점H& 0.2 유한양행 0.2



신세계 0.2 CJ 0.2 대우증권 0.2



제일기획 0.2 한샘 0.2 삼성물산 0.2







- 거래소 외국인 매수 상위순(10:35분∼12:45분, 단위:만주)







페이퍼코리아 44.0 신한지주 20.0 삼성전자 13.5



우리금융 12.0 쌍용차 11.0 KT 10.7



부산은행 10.1 한국전력 8.7 한국타이어 8.5



KT&G 8.5 LG전자 8.4 국민은행 7.5



LG카드 5.6 한섬 5.6 동부화재 4.8



현대차 4.5 LG화학 3.5 LG 3.1



현대차2우B 2.7 한미은행 2.6 대신증권우 2.2



현대차우 2.1 동부제강 2.0 현대산업 2.0



LG전선 1.9 LG생명과학 1.9 현대백화점 1.8



한화석화 1.8 현대상선 1.7 대우조선해양 1.4



대림산업 1.2 호남석유 1.2 세방기업 0.9



POSCO 0.8 에스원 0.8 LG애드 0.8



삼성화재 0.7 하나은행 0.6 신세계 0.6



CJ 0.6 SK텔레콤 0.5 INI스틸 0.5



LG건설 0.5 한미약품 0.5 현대모비스 0.5



하이닉스 0.4 신세계건설 0.3 태평양 0.3



하이트맥주 0.2 삼성전자우 0.2 현대중공업 0.2



태영 0.2 LG생활건강 0.2 신흥 0.2



CJ우 0.2 엔씨소프트 0.2 대구은행 0.2



한샘 0.2 한국쉘석유 0.1 제일기획 0.1







- 거래소 외국인 당일 매도 상위순(09:00 ∼ 12:45분, 단위:만주)







KDS 150.0 삼성중공업 101.5 삼성전자 41.1



국민은행 40.0 LG카드 33.7 삼성증권 31.0



신한지주 30.0 하이닉스 25.4 외환은행 20.4



부산은행 18.2 LG전자우 16.0 KT 15.1



SK텔레콤 15.0 동부화재 15.0 LG석유화학 13.0



한국전력 13.0 삼보컴퓨터 10.0 SK 9.8



KT&G 9.5 한미은행 9.5 삼성화재 8.5



대신증권우 8.2 현대차 8.0 삼성전기 7.8
